SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.258
Elongation till break,1-Preload,0.200,44,0,-0.258
Elongation till break,1-Preload,0.400,44,0,-0.310
Elongation till break,1-Stretch,0.410,44,0,-0.335
Elongation till break,1-Stretch,0.610,44.362,0.362,-0.027
Elongation till break,1-Stretch,0.810,44.803,0.803,0.384
Elongation till break,1-Stretch,1.010,45.244,1.244,0.795
Elongation till break,1-Stretch,1.210,45.685,1.685,1.129
Elongation till break,1-Stretch,1.410,46.126,2.126,1.515
Elongation till break,1-Stretch,1.610,46.567,2.567,1.798
Elongation till break,1-Stretch,1.810,47.009,3.009,2.106
Elongation till break,1-Stretch,2.010,47.449,3.449,2.363
Elongation till break,1-Stretch,2.210,47.891,3.891,2.594
Elongation till break,1-Stretch,2.410,48.332,4.332,2.877
Elongation till break,1-Stretch,2.610,48.773,4.773,3.211
Elongation till break,1-Stretch,2.810,49.214,5.214,3.648
Elongation till break,1-Stretch,3.010,49.655,5.655,3.905
Elongation till break,1-Stretch,3.210,50.096,6.096,4.290
Elongation till break,1-Stretch,3.410,50.537,6.537,4.547
Elongation till break,1-Stretch,3.610,50.978,6.978,4.882
Elongation till break,1-Stretch,3.810,51.419,7.419,5.113
Elongation till break,1-Stretch,4.010,51.86,7.86,5.370
Elongation till break,1-Stretch,4.210,52.301,8.301,-0.130
Elongation till break,1-Stretch,4.410,52.743,8.743,-0.412
Elongation till break,1-Stretch,4.610,53.183,9.183,-0.335
Elongation till break,1-Stretch,4.810,53.625,9.625,-0.258
Elongation till break,1-Stretch,5.010,54.066,10.066,-0.258
Elongation till break,1-Stretch,5.210,54.507,10.507,-0.233
Elongation till break,1-Stretch,5.410,54.948,10.948,-0.155
Elongation till break,1-Stretch,5.610,55.389,11.389,-0.078
Elongation till break,1-Stretch,5.810,55.83,11.83,-0.078
Elongation till break,1-Stretch,6.010,56.271,12.271,-0.078
Elongation till break,1-Stretch,6.210,56.712,12.712,-0.130
Elongation till break,1-Stretch,6.410,57.153,13.153,-0.104
Elongation till break,1-Stretch,6.610,57.594,13.594,-0.181
Elongation till break,1-Stretch,6.810,58.035,14.035,-0.078
