SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,-0.024
Elongation till break,1-Preload,0.200,44.001,0,0.002
Elongation till break,1-Preload,0.400,44.001,0,-0.024
Elongation till break,1-Stretch,0.420,44.001,0,0.002
Elongation till break,1-Stretch,0.620,44.373,0.372,0.336
Elongation till break,1-Stretch,0.820,44.814,0.813,0.438
Elongation till break,1-Stretch,1.020,45.256,1.255,0.593
Elongation till break,1-Stretch,1.220,45.697,1.696,0.798
Elongation till break,1-Stretch,1.420,46.138,2.137,0.901
Elongation till break,1-Stretch,1.620,46.579,2.578,1.004
Elongation till break,1-Stretch,1.820,47.02,3.019,1.184
Elongation till break,1-Stretch,2.020,47.461,3.46,1.312
Elongation till break,1-Stretch,2.220,47.902,3.901,1.364
Elongation till break,1-Stretch,2.420,48.343,4.342,1.389
Elongation till break,1-Stretch,2.620,48.785,4.784,1.543
Elongation till break,1-Stretch,2.820,49.226,5.225,1.621
Elongation till break,1-Stretch,3.020,49.667,5.666,1.826
Elongation till break,1-Stretch,3.220,50.108,6.107,1.903
Elongation till break,1-Stretch,3.420,50.549,6.548,2.032
Elongation till break,1-Stretch,3.620,50.99,6.989,2.160
Elongation till break,1-Stretch,3.820,51.431,7.43,2.366
Elongation till break,1-Stretch,4.020,51.872,7.871,2.289
Elongation till break,1-Stretch,4.220,52.314,8.313,2.443
Elongation till break,1-Stretch,4.420,52.755,8.754,2.649
Elongation till break,1-Stretch,4.620,53.196,9.195,2.828
Elongation till break,1-Stretch,4.820,53.637,9.636,2.957
Elongation till break,1-Stretch,5.020,54.078,10.077,3.240
Elongation till break,1-Stretch,5.220,54.519,10.518,3.317
Elongation till break,1-Stretch,5.420,54.96,10.959,3.471
Elongation till break,1-Stretch,5.620,55.401,11.4,3.651
Elongation till break,1-Stretch,5.820,55.842,11.841,3.779
Elongation till break,1-Stretch,6.020,56.283,12.282,4.062
Elongation till break,1-Stretch,6.220,56.725,12.724,4.165
Elongation till break,1-Stretch,6.420,57.166,13.165,4.370
Elongation till break,1-Stretch,6.620,57.607,13.606,4.576
Elongation till break,1-Stretch,6.820,58.048,14.047,4.833
Elongation till break,1-Stretch,7.020,58.489,14.488,5.090
Elongation till break,1-Stretch,7.220,58.93,14.929,5.193
Elongation till break,1-Stretch,7.420,59.371,15.37,5.527
Elongation till break,1-Stretch,7.620,59.813,15.812,5.732
Elongation till break,1-Stretch,7.820,60.254,16.253,6.015
Elongation till break,1-Stretch,8.020,60.695,16.694,6.195
Elongation till break,1-Stretch,8.220,61.136,17.135,6.426
Elongation till break,1-Stretch,8.420,61.577,17.576,6.709
Elongation till break,1-Stretch,8.620,62.018,18.017,6.992
Elongation till break,1-Stretch,8.820,62.459,18.458,7.172
Elongation till break,1-Stretch,9.020,62.9,18.899,7.480
Elongation till break,1-Stretch,9.220,63.341,19.34,7.711
Elongation till break,1-Stretch,9.420,63.782,19.781,7.917
Elongation till break,1-Stretch,9.620,64.224,20.223,8.122
Elongation till break,1-Stretch,9.820,64.664,20.663,8.405
Elongation till break,1-Stretch,10.020,65.106,21.105,8.688
Elongation till break,1-Stretch,10.220,65.547,21.546,8.971
Elongation till break,1-Stretch,10.420,65.988,21.987,9.253
Elongation till break,1-Stretch,10.620,66.429,22.428,9.562
Elongation till break,1-Stretch,10.820,66.87,22.869,9.896
Elongation till break,1-Stretch,11.020,67.311,23.31,10.204
Elongation till break,1-Stretch,11.220,67.753,23.752,10.512
Elongation till break,1-Stretch,11.420,68.194,24.193,10.769
Elongation till break,1-Stretch,11.620,68.635,24.634,11.104
Elongation till break,1-Stretch,11.820,69.076,25.075,11.463
Elongation till break,1-Stretch,12.020,69.517,25.516,11.772
Elongation till break,1-Stretch,12.220,69.958,25.957,12.003
Elongation till break,1-Stretch,12.420,70.399,26.398,12.311
Elongation till break,1-Stretch,12.620,70.84,26.839,12.697
Elongation till break,1-Stretch,12.820,71.281,27.28,13.005
Elongation till break,1-Stretch,13.020,71.723,27.722,13.314
Elongation till break,1-Stretch,13.220,72.163,28.162,13.622
Elongation till break,1-Stretch,13.420,72.605,28.604,13.853
Elongation till break,1-Stretch,13.620,73.046,29.045,14.213
Elongation till break,1-Stretch,13.820,73.487,29.486,14.496
Elongation till break,1-Stretch,14.020,73.928,29.927,14.804
Elongation till break,1-Stretch,14.220,74.369,30.368,15.190
Elongation till break,1-Stretch,14.420,74.81,30.809,15.447
Elongation till break,1-Stretch,14.620,75.252,31.251,15.395
Elongation till break,1-Stretch,14.820,75.692,31.691,15.087
Elongation till break,1-Stretch,15.020,76.134,32.133,13.339
Elongation till break,1-Stretch,15.220,76.575,32.574,0.567
Elongation till break,1-Stretch,15.420,77.016,33.015,0.927
Elongation till break,1-Stretch,15.620,77.457,33.456,0.978
Elongation till break,1-Stretch,15.820,77.898,33.897,1.004
Elongation till break,1-Stretch,16.020,78.339,34.338,0.978
Elongation till break,1-Stretch,16.220,78.78,34.779,0.978
Elongation till break,1-Stretch,16.420,79.221,35.22,0.927
Elongation till break,1-Stretch,16.620,79.662,35.661,1.004
Elongation till break,1-Stretch,16.820,80.104,36.103,0.978
Elongation till break,1-Stretch,17.020,80.545,36.544,1.030
Elongation till break,1-Stretch,17.220,80.986,36.985,1.004
