SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.315
Elongation till break,1-Preload,0.200,44,0,-0.094
Elongation till break,1-Preload,0.400,44,0,0.151
Elongation till break,1-Stretch,0.420,44,0,0.070
Elongation till break,1-Stretch,0.620,44.371,0.371,-0.258
Elongation till break,1-Stretch,0.820,44.812,0.812,0.315
Elongation till break,1-Stretch,1.020,45.253,1.253,0.479
Elongation till break,1-Stretch,1.220,45.694,1.694,1.134
Elongation till break,1-Stretch,1.420,46.135,2.135,1.379
Elongation till break,1-Stretch,1.620,46.576,2.576,1.625
Elongation till break,1-Stretch,1.820,47.017,3.017,1.952
Elongation till break,1-Stretch,2.020,47.459,3.459,2.280
Elongation till break,1-Stretch,2.220,47.9,3.9,2.771
Elongation till break,1-Stretch,2.420,48.341,4.341,2.934
Elongation till break,1-Stretch,2.620,48.782,4.782,2.934
Elongation till break,1-Stretch,2.820,49.223,5.223,3.671
Elongation till break,1-Stretch,3.020,49.664,5.664,4.244
Elongation till break,1-Stretch,3.220,50.105,6.105,4.653
Elongation till break,1-Stretch,3.420,50.546,6.546,5.144
Elongation till break,1-Stretch,3.620,50.987,6.987,5.881
Elongation till break,1-Stretch,3.820,51.428,7.428,6.208
Elongation till break,1-Stretch,4.020,51.869,7.869,6.863
Elongation till break,1-Stretch,4.220,52.31,8.31,7.518
Elongation till break,1-Stretch,4.420,52.751,8.751,8.255
Elongation till break,1-Stretch,4.620,53.193,9.193,9.073
Elongation till break,1-Stretch,4.820,53.634,9.634,9.482
Elongation till break,1-Stretch,5.020,54.075,10.075,10.546
Elongation till break,1-Stretch,5.220,54.516,10.516,11.365
Elongation till break,1-Stretch,5.420,54.957,10.957,11.938
Elongation till break,1-Stretch,5.620,55.398,11.398,12.838
Elongation till break,1-Stretch,5.820,55.839,11.839,13.329
Elongation till break,1-Stretch,6.020,56.28,12.28,14.311
Elongation till break,1-Stretch,6.220,56.721,12.721,14.966
Elongation till break,1-Stretch,6.420,57.162,13.162,15.457
Elongation till break,1-Stretch,6.620,57.603,13.603,16.603
Elongation till break,1-Stretch,6.820,58.044,14.044,17.340
Elongation till break,1-Stretch,7.020,58.486,14.486,18.077
Elongation till break,1-Stretch,7.220,58.927,14.927,18.813
Elongation till break,1-Stretch,7.420,59.368,15.368,19.386
Elongation till break,1-Stretch,7.620,59.809,15.809,20.450
Elongation till break,1-Stretch,7.820,60.25,16.25,21.023
Elongation till break,1-Stretch,8.020,60.691,16.691,21.923
Elongation till break,1-Stretch,8.220,61.132,17.132,22.742
Elongation till break,1-Stretch,8.420,61.573,17.573,23.888
Elongation till break,1-Stretch,8.620,62.014,18.014,24.543
Elongation till break,1-Stretch,8.820,62.455,18.455,25.525
Elongation till break,1-Stretch,9.020,62.896,18.896,26.834
Elongation till break,1-Stretch,9.220,63.338,19.338,27.326
Elongation till break,1-Stretch,9.420,63.778,19.778,28.471
Elongation till break,1-Stretch,9.620,64.22,20.22,29.699
Elongation till break,1-Stretch,9.820,64.661,20.661,30.272
Elongation till break,1-Stretch,10.020,65.102,21.102,31.336
Elongation till break,1-Stretch,10.220,65.543,21.543,32.400
Elongation till break,1-Stretch,10.420,65.984,21.984,33.382
Elongation till break,1-Stretch,10.620,66.425,22.425,34.528
Elongation till break,1-Stretch,10.820,66.866,22.866,35.756
Elongation till break,1-Stretch,11.020,67.307,23.307,36.738
Elongation till break,1-Stretch,11.220,67.748,23.748,37.966
Elongation till break,1-Stretch,11.420,68.189,24.189,38.948
Elongation till break,1-Stretch,11.620,68.63,24.63,40.094
Elongation till break,1-Stretch,11.820,69.072,25.072,41.404
Elongation till break,1-Stretch,12.020,69.513,25.513,42.304
Elongation till break,1-Stretch,12.220,69.954,25.954,43.532
Elongation till break,1-Stretch,12.420,70.395,26.395,44.841
Elongation till break,1-Stretch,12.620,70.836,26.836,46.151
Elongation till break,1-Stretch,12.820,71.277,27.277,47.379
Elongation till break,1-Stretch,13.020,71.718,27.718,48.361
Elongation till break,1-Stretch,13.220,72.159,28.159,49.343
Elongation till break,1-Stretch,13.420,72.6,28.6,50.489
Elongation till break,1-Stretch,13.620,73.042,29.042,51.307
Elongation till break,1-Stretch,13.820,73.482,29.482,52.372
Elongation till break,1-Stretch,14.020,73.923,29.923,53.436
Elongation till break,1-Stretch,14.220,74.365,30.365,54.336
Elongation till break,1-Stretch,14.420,74.806,30.806,55.400
Elongation till break,1-Stretch,14.620,75.247,31.247,56.382
Elongation till break,1-Stretch,14.820,75.688,31.688,29.781
Elongation till break,1-Stretch,15.020,76.129,32.129,-1.567
Elongation till break,1-Stretch,15.220,76.57,32.57,-1.649
Elongation till break,1-Stretch,15.420,77.011,33.011,-1.649
Elongation till break,1-Stretch,15.620,77.452,33.452,-1.649
Elongation till break,1-Stretch,15.820,77.893,33.893,-1.649
Elongation till break,1-Stretch,16.020,78.334,34.334,-1.649
Elongation till break,1-Stretch,16.220,78.776,34.776,-1.731
Elongation till break,1-Stretch,16.420,79.217,35.217,-1.731
Elongation till break,1-Stretch,16.620,79.657,35.657,-1.649
