SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.010
Elongation till break,1-Preload,0.200,44,0,-0.016
Elongation till break,1-Preload,0.400,44,0,-0.042
Elongation till break,1-Stretch,0.420,44,0,-0.068
Elongation till break,1-Stretch,0.620,44.372,0.372,0.267
Elongation till break,1-Stretch,0.820,44.813,0.813,0.447
Elongation till break,1-Stretch,1.020,45.255,1.255,0.782
Elongation till break,1-Stretch,1.220,45.695,1.695,1.014
Elongation till break,1-Stretch,1.420,46.137,2.137,1.271
Elongation till break,1-Stretch,1.620,46.578,2.578,1.451
Elongation till break,1-Stretch,1.820,47.019,3.019,1.657
Elongation till break,1-Stretch,2.020,47.46,3.46,1.941
Elongation till break,1-Stretch,2.220,47.901,3.901,2.198
Elongation till break,1-Stretch,2.420,48.342,4.342,2.353
Elongation till break,1-Stretch,2.620,48.783,4.783,2.765
Elongation till break,1-Stretch,2.820,49.224,5.224,3.151
Elongation till break,1-Stretch,3.020,49.665,5.665,3.511
Elongation till break,1-Stretch,3.220,50.107,6.107,3.923
Elongation till break,1-Stretch,3.420,50.547,6.547,4.232
Elongation till break,1-Stretch,3.620,50.989,6.989,4.722
Elongation till break,1-Stretch,3.820,51.43,7.43,5.134
Elongation till break,1-Stretch,4.020,51.871,7.871,5.520
Elongation till break,1-Stretch,4.220,52.312,8.312,5.958
Elongation till break,1-Stretch,4.420,52.753,8.753,6.344
Elongation till break,1-Stretch,4.620,53.194,9.194,6.833
Elongation till break,1-Stretch,4.820,53.635,9.635,7.219
Elongation till break,1-Stretch,5.020,54.076,10.076,7.760
Elongation till break,1-Stretch,5.220,54.517,10.517,8.198
Elongation till break,1-Stretch,5.420,54.958,10.958,8.661
Elongation till break,1-Stretch,5.620,55.399,11.399,9.099
Elongation till break,1-Stretch,5.820,55.841,11.841,9.640
Elongation till break,1-Stretch,6.020,56.282,12.282,10.103
Elongation till break,1-Stretch,6.220,56.723,12.723,10.721
Elongation till break,1-Stretch,6.420,57.164,13.164,11.236
Elongation till break,1-Stretch,6.620,57.605,13.605,11.803
Elongation till break,1-Stretch,6.820,58.046,14.046,12.421
Elongation till break,1-Stretch,7.020,58.487,14.487,12.935
Elongation till break,1-Stretch,7.220,58.928,14.928,13.631
Elongation till break,1-Stretch,7.420,59.369,15.369,14.171
Elongation till break,1-Stretch,7.620,59.81,15.81,14.686
Elongation till break,1-Stretch,7.820,60.251,16.251,15.330
Elongation till break,1-Stretch,8.020,60.692,16.692,15.948
Elongation till break,1-Stretch,8.220,61.133,17.133,16.515
Elongation till break,1-Stretch,8.420,61.575,17.575,17.184
Elongation till break,1-Stretch,8.620,62.016,18.016,17.751
Elongation till break,1-Stretch,8.820,62.457,18.457,18.343
Elongation till break,1-Stretch,9.020,62.898,18.898,18.806
Elongation till break,1-Stretch,9.220,63.339,19.339,19.270
Elongation till break,1-Stretch,9.420,63.78,19.78,0.576
Elongation till break,1-Stretch,9.620,64.221,20.221,-0.222
Elongation till break,1-Stretch,9.820,64.662,20.662,-0.248
Elongation till break,1-Stretch,10.020,65.103,21.103,-0.196
Elongation till break,1-Stretch,10.220,65.544,21.544,-0.222
Elongation till break,1-Stretch,10.420,65.985,21.985,-0.171
Elongation till break,1-Stretch,10.620,66.426,22.426,-0.145
Elongation till break,1-Stretch,10.820,66.868,22.868,-0.196
