SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.383
Elongation till break,1-Preload,0.200,44,0,-0.025
Elongation till break,1-Preload,0.400,44,0,-0.025
Elongation till break,1-Stretch,0.420,44,0,-0.025
Elongation till break,1-Stretch,0.620,44.372,0.372,0.465
Elongation till break,1-Stretch,0.820,44.813,0.813,0.955
Elongation till break,1-Stretch,1.020,45.254,1.254,1.282
Elongation till break,1-Stretch,1.220,45.695,1.695,2.344
Elongation till break,1-Stretch,1.420,46.137,2.137,2.507
Elongation till break,1-Stretch,1.620,46.578,2.578,3.160
Elongation till break,1-Stretch,1.820,47.019,3.019,4.141
Elongation till break,1-Stretch,2.020,47.46,3.46,4.794
Elongation till break,1-Stretch,2.220,47.901,3.901,5.284
Elongation till break,1-Stretch,2.420,48.342,4.342,6.183
Elongation till break,1-Stretch,2.620,48.783,4.783,6.918
Elongation till break,1-Stretch,2.820,49.224,5.224,8.062
Elongation till break,1-Stretch,3.020,49.665,5.665,8.633
Elongation till break,1-Stretch,3.220,50.106,6.106,9.614
Elongation till break,1-Stretch,3.420,50.547,6.547,10.676
Elongation till break,1-Stretch,3.620,50.988,6.988,11.411
Elongation till break,1-Stretch,3.820,51.43,7.43,12.228
Elongation till break,1-Stretch,4.020,51.871,7.871,13.289
Elongation till break,1-Stretch,4.220,52.312,8.312,14.351
Elongation till break,1-Stretch,4.420,52.753,8.753,15.332
Elongation till break,1-Stretch,4.620,53.194,9.194,16.312
Elongation till break,1-Stretch,4.820,53.635,9.635,17.537
Elongation till break,1-Stretch,5.020,54.076,10.076,18.681
Elongation till break,1-Stretch,5.220,54.517,10.517,19.824
Elongation till break,1-Stretch,5.420,54.958,10.958,20.723
Elongation till break,1-Stretch,5.620,55.399,11.399,22.030
Elongation till break,1-Stretch,5.820,55.84,11.84,23.255
Elongation till break,1-Stretch,6.020,56.282,12.282,24.072
Elongation till break,1-Stretch,6.220,56.722,12.722,25.297
Elongation till break,1-Stretch,6.420,57.164,13.164,26.359
Elongation till break,1-Stretch,6.620,57.605,13.605,27.911
Elongation till break,1-Stretch,6.820,58.046,14.046,29.137
Elongation till break,1-Stretch,7.020,58.487,14.487,30.280
Elongation till break,1-Stretch,7.220,58.928,14.928,31.587
Elongation till break,1-Stretch,7.420,59.369,15.369,32.649
Elongation till break,1-Stretch,7.620,59.81,15.81,34.038
Elongation till break,1-Stretch,7.820,60.251,16.251,35.100
Elongation till break,1-Stretch,8.020,60.692,16.692,36.162
Elongation till break,1-Stretch,8.220,61.133,17.133,-1.251
Elongation till break,1-Stretch,8.420,61.574,17.574,-1.986
Elongation till break,1-Stretch,8.620,62.016,18.016,-2.149
Elongation till break,1-Stretch,8.820,62.456,18.456,-2.067
Elongation till break,1-Stretch,9.020,62.898,18.898,-2.067
Elongation till break,1-Stretch,9.220,63.339,19.339,-2.149
Elongation till break,1-Stretch,9.420,63.78,19.78,-2.067
Elongation till break,1-Stretch,9.620,64.221,20.221,-2.149
Elongation till break,1-Stretch,9.820,64.662,20.662,-2.149
Elongation till break,1-Stretch,10.020,65.103,21.103,-2.067
Elongation till break,1-Stretch,10.220,65.544,21.544,-2.149
Elongation till break,1-Stretch,10.420,65.985,21.985,-1.986
Elongation till break,1-Stretch,10.620,66.426,22.426,-2.067
Elongation till break,1-Stretch,10.820,66.867,22.867,-2.149
