SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.003
Elongation till break,1-Preload,0.200,44,0,-0.003
Elongation till break,1-Preload,0.400,44,0,-0.003
Elongation till break,1-Stretch,0.420,44,0,-0.003
Elongation till break,1-Stretch,0.620,44.372,0.372,0.485
Elongation till break,1-Stretch,0.820,44.813,0.813,0.999
Elongation till break,1-Stretch,1.020,45.254,1.254,1.642
Elongation till break,1-Stretch,1.220,45.695,1.695,2.104
Elongation till break,1-Stretch,1.420,46.136,2.136,2.567
Elongation till break,1-Stretch,1.620,46.578,2.578,2.978
Elongation till break,1-Stretch,1.820,47.018,3.018,3.441
Elongation till break,1-Stretch,2.020,47.459,3.459,3.877
Elongation till break,1-Stretch,2.220,47.9,3.9,4.417
Elongation till break,1-Stretch,2.420,48.342,4.342,4.880
Elongation till break,1-Stretch,2.620,48.783,4.783,5.471
Elongation till break,1-Stretch,2.820,49.224,5.224,6.036
Elongation till break,1-Stretch,3.020,49.665,5.665,6.550
Elongation till break,1-Stretch,3.220,50.106,6.106,7.167
Elongation till break,1-Stretch,3.420,50.547,6.547,7.758
Elongation till break,1-Stretch,3.620,50.988,6.988,8.349
Elongation till break,1-Stretch,3.820,51.429,7.429,8.889
Elongation till break,1-Stretch,4.020,51.87,7.87,9.480
Elongation till break,1-Stretch,4.220,52.312,8.312,10.148
Elongation till break,1-Stretch,4.420,52.752,8.752,10.893
Elongation till break,1-Stretch,4.620,53.193,9.193,11.587
Elongation till break,1-Stretch,4.820,53.635,9.635,12.230
Elongation till break,1-Stretch,5.020,54.076,10.076,13.026
Elongation till break,1-Stretch,5.220,54.517,10.517,13.643
Elongation till break,1-Stretch,5.420,54.958,10.958,-0.491
Elongation till break,1-Stretch,5.620,55.399,11.399,-0.054
Elongation till break,1-Stretch,5.820,55.84,11.84,-0.080
Elongation till break,1-Stretch,6.020,56.281,12.281,-0.106
Elongation till break,1-Stretch,6.220,56.722,12.722,-0.003
Elongation till break,1-Stretch,6.420,57.163,13.163,-0.003
Elongation till break,1-Stretch,6.620,57.604,13.604,-0.003
Elongation till break,1-Stretch,6.820,58.046,14.046,0.048
Elongation till break,1-Stretch,7.020,58.487,14.487,-0.003
Elongation till break,1-Stretch,7.220,58.927,14.927,0.074
Elongation till break,1-Stretch,7.420,59.369,15.369,0.048
Elongation till break,1-Stretch,7.620,59.81,15.81,0.074
