SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.001
Elongation till break,1-Preload,0.200,44,0,-0.001
Elongation till break,1-Preload,0.400,44,0,-0.001
Elongation till break,1-Stretch,0.420,44,0,-0.001
Elongation till break,1-Stretch,0.620,44.372,0.372,0.436
Elongation till break,1-Stretch,0.820,44.813,0.813,0.874
Elongation till break,1-Stretch,1.020,45.255,1.255,1.312
Elongation till break,1-Stretch,1.220,45.696,1.696,1.595
Elongation till break,1-Stretch,1.420,46.137,2.137,1.930
Elongation till break,1-Stretch,1.620,46.578,2.578,2.316
Elongation till break,1-Stretch,1.820,47.019,3.019,2.599
Elongation till break,1-Stretch,2.020,47.46,3.46,3.037
Elongation till break,1-Stretch,2.220,47.901,3.901,3.295
Elongation till break,1-Stretch,2.420,48.342,4.342,3.732
Elongation till break,1-Stretch,2.620,48.783,4.783,4.196
Elongation till break,1-Stretch,2.820,49.224,5.224,4.659
Elongation till break,1-Stretch,3.020,49.665,5.665,5.046
Elongation till break,1-Stretch,3.220,50.107,6.107,5.638
Elongation till break,1-Stretch,3.420,50.547,6.547,6.127
Elongation till break,1-Stretch,3.620,50.989,6.989,6.719
Elongation till break,1-Stretch,3.820,51.43,7.43,7.183
Elongation till break,1-Stretch,4.020,51.871,7.871,7.826
Elongation till break,1-Stretch,4.220,52.312,8.312,8.367
Elongation till break,1-Stretch,4.420,52.753,8.753,8.934
Elongation till break,1-Stretch,4.620,53.194,9.194,9.603
Elongation till break,1-Stretch,4.820,53.635,9.635,10.221
Elongation till break,1-Stretch,5.020,54.076,10.076,10.839
Elongation till break,1-Stretch,5.220,54.517,10.517,11.483
Elongation till break,1-Stretch,5.420,54.958,10.958,12.075
Elongation till break,1-Stretch,5.620,55.399,11.399,12.744
Elongation till break,1-Stretch,5.820,55.841,11.841,13.337
Elongation till break,1-Stretch,6.020,56.282,12.282,13.903
Elongation till break,1-Stretch,6.220,56.723,12.723,14.341
Elongation till break,1-Stretch,6.420,57.164,13.164,-0.104
Elongation till break,1-Stretch,6.620,57.605,13.605,-0.491
Elongation till break,1-Stretch,6.820,58.046,14.046,-0.491
Elongation till break,1-Stretch,7.020,58.487,14.487,-0.491
Elongation till break,1-Stretch,7.220,58.928,14.928,-0.413
Elongation till break,1-Stretch,7.420,59.369,15.369,-0.413
Elongation till break,1-Stretch,7.620,59.81,15.81,-0.413
Elongation till break,1-Stretch,7.820,60.251,16.251,-0.413
Elongation till break,1-Stretch,8.020,60.692,16.692,-0.388
Elongation till break,1-Stretch,8.220,61.133,17.133,-0.336
