SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.063
Elongation till break,1-Preload,0.200,44.001,0,-0.040
Elongation till break,1-Preload,0.400,44.001,0,0.011
Elongation till break,1-Stretch,0.480,44.001,0,-0.066
Elongation till break,1-Stretch,0.680,44.373,0.372,0.346
Elongation till break,1-Stretch,0.880,44.815,0.814,0.706
Elongation till break,1-Stretch,1.080,45.256,1.255,1.041
Elongation till break,1-Stretch,1.280,45.697,1.696,1.350
Elongation till break,1-Stretch,1.480,46.138,2.137,1.788
Elongation till break,1-Stretch,1.680,46.579,2.578,2.148
Elongation till break,1-Stretch,1.880,47.02,3.019,2.457
Elongation till break,1-Stretch,2.080,47.461,3.46,2.792
Elongation till break,1-Stretch,2.280,47.902,3.901,3.178
Elongation till break,1-Stretch,2.480,48.344,4.343,3.667
Elongation till break,1-Stretch,2.680,48.785,4.784,4.131
Elongation till break,1-Stretch,2.880,49.226,5.225,4.646
Elongation till break,1-Stretch,3.080,49.667,5.666,5.032
Elongation till break,1-Stretch,3.280,50.108,6.107,5.573
Elongation till break,1-Stretch,3.480,50.549,6.548,5.985
Elongation till break,1-Stretch,3.680,50.99,6.989,6.500
Elongation till break,1-Stretch,3.880,51.431,7.43,7.015
Elongation till break,1-Stretch,4.080,51.872,7.871,7.556
Elongation till break,1-Stretch,4.280,52.314,8.313,8.122
Elongation till break,1-Stretch,4.480,52.755,8.754,8.714
Elongation till break,1-Stretch,4.680,53.196,9.195,9.255
Elongation till break,1-Stretch,4.880,53.637,9.636,9.770
Elongation till break,1-Stretch,5.080,54.078,10.077,10.414
Elongation till break,1-Stretch,5.280,54.519,10.518,11.006
Elongation till break,1-Stretch,5.480,54.96,10.959,11.624
Elongation till break,1-Stretch,5.680,55.401,11.4,12.242
Elongation till break,1-Stretch,5.880,55.843,11.842,12.808
Elongation till break,1-Stretch,6.080,56.284,12.283,13.478
Elongation till break,1-Stretch,6.280,56.725,12.724,13.967
Elongation till break,1-Stretch,6.480,57.166,13.165,7.581
Elongation till break,1-Stretch,6.680,57.607,13.606,-0.555
Elongation till break,1-Stretch,6.880,58.048,14.047,-0.581
Elongation till break,1-Stretch,7.080,58.489,14.488,-0.555
Elongation till break,1-Stretch,7.280,58.93,14.929,-0.555
Elongation till break,1-Stretch,7.480,59.371,15.37,-0.555
Elongation till break,1-Stretch,7.680,59.813,15.812,-0.555
Elongation till break,1-Stretch,7.880,60.254,16.253,-0.555
Elongation till break,1-Stretch,8.080,60.695,16.694,-0.555
