SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.000
Elongation till break,1-Preload,0.200,44,0,-0.000
Elongation till break,1-Preload,0.400,44,0,-0.000
Elongation till break,1-Stretch,0.420,44,0,-0.000
Elongation till break,1-Stretch,0.620,44.372,0.372,0.073
Elongation till break,1-Stretch,0.820,44.813,0.813,0.339
Elongation till break,1-Stretch,1.020,45.254,1.254,0.533
Elongation till break,1-Stretch,1.220,45.695,1.695,0.750
Elongation till break,1-Stretch,1.420,46.136,2.136,0.968
Elongation till break,1-Stretch,1.620,46.577,2.577,1.162
Elongation till break,1-Stretch,1.820,47.018,3.018,1.452
Elongation till break,1-Stretch,2.020,47.459,3.459,1.719
Elongation till break,1-Stretch,2.220,47.9,3.9,2.033
Elongation till break,1-Stretch,2.420,48.342,4.342,2.275
Elongation till break,1-Stretch,2.620,48.783,4.783,2.566
Elongation till break,1-Stretch,2.820,49.224,5.224,2.905
Elongation till break,1-Stretch,3.020,49.665,5.665,3.341
Elongation till break,1-Stretch,3.220,50.106,6.106,3.679
Elongation till break,1-Stretch,3.420,50.547,6.547,4.139
Elongation till break,1-Stretch,3.620,50.988,6.988,4.478
Elongation till break,1-Stretch,3.820,51.429,7.429,4.890
Elongation till break,1-Stretch,4.020,51.87,7.87,5.253
Elongation till break,1-Stretch,4.220,52.311,8.311,5.689
Elongation till break,1-Stretch,4.420,52.752,8.752,6.100
Elongation till break,1-Stretch,4.620,53.193,9.193,6.584
Elongation till break,1-Stretch,4.820,53.635,9.635,7.068
Elongation till break,1-Stretch,5.020,54.076,10.076,7.649
Elongation till break,1-Stretch,5.220,54.517,10.517,8.134
Elongation till break,1-Stretch,5.420,54.958,10.958,8.618
Elongation till break,1-Stretch,5.620,55.399,11.399,9.126
Elongation till break,1-Stretch,5.820,55.84,11.84,9.659
Elongation till break,1-Stretch,6.020,56.281,12.281,10.143
Elongation till break,1-Stretch,6.220,56.722,12.722,10.627
Elongation till break,1-Stretch,6.420,57.163,13.163,11.208
Elongation till break,1-Stretch,6.620,57.604,13.604,11.716
Elongation till break,1-Stretch,6.820,58.045,14.045,12.224
Elongation till break,1-Stretch,7.020,58.487,14.487,12.854
Elongation till break,1-Stretch,7.220,58.927,14.927,13.411
Elongation till break,1-Stretch,7.420,59.369,15.369,14.040
