SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,-0.002
Elongation till break,1-Preload,0.200,44.001,0,-0.016
Elongation till break,1-Preload,0.400,44.001,0,-0.007
Elongation till break,1-Stretch,0.420,44.001,0,-0.002
Elongation till break,1-Stretch,0.620,44.373,0.372,-0.198
Elongation till break,1-Stretch,0.820,44.814,0.813,-0.366
Elongation till break,1-Stretch,1.020,45.256,1.255,-0.399
Elongation till break,1-Stretch,1.220,45.697,1.696,-0.380
Elongation till break,1-Stretch,1.420,46.138,2.137,-0.294
Elongation till break,1-Stretch,1.620,46.579,2.578,-0.198
Elongation till break,1-Stretch,1.820,47.02,3.019,-0.045
Elongation till break,1-Stretch,2.020,47.461,3.46,0.051
Elongation till break,1-Stretch,2.220,47.902,3.901,0.036
Elongation till break,1-Stretch,2.420,48.343,4.342,0.185
Elongation till break,1-Stretch,2.620,48.784,4.783,0.405
Elongation till break,1-Stretch,2.820,49.225,5.224,0.592
Elongation till break,1-Stretch,3.020,49.667,5.666,0.783
Elongation till break,1-Stretch,3.220,50.108,6.107,0.965
Elongation till break,1-Stretch,3.420,50.549,6.548,1.104
Elongation till break,1-Stretch,3.620,50.99,6.989,1.243
Elongation till break,1-Stretch,3.820,51.431,7.43,1.367
Elongation till break,1-Stretch,4.020,51.872,7.871,1.410
Elongation till break,1-Stretch,4.220,52.313,8.312,1.559
Elongation till break,1-Stretch,4.420,52.754,8.753,1.721
Elongation till break,1-Stretch,4.620,53.196,9.195,1.899
Elongation till break,1-Stretch,4.820,53.637,9.636,2.061
Elongation till break,1-Stretch,5.020,54.078,10.077,2.229
Elongation till break,1-Stretch,5.220,54.519,10.518,2.406
Elongation till break,1-Stretch,5.420,54.96,10.959,2.574
Elongation till break,1-Stretch,5.620,55.401,11.4,2.722
Elongation till break,1-Stretch,5.820,55.842,11.841,2.861
Elongation till break,1-Stretch,6.020,56.283,12.282,2.976
Elongation till break,1-Stretch,6.220,56.724,12.723,3.138
Elongation till break,1-Stretch,6.420,57.166,13.165,3.316
Elongation till break,1-Stretch,6.620,57.606,13.605,3.421
Elongation till break,1-Stretch,6.820,58.048,14.047,3.574
Elongation till break,1-Stretch,7.020,58.489,14.488,3.780
Elongation till break,1-Stretch,7.220,58.93,14.929,3.967
Elongation till break,1-Stretch,7.420,59.371,15.37,4.139
Elongation till break,1-Stretch,7.620,59.812,15.811,4.297
Elongation till break,1-Stretch,7.820,60.253,16.252,4.426
Elongation till break,1-Stretch,8.020,60.695,16.694,4.570
Elongation till break,1-Stretch,8.220,61.135,17.134,4.709
Elongation till break,1-Stretch,8.420,61.577,17.576,4.809
Elongation till break,1-Stretch,8.620,62.018,18.017,4.857
Elongation till break,1-Stretch,8.820,62.459,18.458,4.680
Elongation till break,1-Stretch,9.020,62.9,18.899,-0.160
Elongation till break,1-Stretch,9.220,63.341,19.34,-0.672
Elongation till break,1-Stretch,9.420,63.782,19.781,-0.150
Elongation till break,1-Stretch,9.620,64.223,20.222,-0.304
Elongation till break,1-Stretch,9.820,64.664,20.663,-0.275
Elongation till break,1-Stretch,10.020,65.105,21.104,-0.227
Elongation till break,1-Stretch,10.220,65.547,21.546,-0.194
Elongation till break,1-Stretch,10.420,65.988,21.987,-0.189
