SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.014
Elongation till break,1-Preload,0.200,44,0,0.012
Elongation till break,1-Preload,0.400,44,0,0.012
Elongation till break,1-Stretch,0.420,44,0,-0.014
Elongation till break,1-Stretch,0.620,44.372,0.372,0.553
Elongation till break,1-Stretch,0.820,44.813,0.813,1.094
Elongation till break,1-Stretch,1.020,45.255,1.255,1.557
Elongation till break,1-Stretch,1.220,45.695,1.695,2.330
Elongation till break,1-Stretch,1.420,46.137,2.137,3.102
Elongation till break,1-Stretch,1.620,46.578,2.578,3.823
Elongation till break,1-Stretch,1.820,47.019,3.019,4.570
Elongation till break,1-Stretch,2.020,47.46,3.46,5.342
Elongation till break,1-Stretch,2.220,47.901,3.901,6.115
Elongation till break,1-Stretch,2.420,48.342,4.342,6.861
Elongation till break,1-Stretch,2.620,48.783,4.783,7.685
Elongation till break,1-Stretch,2.820,49.224,5.224,8.535
Elongation till break,1-Stretch,3.020,49.665,5.665,9.436
Elongation till break,1-Stretch,3.220,50.107,6.107,10.312
Elongation till break,1-Stretch,3.420,50.547,6.547,11.161
Elongation till break,1-Stretch,3.620,50.989,6.989,12.063
Elongation till break,1-Stretch,3.820,51.43,7.43,12.990
Elongation till break,1-Stretch,4.020,51.871,7.871,13.736
Elongation till break,1-Stretch,4.220,52.312,8.312,14.174
Elongation till break,1-Stretch,4.420,52.753,8.753,15.049
Elongation till break,1-Stretch,4.620,53.194,9.194,-1.559
Elongation till break,1-Stretch,4.820,53.635,9.635,-1.533
Elongation till break,1-Stretch,5.020,54.076,10.076,-1.507
Elongation till break,1-Stretch,5.220,54.517,10.517,-1.456
Elongation till break,1-Stretch,5.420,54.958,10.958,-1.456
Elongation till break,1-Stretch,5.620,55.399,11.399,-1.456
Elongation till break,1-Stretch,5.820,55.841,11.841,-1.378
Elongation till break,1-Stretch,6.020,56.282,12.282,-1.456
Elongation till break,1-Stretch,6.220,56.723,12.723,-1.430
Elongation till break,1-Stretch,6.420,57.164,13.164,-1.378
Elongation till break,1-Stretch,6.620,57.605,13.605,-1.301
Elongation till break,1-Stretch,6.820,58.046,14.046,-1.353
Elongation till break,1-Stretch,7.020,58.487,14.487,-1.301
Elongation till break,1-Stretch,7.220,58.928,14.928,-1.301
Elongation till break,1-Stretch,7.420,59.369,15.369,-1.353
Elongation till break,1-Stretch,7.620,59.81,15.81,-1.275
