SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.001
Elongation till break,1-Preload,0.200,44,0,-0.001
Elongation till break,1-Preload,0.400,44,0,-0.001
Elongation till break,1-Stretch,0.420,44,0,-0.001
Elongation till break,1-Stretch,0.620,44.371,0.371,0.385
Elongation till break,1-Stretch,0.820,44.812,0.812,0.745
Elongation till break,1-Stretch,1.020,45.253,1.253,1.157
Elongation till break,1-Stretch,1.220,45.694,1.694,1.569
Elongation till break,1-Stretch,1.420,46.135,2.135,1.930
Elongation till break,1-Stretch,1.620,46.577,2.577,2.393
Elongation till break,1-Stretch,1.820,47.018,3.018,2.857
Elongation till break,1-Stretch,2.020,47.459,3.459,3.320
Elongation till break,1-Stretch,2.220,47.9,3.9,3.810
Elongation till break,1-Stretch,2.420,48.341,4.341,4.299
Elongation till break,1-Stretch,2.620,48.782,4.782,4.840
Elongation till break,1-Stretch,2.820,49.223,5.223,5.380
Elongation till break,1-Stretch,3.020,49.664,5.664,5.947
Elongation till break,1-Stretch,3.220,50.105,6.105,6.462
Elongation till break,1-Stretch,3.420,50.546,6.546,7.105
Elongation till break,1-Stretch,3.620,50.987,6.987,7.672
Elongation till break,1-Stretch,3.820,51.429,7.429,8.264
Elongation till break,1-Stretch,4.020,51.869,7.869,8.831
Elongation till break,1-Stretch,4.220,52.311,8.311,9.320
Elongation till break,1-Stretch,4.420,52.752,8.752,10.015
Elongation till break,1-Stretch,4.620,53.193,9.193,10.607
Elongation till break,1-Stretch,4.820,53.634,9.634,11.251
Elongation till break,1-Stretch,5.020,54.075,10.075,11.895
Elongation till break,1-Stretch,5.220,54.516,10.516,12.564
Elongation till break,1-Stretch,5.420,54.957,10.957,13.131
Elongation till break,1-Stretch,5.620,55.398,11.398,13.852
Elongation till break,1-Stretch,5.820,55.839,11.839,14.495
Elongation till break,1-Stretch,6.020,56.281,12.281,15.165
Elongation till break,1-Stretch,6.220,56.721,12.721,-1.649
Elongation till break,1-Stretch,6.420,57.163,13.163,-1.134
Elongation till break,1-Stretch,6.620,57.603,13.603,-1.134
Elongation till break,1-Stretch,6.820,58.045,14.045,-1.057
Elongation till break,1-Stretch,7.020,58.486,14.486,-1.031
Elongation till break,1-Stretch,7.220,58.927,14.927,-1.031
Elongation till break,1-Stretch,7.420,59.368,15.368,-1.031
Elongation till break,1-Stretch,7.620,59.809,15.809,-1.031
Elongation till break,1-Stretch,7.820,60.25,16.25,-1.031
Elongation till break,1-Stretch,8.020,60.691,16.691,-1.031
Elongation till break,1-Stretch,8.220,61.133,17.133,-0.980
Elongation till break,1-Stretch,8.420,61.573,17.573,-0.954
Elongation till break,1-Stretch,8.620,62.015,18.015,-0.980
