SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.087
Elongation till break,1-Preload,0.200,44,0,0.010
Elongation till break,1-Preload,0.400,44,0,-0.062
Elongation till break,1-Stretch,0.420,44,0,-0.038
Elongation till break,1-Stretch,0.620,44.371,0.371,0.155
Elongation till break,1-Stretch,0.820,44.812,0.812,0.397
Elongation till break,1-Stretch,1.020,45.253,1.253,0.664
Elongation till break,1-Stretch,1.220,45.694,1.694,0.833
Elongation till break,1-Stretch,1.420,46.135,2.135,1.099
Elongation till break,1-Stretch,1.620,46.577,2.577,1.269
Elongation till break,1-Stretch,1.820,47.018,3.018,1.559
Elongation till break,1-Stretch,2.020,47.459,3.459,1.753
Elongation till break,1-Stretch,2.220,47.9,3.9,2.044
Elongation till break,1-Stretch,2.420,48.341,4.341,2.286
Elongation till break,1-Stretch,2.620,48.782,4.782,2.600
Elongation till break,1-Stretch,2.820,49.223,5.223,2.842
Elongation till break,1-Stretch,3.020,49.664,5.664,3.230
Elongation till break,1-Stretch,3.220,50.105,6.105,3.544
Elongation till break,1-Stretch,3.420,50.546,6.546,3.932
Elongation till break,1-Stretch,3.620,50.987,6.987,4.271
Elongation till break,1-Stretch,3.820,51.429,7.429,4.634
Elongation till break,1-Stretch,4.020,51.869,7.869,4.997
Elongation till break,1-Stretch,4.220,52.311,8.311,5.384
Elongation till break,1-Stretch,4.420,52.752,8.752,5.844
Elongation till break,1-Stretch,4.620,53.193,9.193,6.159
Elongation till break,1-Stretch,4.820,53.634,9.634,6.594
Elongation till break,1-Stretch,5.020,54.075,10.075,7.006
Elongation till break,1-Stretch,5.220,54.516,10.516,7.442
Elongation till break,1-Stretch,5.420,54.957,10.957,7.877
Elongation till break,1-Stretch,5.620,55.398,11.398,8.337
Elongation till break,1-Stretch,5.820,55.839,11.839,8.797
Elongation till break,1-Stretch,6.020,56.281,12.281,9.185
Elongation till break,1-Stretch,6.220,56.721,12.721,9.645
Elongation till break,1-Stretch,6.420,57.163,13.163,10.129
Elongation till break,1-Stretch,6.620,57.603,13.603,10.589
Elongation till break,1-Stretch,6.820,58.045,14.045,11.170
Elongation till break,1-Stretch,7.020,58.486,14.486,11.605
Elongation till break,1-Stretch,7.220,58.927,14.927,12.065
Elongation till break,1-Stretch,7.420,59.368,15.368,12.380
Elongation till break,1-Stretch,7.620,59.809,15.809,12.888
Elongation till break,1-Stretch,7.820,60.25,16.25,13.324
Elongation till break,1-Stretch,8.020,60.691,16.691,13.808
Elongation till break,1-Stretch,8.220,61.133,17.133,14.244
Elongation till break,1-Stretch,8.420,61.573,17.573,14.825
Elongation till break,1-Stretch,8.620,62.015,18.015,15.309
Elongation till break,1-Stretch,8.820,62.455,18.455,15.841
Elongation till break,1-Stretch,9.020,62.897,18.897,16.422
Elongation till break,1-Stretch,9.220,63.338,19.338,16.931
Elongation till break,1-Stretch,9.420,63.779,19.779,17.512
Elongation till break,1-Stretch,9.620,64.22,20.22,18.044
Elongation till break,1-Stretch,9.820,64.661,20.661,18.528
Elongation till break,1-Stretch,10.020,65.102,21.102,19.134
Elongation till break,1-Stretch,10.220,65.543,21.543,19.618
Elongation till break,1-Stretch,10.420,65.984,21.984,20.223
Elongation till break,1-Stretch,10.620,66.425,22.425,20.925
Elongation till break,1-Stretch,10.820,66.867,22.867,21.554
Elongation till break,1-Stretch,11.020,67.307,23.307,22.159
Elongation till break,1-Stretch,11.220,67.749,23.749,22.813
Elongation till break,1-Stretch,11.420,68.19,24.19,23.321
Elongation till break,1-Stretch,11.620,68.631,24.631,23.709
Elongation till break,1-Stretch,11.820,69.072,25.072,10.637
Elongation till break,1-Stretch,12.020,69.513,25.513,-0.038
Elongation till break,1-Stretch,12.220,69.954,25.954,-0.087
Elongation till break,1-Stretch,12.420,70.395,26.395,-0.062
Elongation till break,1-Stretch,12.620,70.836,26.836,-0.038
Elongation till break,1-Stretch,12.820,71.277,27.277,-0.038
Elongation till break,1-Stretch,13.020,71.718,27.718,0.010
Elongation till break,1-Stretch,13.220,72.159,28.159,-0.062
Elongation till break,1-Stretch,13.420,72.601,28.601,-0.038
Elongation till break,1-Stretch,13.620,73.042,29.042,0.010
Elongation till break,1-Stretch,13.820,73.483,29.483,-0.062
Elongation till break,1-Stretch,14.020,73.924,29.924,-0.014
Elongation till break,1-Stretch,14.220,74.365,30.365,-0.014
Elongation till break,1-Stretch,14.420,74.806,30.806,0.107
Elongation till break,1-Stretch,14.620,75.247,31.247,0.107
Elongation till break,1-Stretch,14.820,75.688,31.688,0.107
Elongation till break,1-Stretch,15.020,76.129,32.129,0.107
Elongation till break,1-Stretch,15.220,76.57,32.57,0.107
Elongation till break,1-Stretch,15.420,77.011,33.011,0.107
Elongation till break,1-Stretch,15.620,77.452,33.452,0.107
Elongation till break,1-Stretch,15.820,77.894,33.894,0.107
Elongation till break,1-Stretch,16.020,78.335,34.335,0.107
Elongation till break,1-Stretch,16.220,78.776,34.776,0.155
Elongation till break,1-Stretch,16.420,79.217,35.217,0.155
Elongation till break,1-Stretch,16.620,79.658,35.658,0.131
Elongation till break,1-Stretch,16.820,80.099,36.099,0.204
Elongation till break,1-Stretch,17.020,80.54,36.54,0.155
Elongation till break,1-Stretch,17.220,80.981,36.981,0.180
Elongation till break,1-Stretch,17.420,81.422,37.422,0.228
Elongation till break,1-Stretch,17.620,81.863,37.863,0.252
Elongation till break,1-Stretch,17.820,82.304,38.304,0.228
Elongation till break,1-Stretch,18.020,82.746,38.746,0.301
Elongation till break,1-Stretch,18.220,83.186,39.186,0.301
Elongation till break,1-Stretch,18.420,83.628,39.628,0.301
Elongation till break,1-Stretch,18.620,84.069,40.069,0.301
Elongation till break,1-Stretch,18.820,84.51,40.51,0.301
Elongation till break,1-Stretch,19.020,84.951,40.951,0.325
Elongation till break,1-Stretch,19.220,85.392,41.392,0.301
Elongation till break,1-Stretch,19.420,85.833,41.833,0.349
Elongation till break,1-Stretch,19.620,86.274,42.274,0.301
Elongation till break,1-Stretch,19.820,86.715,42.715,0.325
Elongation till break,1-Stretch,20.020,87.156,43.156,0.397
Elongation till break,1-Stretch,20.220,87.597,43.597,0.446
