SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.034
Elongation till break,1-Preload,0.200,44.001,0,-0.014
Elongation till break,1-Preload,0.400,44.001,0,0.010
Elongation till break,1-Stretch,0.420,44.001,0,-0.014
Elongation till break,1-Stretch,0.620,44.372,0.371,0.325
Elongation till break,1-Stretch,0.820,44.814,0.813,0.954
Elongation till break,1-Stretch,1.020,45.255,1.254,1.511
Elongation till break,1-Stretch,1.220,45.696,1.695,2.334
Elongation till break,1-Stretch,1.420,46.137,2.136,3.181
Elongation till break,1-Stretch,1.620,46.578,2.577,4.004
Elongation till break,1-Stretch,1.820,47.019,3.018,4.876
Elongation till break,1-Stretch,2.020,47.46,3.459,5.796
Elongation till break,1-Stretch,2.220,47.901,3.9,6.691
Elongation till break,1-Stretch,2.420,48.342,4.341,7.660
Elongation till break,1-Stretch,2.620,48.784,4.783,8.604
Elongation till break,1-Stretch,2.820,49.224,5.223,9.717
Elongation till break,1-Stretch,3.020,49.666,5.665,10.734
Elongation till break,1-Stretch,3.220,50.107,6.106,11.823
Elongation till break,1-Stretch,3.420,50.548,6.547,12.888
Elongation till break,1-Stretch,3.620,50.989,6.988,13.978
Elongation till break,1-Stretch,3.820,51.43,7.429,15.043
Elongation till break,1-Stretch,4.020,51.871,7.87,16.011
Elongation till break,1-Stretch,4.220,52.313,8.312,16.979
Elongation till break,1-Stretch,4.420,52.753,8.752,-3.282
Elongation till break,1-Stretch,4.620,53.195,9.194,-2.047
Elongation till break,1-Stretch,4.820,53.636,9.635,-2.072
Elongation till break,1-Stretch,5.020,54.077,10.076,-2.023
Elongation till break,1-Stretch,5.220,54.518,10.517,-2.047
Elongation till break,1-Stretch,5.420,54.959,10.958,-1.926
Elongation till break,1-Stretch,5.620,55.4,11.399,-1.975
Elongation till break,1-Stretch,5.820,55.841,11.84,-1.999
Elongation till break,1-Stretch,6.020,56.282,12.281,-1.926
Elongation till break,1-Stretch,6.220,56.723,12.722,-1.999
Elongation till break,1-Stretch,6.420,57.165,13.164,-1.975
Elongation till break,1-Stretch,6.620,57.606,13.605,-1.902
Elongation till break,1-Stretch,6.820,58.047,14.046,-1.902
Elongation till break,1-Stretch,7.020,58.488,14.487,-1.902
Elongation till break,1-Stretch,7.220,58.929,14.928,-1.902
Elongation till break,1-Stretch,7.420,59.37,15.369,-1.902
Elongation till break,1-Stretch,7.620,59.812,15.811,-1.878
Elongation till break,1-Stretch,7.820,60.252,16.251,-1.854
Elongation till break,1-Stretch,8.020,60.694,16.693,-1.878
Elongation till break,1-Stretch,8.220,61.135,17.134,-1.757
Elongation till break,1-Stretch,8.420,61.576,17.575,-1.830
