SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.144
Elongation till break,1-Preload,0.200,44,0,-0.002
Elongation till break,1-Preload,0.400,44,0,0.047
Elongation till break,1-Stretch,0.420,44,0,0.047
Elongation till break,1-Stretch,0.620,44.372,0.372,0.168
Elongation till break,1-Stretch,0.820,44.813,0.813,0.458
Elongation till break,1-Stretch,1.020,45.255,1.255,0.628
Elongation till break,1-Stretch,1.220,45.696,1.696,0.870
Elongation till break,1-Stretch,1.420,46.137,2.137,1.112
Elongation till break,1-Stretch,1.620,46.578,2.578,1.281
Elongation till break,1-Stretch,1.820,47.019,3.019,1.475
Elongation till break,1-Stretch,2.020,47.46,3.46,1.644
Elongation till break,1-Stretch,2.220,47.901,3.901,1.838
Elongation till break,1-Stretch,2.420,48.342,4.342,2.080
Elongation till break,1-Stretch,2.620,48.783,4.783,2.298
Elongation till break,1-Stretch,2.820,49.224,5.224,2.637
Elongation till break,1-Stretch,3.020,49.665,5.665,2.903
Elongation till break,1-Stretch,3.220,50.107,6.107,3.266
Elongation till break,1-Stretch,3.420,50.547,6.547,3.460
Elongation till break,1-Stretch,3.620,50.989,6.989,3.823
Elongation till break,1-Stretch,3.820,51.43,7.43,4.186
Elongation till break,1-Stretch,4.020,51.871,7.871,4.452
Elongation till break,1-Stretch,4.220,52.312,8.312,4.840
Elongation till break,1-Stretch,4.420,52.753,8.753,5.275
Elongation till break,1-Stretch,4.620,53.194,9.194,5.614
Elongation till break,1-Stretch,4.820,53.635,9.635,6.074
Elongation till break,1-Stretch,5.020,54.076,10.076,6.486
Elongation till break,1-Stretch,5.220,54.517,10.517,6.970
Elongation till break,1-Stretch,5.420,54.958,10.958,7.357
Elongation till break,1-Stretch,5.620,55.399,11.399,7.841
Elongation till break,1-Stretch,5.820,55.841,11.841,8.301
Elongation till break,1-Stretch,6.020,56.282,12.282,8.785
Elongation till break,1-Stretch,6.220,56.723,12.723,9.221
Elongation till break,1-Stretch,6.420,57.164,13.164,9.681
Elongation till break,1-Stretch,6.620,57.605,13.605,10.238
Elongation till break,1-Stretch,6.820,58.046,14.046,10.770
Elongation till break,1-Stretch,7.020,58.487,14.487,11.376
Elongation till break,1-Stretch,7.220,58.928,14.928,11.884
Elongation till break,1-Stretch,7.420,59.369,15.369,12.416
Elongation till break,1-Stretch,7.620,59.81,15.81,12.997
Elongation till break,1-Stretch,7.820,60.251,16.251,13.482
Elongation till break,1-Stretch,8.020,60.692,16.692,14.135
Elongation till break,1-Stretch,8.220,61.133,17.133,14.740
Elongation till break,1-Stretch,8.420,61.575,17.575,15.394
Elongation till break,1-Stretch,8.620,62.016,18.016,15.975
Elongation till break,1-Stretch,8.820,62.457,18.457,16.701
Elongation till break,1-Stretch,9.020,62.898,18.898,17.427
Elongation till break,1-Stretch,9.220,63.339,19.339,18.129
Elongation till break,1-Stretch,9.420,63.78,19.78,18.759
