SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.004
Elongation till break,1-Preload,0.200,44,0,-0.004
Elongation till break,1-Preload,0.400,44,0,0.021
Elongation till break,1-Stretch,0.420,44,0,0.045
Elongation till break,1-Stretch,0.620,44.371,0.371,0.238
Elongation till break,1-Stretch,0.820,44.812,0.812,0.577
Elongation till break,1-Stretch,1.020,45.253,1.253,0.868
Elongation till break,1-Stretch,1.220,45.694,1.694,1.231
Elongation till break,1-Stretch,1.420,46.135,2.135,1.594
Elongation till break,1-Stretch,1.620,46.577,2.577,1.909
Elongation till break,1-Stretch,1.820,47.017,3.017,2.320
Elongation till break,1-Stretch,2.020,47.459,3.459,2.804
Elongation till break,1-Stretch,2.220,47.9,3.9,3.361
Elongation till break,1-Stretch,2.420,48.341,4.341,3.845
Elongation till break,1-Stretch,2.620,48.782,4.782,4.402
Elongation till break,1-Stretch,2.820,49.223,5.223,4.983
Elongation till break,1-Stretch,3.020,49.664,5.664,5.612
Elongation till break,1-Stretch,3.220,50.105,6.105,6.145
Elongation till break,1-Stretch,3.420,50.546,6.546,6.847
Elongation till break,1-Stretch,3.620,50.987,6.987,7.428
Elongation till break,1-Stretch,3.820,51.429,7.429,8.033
Elongation till break,1-Stretch,4.020,51.869,7.869,8.783
Elongation till break,1-Stretch,4.220,52.311,8.311,9.461
Elongation till break,1-Stretch,4.420,52.751,8.751,10.139
Elongation till break,1-Stretch,4.620,53.193,9.193,10.841
Elongation till break,1-Stretch,4.820,53.634,9.634,11.591
Elongation till break,1-Stretch,5.020,54.075,10.075,12.366
Elongation till break,1-Stretch,5.220,54.516,10.516,13.165
Elongation till break,1-Stretch,5.420,54.957,10.957,13.940
Elongation till break,1-Stretch,5.620,55.398,11.398,14.690
Elongation till break,1-Stretch,5.820,55.839,11.839,15.344
Elongation till break,1-Stretch,6.020,56.28,12.28,16.094
Elongation till break,1-Stretch,6.220,56.721,12.721,16.893
Elongation till break,1-Stretch,6.420,57.163,13.163,17.716
Elongation till break,1-Stretch,6.620,57.603,13.603,18.563
Elongation till break,1-Stretch,6.820,58.045,14.045,19.459
Elongation till break,1-Stretch,7.020,58.486,14.486,20.354
Elongation till break,1-Stretch,7.220,58.927,14.927,21.226
Elongation till break,1-Stretch,7.420,59.368,15.368,22.073
Elongation till break,1-Stretch,7.620,59.809,15.809,22.848
Elongation till break,1-Stretch,7.820,60.25,16.25,23.646
Elongation till break,1-Stretch,8.020,60.691,16.691,24.445
Elongation till break,1-Stretch,8.220,61.132,17.132,25.317
Elongation till break,1-Stretch,8.420,61.573,17.573,26.091
Elongation till break,1-Stretch,8.620,62.014,18.014,26.939
Elongation till break,1-Stretch,8.820,62.455,18.455,27.471
Elongation till break,1-Stretch,9.020,62.897,18.897,-0.004
Elongation till break,1-Stretch,9.220,63.338,19.338,-0.948
Elongation till break,1-Stretch,9.420,63.779,19.779,-0.923
Elongation till break,1-Stretch,9.620,64.22,20.22,-0.899
Elongation till break,1-Stretch,9.820,64.661,20.661,-0.899
Elongation till break,1-Stretch,10.020,65.102,21.102,-0.899
Elongation till break,1-Stretch,10.220,65.543,21.543,-0.899
Elongation till break,1-Stretch,10.420,65.984,21.984,-0.875
Elongation till break,1-Stretch,10.620,66.425,22.425,-0.802
Elongation till break,1-Stretch,10.820,66.866,22.866,-0.802
Elongation till break,1-Stretch,11.020,67.307,23.307,-0.802
Elongation till break,1-Stretch,11.220,67.748,23.748,-0.827
Elongation till break,1-Stretch,11.420,68.19,24.19,-0.851
Elongation till break,1-Stretch,11.620,68.631,24.631,-0.778
Elongation till break,1-Stretch,11.820,69.072,25.072,-0.778
Elongation till break,1-Stretch,12.020,69.513,25.513,-0.754
Elongation till break,1-Stretch,12.220,69.954,25.954,-0.754
Elongation till break,1-Stretch,12.420,70.395,26.395,-0.802
Elongation till break,1-Stretch,12.620,70.836,26.836,-0.706
Elongation till break,1-Stretch,12.820,71.277,27.277,-0.754
Elongation till break,1-Stretch,13.020,71.718,27.718,-0.657
Elongation till break,1-Stretch,13.220,72.159,28.159,-0.657
Elongation till break,1-Stretch,13.420,72.6,28.6,-0.657
Elongation till break,1-Stretch,13.620,73.042,29.042,-0.609
