SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.007
Elongation till break,1-Preload,0.200,44.001,0,-0.002
Elongation till break,1-Preload,0.400,44.001,0,-0.007
Elongation till break,1-Stretch,0.420,44.001,0,-0.012
Elongation till break,1-Stretch,0.620,44.371,0.37,0.022
Elongation till break,1-Stretch,0.820,44.812,0.811,0.098
Elongation till break,1-Stretch,1.020,45.254,1.253,0.189
Elongation till break,1-Stretch,1.220,45.695,1.694,0.333
Elongation till break,1-Stretch,1.420,46.136,2.135,0.524
Elongation till break,1-Stretch,1.620,46.577,2.576,0.735
Elongation till break,1-Stretch,1.820,47.018,3.017,0.816
Elongation till break,1-Stretch,2.020,47.459,3.458,1.027
Elongation till break,1-Stretch,2.220,47.9,3.899,1.051
Elongation till break,1-Stretch,2.420,48.341,4.34,1.286
Elongation till break,1-Stretch,2.620,48.783,4.782,1.621
Elongation till break,1-Stretch,2.820,49.224,5.223,1.980
Elongation till break,1-Stretch,3.020,49.665,5.664,2.358
Elongation till break,1-Stretch,3.220,50.106,6.105,2.616
Elongation till break,1-Stretch,3.420,50.547,6.546,2.803
Elongation till break,1-Stretch,3.620,50.988,6.987,3.043
Elongation till break,1-Stretch,3.820,51.429,7.428,1.544
Elongation till break,1-Stretch,4.020,51.87,7.869,0.180
