SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.003
Elongation till break,1-Preload,0.200,44,0,0.001
Elongation till break,1-Preload,0.400,44,0,0.001
Elongation till break,1-Stretch,0.420,44,0,0.006
Elongation till break,1-Stretch,0.620,44.372,0.372,0.040
Elongation till break,1-Stretch,0.820,44.813,0.813,0.059
Elongation till break,1-Stretch,1.020,45.254,1.254,0.217
Elongation till break,1-Stretch,1.220,45.695,1.695,0.451
Elongation till break,1-Stretch,1.420,46.137,2.137,0.657
Elongation till break,1-Stretch,1.620,46.578,2.578,0.810
Elongation till break,1-Stretch,1.820,47.019,3.019,0.863
Elongation till break,1-Stretch,2.020,47.46,3.46,1.026
Elongation till break,1-Stretch,2.220,47.901,3.901,1.222
Elongation till break,1-Stretch,2.420,48.342,4.342,1.576
Elongation till break,1-Stretch,2.620,48.783,4.783,1.926
Elongation till break,1-Stretch,2.820,49.224,5.224,2.309
Elongation till break,1-Stretch,3.020,49.665,5.665,2.692
Elongation till break,1-Stretch,3.220,50.107,6.107,3.075
Elongation till break,1-Stretch,3.420,50.547,6.547,3.400
Elongation till break,1-Stretch,3.620,50.988,6.988,3.702
Elongation till break,1-Stretch,3.820,51.43,7.43,3.989
Elongation till break,1-Stretch,4.020,51.871,7.871,4.281
Elongation till break,1-Stretch,4.220,52.312,8.312,4.545
Elongation till break,1-Stretch,4.420,52.753,8.753,-0.568
Elongation till break,1-Stretch,4.620,53.194,9.194,-0.846
Elongation till break,1-Stretch,4.820,53.635,9.635,-1.004
Elongation till break,1-Stretch,5.020,54.076,10.076,-1.382
Elongation till break,1-Stretch,5.220,54.517,10.517,-1.487
Elongation till break,1-Stretch,5.420,54.958,10.958,-1.454
Elongation till break,1-Stretch,5.620,55.399,11.399,-1.473
Elongation till break,1-Stretch,5.820,55.841,11.841,-1.416
Elongation till break,1-Stretch,6.020,56.282,12.282,-1.392
Elongation till break,1-Stretch,6.220,56.722,12.722,-1.396
Elongation till break,1-Stretch,6.420,57.164,13.164,-1.339
Elongation till break,1-Stretch,6.620,57.605,13.605,-1.310
Elongation till break,1-Stretch,6.820,58.046,14.046,-1.291
