SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.000
Elongation till break,1-Preload,0.200,44.001,0,0.000
Elongation till break,1-Preload,0.400,44.001,0,0.000
Elongation till break,1-Stretch,0.420,44.001,0,-0.005
Elongation till break,1-Stretch,0.620,44.373,0.372,-0.163
Elongation till break,1-Stretch,0.820,44.814,0.813,-0.230
Elongation till break,1-Stretch,1.020,45.256,1.255,-0.282
Elongation till break,1-Stretch,1.220,45.697,1.696,-0.239
Elongation till break,1-Stretch,1.420,46.138,2.137,-0.211
Elongation till break,1-Stretch,1.620,46.579,2.578,-0.302
Elongation till break,1-Stretch,1.820,47.02,3.019,-0.278
Elongation till break,1-Stretch,2.020,47.461,3.46,-0.235
Elongation till break,1-Stretch,2.220,47.902,3.901,-0.268
Elongation till break,1-Stretch,2.420,48.343,4.342,-0.158
Elongation till break,1-Stretch,2.620,48.785,4.784,-0.005
Elongation till break,1-Stretch,2.820,49.226,5.225,0.081
Elongation till break,1-Stretch,3.020,49.667,5.666,0.172
Elongation till break,1-Stretch,3.220,50.108,6.107,0.263
Elongation till break,1-Stretch,3.420,50.549,6.548,0.340
Elongation till break,1-Stretch,3.620,50.99,6.989,0.412
Elongation till break,1-Stretch,3.820,51.431,7.43,0.493
Elongation till break,1-Stretch,4.020,51.872,7.871,0.493
Elongation till break,1-Stretch,4.220,52.313,8.312,0.589
Elongation till break,1-Stretch,4.420,52.754,8.753,0.718
Elongation till break,1-Stretch,4.620,53.196,9.195,0.795
Elongation till break,1-Stretch,4.820,53.637,9.636,0.910
Elongation till break,1-Stretch,5.020,54.078,10.077,1.020
Elongation till break,1-Stretch,5.220,54.519,10.518,1.111
Elongation till break,1-Stretch,5.420,54.96,10.959,1.211
Elongation till break,1-Stretch,5.620,55.401,11.4,1.297
Elongation till break,1-Stretch,5.820,55.842,11.841,1.345
Elongation till break,1-Stretch,6.020,56.283,12.282,1.431
Elongation till break,1-Stretch,6.220,56.725,12.724,1.527
Elongation till break,1-Stretch,6.420,57.166,13.165,1.623
Elongation till break,1-Stretch,6.620,57.607,13.606,1.757
Elongation till break,1-Stretch,6.820,58.048,14.047,1.867
Elongation till break,1-Stretch,7.020,58.489,14.488,1.968
Elongation till break,1-Stretch,7.220,58.93,14.929,2.092
Elongation till break,1-Stretch,7.420,59.371,15.37,2.197
Elongation till break,1-Stretch,7.620,59.812,15.811,2.293
Elongation till break,1-Stretch,7.820,60.253,16.252,2.384
Elongation till break,1-Stretch,8.020,60.695,16.694,2.470
Elongation till break,1-Stretch,8.220,61.135,17.134,2.585
Elongation till break,1-Stretch,8.420,61.577,17.576,2.705
Elongation till break,1-Stretch,8.620,62.018,18.017,2.839
Elongation till break,1-Stretch,8.820,62.459,18.458,2.987
Elongation till break,1-Stretch,9.020,62.9,18.899,3.131
Elongation till break,1-Stretch,9.220,63.341,19.34,3.236
Elongation till break,1-Stretch,9.420,63.782,19.781,3.342
Elongation till break,1-Stretch,9.620,64.224,20.223,3.413
Elongation till break,1-Stretch,9.820,64.664,20.663,3.447
Elongation till break,1-Stretch,10.020,65.106,21.105,3.466
Elongation till break,1-Stretch,10.220,65.547,21.546,0.651
Elongation till break,1-Stretch,10.420,65.988,21.987,0.053
Elongation till break,1-Stretch,10.620,66.429,22.428,0.584
Elongation till break,1-Stretch,10.820,66.87,22.869,0.388
Elongation till break,1-Stretch,11.020,67.311,23.31,0.460
Elongation till break,1-Stretch,11.220,67.752,23.751,0.508
