SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,-0.000
Elongation till break,1-Preload,0.200,44.001,0,-0.000
Elongation till break,1-Preload,0.400,44.001,0,-0.000
Elongation till break,1-Stretch,0.420,44.001,0,-0.000
Elongation till break,1-Stretch,0.620,44.373,0.372,0.491
Elongation till break,1-Stretch,0.820,44.814,0.813,1.146
Elongation till break,1-Stretch,1.020,45.255,1.254,1.555
Elongation till break,1-Stretch,1.220,45.696,1.695,1.964
Elongation till break,1-Stretch,1.420,46.137,2.136,2.619
Elongation till break,1-Stretch,1.620,46.579,2.578,2.865
Elongation till break,1-Stretch,1.820,47.019,3.018,3.520
Elongation till break,1-Stretch,2.020,47.461,3.46,4.256
Elongation till break,1-Stretch,2.220,47.902,3.901,4.829
Elongation till break,1-Stretch,2.420,48.343,4.342,5.484
Elongation till break,1-Stretch,2.620,48.784,4.783,5.811
Elongation till break,1-Stretch,2.820,49.225,5.224,6.548
Elongation till break,1-Stretch,3.020,49.666,5.665,7.203
Elongation till break,1-Stretch,3.220,50.107,6.106,8.021
Elongation till break,1-Stretch,3.420,50.548,6.547,8.594
Elongation till break,1-Stretch,3.620,50.99,6.989,9.413
Elongation till break,1-Stretch,3.820,51.431,7.43,10.068
Elongation till break,1-Stretch,4.020,51.872,7.871,10.968
Elongation till break,1-Stretch,4.220,52.313,8.312,11.623
Elongation till break,1-Stretch,4.420,52.754,8.753,12.441
Elongation till break,1-Stretch,4.620,53.195,9.194,13.342
Elongation till break,1-Stretch,4.820,53.636,9.635,14.406
Elongation till break,1-Stretch,5.020,54.077,10.076,15.060
Elongation till break,1-Stretch,5.220,54.518,10.517,16.206
Elongation till break,1-Stretch,5.420,54.96,10.959,17.352
Elongation till break,1-Stretch,5.620,55.401,11.4,18.089
Elongation till break,1-Stretch,5.820,55.842,11.841,19.071
Elongation till break,1-Stretch,6.020,56.283,12.282,20.217
Elongation till break,1-Stretch,6.220,56.724,12.723,21.035
Elongation till break,1-Stretch,6.420,57.165,13.164,22.181
Elongation till break,1-Stretch,6.620,57.606,13.605,23.409
Elongation till break,1-Stretch,6.820,58.047,14.046,24.309
Elongation till break,1-Stretch,7.020,58.489,14.488,25.537
Elongation till break,1-Stretch,7.220,58.93,14.929,26.601
Elongation till break,1-Stretch,7.420,59.371,15.37,27.665
Elongation till break,1-Stretch,7.620,59.812,15.811,28.729
Elongation till break,1-Stretch,7.820,60.253,16.252,29.548
Elongation till break,1-Stretch,8.020,60.694,16.693,30.612
Elongation till break,1-Stretch,8.220,61.135,17.134,31.840
Elongation till break,1-Stretch,8.420,61.576,17.575,32.822
Elongation till break,1-Stretch,8.620,62.017,18.016,34.131
Elongation till break,1-Stretch,8.820,62.458,18.457,35.441
Elongation till break,1-Stretch,9.020,62.9,18.899,36.587
Elongation till break,1-Stretch,9.220,63.341,19.34,37.896
Elongation till break,1-Stretch,9.420,63.782,19.781,38.879
Elongation till break,1-Stretch,9.620,64.223,20.222,40.106
Elongation till break,1-Stretch,9.820,64.664,20.663,41.498
Elongation till break,1-Stretch,10.020,65.105,21.104,42.889
Elongation till break,1-Stretch,10.220,65.546,21.545,44.363
Elongation till break,1-Stretch,10.420,65.987,21.986,45.590
Elongation till break,1-Stretch,10.620,66.429,22.428,46.982
Elongation till break,1-Stretch,10.820,66.87,22.869,48.373
Elongation till break,1-Stretch,11.020,67.311,23.31,49.928
Elongation till break,1-Stretch,11.220,67.752,23.751,51.320
Elongation till break,1-Stretch,11.420,68.193,24.192,52.957
Elongation till break,1-Stretch,11.620,68.634,24.633,54.266
Elongation till break,1-Stretch,11.820,69.075,25.074,55.903
Elongation till break,1-Stretch,12.020,69.516,25.515,57.377
Elongation till break,1-Stretch,12.220,69.957,25.956,58.932
Elongation till break,1-Stretch,12.420,70.399,26.398,60.651
Elongation till break,1-Stretch,12.620,70.839,26.838,62.369
Elongation till break,1-Stretch,12.820,71.281,27.28,64.088
Elongation till break,1-Stretch,13.020,71.722,27.721,65.562
Elongation till break,1-Stretch,13.220,72.163,28.162,67.199
Elongation till break,1-Stretch,13.420,72.604,28.603,68.590
Elongation till break,1-Stretch,13.620,73.045,29.044,70.227
Elongation till break,1-Stretch,13.820,73.486,29.485,71.782
Elongation till break,1-Stretch,14.020,73.928,29.927,73.665
Elongation till break,1-Stretch,14.220,74.368,30.367,75.056
Elongation till break,1-Stretch,14.420,74.81,30.809,76.448
Elongation till break,1-Stretch,14.620,75.251,31.25,77.594
Elongation till break,1-Stretch,14.820,75.692,31.691,78.248
Elongation till break,1-Stretch,15.020,76.133,32.132,79.394
Elongation till break,1-Stretch,15.220,76.574,32.573,80.704
Elongation till break,1-Stretch,15.420,77.015,33.014,82.423
Elongation till break,1-Stretch,15.620,77.456,33.455,83.814
Elongation till break,1-Stretch,15.820,77.897,33.896,85.697
Elongation till break,1-Stretch,16.020,78.338,34.337,87.252
Elongation till break,1-Stretch,16.220,78.78,34.779,88.725
Elongation till break,1-Stretch,16.420,79.221,35.22,8.103
Elongation till break,1-Stretch,16.620,79.662,35.661,-1.883
Elongation till break,1-Stretch,16.820,80.103,36.102,-1.964
Elongation till break,1-Stretch,17.020,80.544,36.543,-1.964
Elongation till break,1-Stretch,17.220,80.985,36.984,-1.964
