SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.016
Elongation till break,1-Preload,0.200,44.001,0,0.016
Elongation till break,1-Preload,0.400,44.001,0,-0.065
Elongation till break,1-Stretch,0.410,44.001,0,-0.065
Elongation till break,1-Stretch,0.610,44.363,0.362,0.180
Elongation till break,1-Stretch,0.810,44.804,0.803,0.180
Elongation till break,1-Stretch,1.010,45.245,1.244,0.262
Elongation till break,1-Stretch,1.210,45.686,1.685,0.671
Elongation till break,1-Stretch,1.410,46.127,2.126,1.080
Elongation till break,1-Stretch,1.610,46.568,2.567,1.490
Elongation till break,1-Stretch,1.810,47.009,3.008,1.735
Elongation till break,1-Stretch,2.010,47.451,3.45,1.899
Elongation till break,1-Stretch,2.210,47.892,3.891,2.472
Elongation till break,1-Stretch,2.410,48.333,4.332,2.636
Elongation till break,1-Stretch,2.610,48.774,4.773,3.045
Elongation till break,1-Stretch,2.810,49.215,5.214,3.290
Elongation till break,1-Stretch,3.010,49.656,5.655,3.454
Elongation till break,1-Stretch,3.210,50.097,6.096,3.945
Elongation till break,1-Stretch,3.410,50.539,6.538,4.518
Elongation till break,1-Stretch,3.610,50.979,6.978,4.764
Elongation till break,1-Stretch,3.810,51.421,7.42,5.255
Elongation till break,1-Stretch,4.010,51.862,7.861,5.828
Elongation till break,1-Stretch,4.210,52.303,8.302,6.319
Elongation till break,1-Stretch,4.410,52.744,8.743,6.564
Elongation till break,1-Stretch,4.610,53.185,9.184,7.301
Elongation till break,1-Stretch,4.810,53.626,9.625,7.874
Elongation till break,1-Stretch,5.010,54.068,10.067,8.447
Elongation till break,1-Stretch,5.210,54.508,10.507,8.938
Elongation till break,1-Stretch,5.410,54.95,10.949,9.184
Elongation till break,1-Stretch,5.610,55.391,11.39,10.084
Elongation till break,1-Stretch,5.810,55.832,11.831,10.657
Elongation till break,1-Stretch,6.010,56.273,12.272,11.312
Elongation till break,1-Stretch,6.210,56.714,12.713,12.048
Elongation till break,1-Stretch,6.410,57.155,13.154,12.376
Elongation till break,1-Stretch,6.610,57.596,13.595,13.112
Elongation till break,1-Stretch,6.810,58.037,14.036,13.849
Elongation till break,1-Stretch,7.010,58.478,14.477,14.422
Elongation till break,1-Stretch,7.210,58.92,14.919,14.995
Elongation till break,1-Stretch,7.410,59.361,15.36,15.240
Elongation till break,1-Stretch,7.610,59.802,15.801,15.977
Elongation till break,1-Stretch,7.810,60.243,16.242,16.796
Elongation till break,1-Stretch,8.010,60.684,16.683,17.614
Elongation till break,1-Stretch,8.210,61.125,17.124,18.269
Elongation till break,1-Stretch,8.410,61.566,17.565,18.351
Elongation till break,1-Stretch,8.610,62.007,18.006,18.924
Elongation till break,1-Stretch,8.810,62.449,18.448,19.578
Elongation till break,1-Stretch,9.010,62.89,18.889,19.415
Elongation till break,1-Stretch,9.210,63.331,19.33,-1.130
Elongation till break,1-Stretch,9.410,63.772,19.771,-1.211
Elongation till break,1-Stretch,9.610,64.213,20.212,-1.211
Elongation till break,1-Stretch,9.810,64.654,20.653,-1.211
Elongation till break,1-Stretch,10.010,65.095,21.094,-1.211
Elongation till break,1-Stretch,10.210,65.536,21.535,-1.293
Elongation till break,1-Stretch,10.410,65.977,21.976,-1.293
Elongation till break,1-Stretch,10.610,66.418,22.417,-1.211
Elongation till break,1-Stretch,10.810,66.86,22.859,-1.293
Elongation till break,1-Stretch,11.010,67.301,23.3,-1.457
Elongation till break,1-Stretch,11.210,67.742,23.741,-1.293
