SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,48,0,0.005
Elongation till break,1-Preload,0.200,48,0,0.019
Elongation till break,1-Preload,0.400,48,0,0.010
Elongation till break,1-Stretch,0.410,48,0,0.010
Elongation till break,1-Stretch,0.610,48.402,0.402,-0.196
Elongation till break,1-Stretch,0.810,48.883,0.883,-0.287
Elongation till break,1-Stretch,1.010,49.364,1.364,-0.306
Elongation till break,1-Stretch,1.210,49.845,1.845,-0.287
Elongation till break,1-Stretch,1.410,50.326,2.326,-0.215
Elongation till break,1-Stretch,1.610,50.807,2.807,-0.196
Elongation till break,1-Stretch,1.810,51.289,3.289,-0.177
Elongation till break,1-Stretch,2.010,51.77,3.77,-0.148
Elongation till break,1-Stretch,2.210,52.251,4.251,-0.187
Elongation till break,1-Stretch,2.410,52.732,4.732,-0.100
Elongation till break,1-Stretch,2.610,53.213,5.213,-0.005
Elongation till break,1-Stretch,2.810,53.694,5.694,0.062
Elongation till break,1-Stretch,3.010,54.175,6.175,0.149
Elongation till break,1-Stretch,3.210,54.657,6.657,0.216
Elongation till break,1-Stretch,3.410,55.138,7.138,0.278
Elongation till break,1-Stretch,3.610,55.619,7.619,0.345
Elongation till break,1-Stretch,3.810,56.101,8.101,0.364
Elongation till break,1-Stretch,4.010,56.582,8.582,0.369
Elongation till break,1-Stretch,4.210,57.063,9.063,0.436
Elongation till break,1-Stretch,4.410,57.544,9.544,0.522
Elongation till break,1-Stretch,4.610,58.025,10.025,0.584
Elongation till break,1-Stretch,4.810,58.506,10.506,0.656
Elongation till break,1-Stretch,5.010,58.988,10.988,0.723
Elongation till break,1-Stretch,5.210,59.469,11.469,0.780
Elongation till break,1-Stretch,5.410,59.95,11.95,0.828
Elongation till break,1-Stretch,5.610,60.431,12.431,0.852
Elongation till break,1-Stretch,5.810,60.912,12.912,0.905
Elongation till break,1-Stretch,6.010,61.393,13.393,0.953
Elongation till break,1-Stretch,6.210,61.874,13.874,1.029
Elongation till break,1-Stretch,6.410,62.355,14.355,1.096
Elongation till break,1-Stretch,6.610,62.837,14.837,1.173
Elongation till break,1-Stretch,6.810,63.318,15.318,1.235
Elongation till break,1-Stretch,7.010,63.799,15.799,1.283
Elongation till break,1-Stretch,7.210,64.281,16.281,1.321
Elongation till break,1-Stretch,7.410,64.762,16.762,1.369
Elongation till break,1-Stretch,7.610,65.243,17.243,1.412
Elongation till break,1-Stretch,7.810,65.724,17.724,1.441
Elongation till break,1-Stretch,8.010,66.205,18.205,1.494
Elongation till break,1-Stretch,8.210,66.686,18.686,1.551
Elongation till break,1-Stretch,8.410,67.168,19.168,1.566
Elongation till break,1-Stretch,8.610,67.649,19.649,0.785
Elongation till break,1-Stretch,8.810,68.13,20.13,-0.129
Elongation till break,1-Stretch,9.010,68.611,20.611,0.216
Elongation till break,1-Stretch,9.210,69.092,21.092,0.369
Elongation till break,1-Stretch,9.410,69.573,21.573,0.364
Elongation till break,1-Stretch,9.610,70.054,22.054,0.383
Elongation till break,1-Stretch,9.810,70.536,22.536,0.407
Elongation till break,1-Stretch,10.010,71.017,23.017,0.441
Elongation till break,1-Stretch,10.210,71.498,23.498,0.460
Elongation till break,1-Stretch,10.410,71.979,23.979,0.479
Elongation till break,1-Stretch,10.610,72.461,24.461,0.484
Elongation till break,1-Stretch,10.810,72.942,24.942,0.517
