SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.007
Elongation till break,1-Preload,0.200,44,0,-0.007
Elongation till break,1-Preload,0.400,44,0,0.075
Elongation till break,1-Stretch,0.410,44,0,0.075
Elongation till break,1-Stretch,0.610,44.366,0.366,1.139
Elongation till break,1-Stretch,0.810,44.807,0.807,2.122
Elongation till break,1-Stretch,1.010,45.248,1.248,3.759
Elongation till break,1-Stretch,1.210,45.689,1.689,5.232
Elongation till break,1-Stretch,1.410,46.13,2.13,6.951
Elongation till break,1-Stretch,1.610,46.571,2.571,8.588
Elongation till break,1-Stretch,1.810,47.012,3.012,10.470
Elongation till break,1-Stretch,2.010,47.453,3.453,12.025
Elongation till break,1-Stretch,2.210,47.895,3.895,13.499
Elongation till break,1-Stretch,2.410,48.336,4.336,15.381
Elongation till break,1-Stretch,2.610,48.777,4.777,17.100
Elongation till break,1-Stretch,2.810,49.218,5.218,19.146
Elongation till break,1-Stretch,3.010,49.659,5.659,20.947
Elongation till break,1-Stretch,3.210,50.1,6.1,22.666
Elongation till break,1-Stretch,3.410,50.541,6.541,24.630
Elongation till break,1-Stretch,3.610,50.982,6.982,26.513
Elongation till break,1-Stretch,3.810,51.423,7.423,28.313
Elongation till break,1-Stretch,4.010,51.864,7.864,30.196
Elongation till break,1-Stretch,4.210,52.305,8.305,32.160
Elongation till break,1-Stretch,4.410,52.747,8.747,34.370
Elongation till break,1-Stretch,4.610,53.187,9.187,36.253
Elongation till break,1-Stretch,4.810,53.629,9.629,38.135
Elongation till break,1-Stretch,5.010,54.07,10.07,40.345
Elongation till break,1-Stretch,5.210,54.511,10.511,42.473
Elongation till break,1-Stretch,5.410,54.952,10.952,44.520
Elongation till break,1-Stretch,5.610,55.393,11.393,46.566
Elongation till break,1-Stretch,5.810,55.834,11.834,48.858
Elongation till break,1-Stretch,6.010,56.275,12.275,50.986
Elongation till break,1-Stretch,6.210,56.716,12.716,52.950
Elongation till break,1-Stretch,6.410,57.157,13.157,55.324
Elongation till break,1-Stretch,6.610,57.598,13.598,57.616
Elongation till break,1-Stretch,6.810,58.039,14.039,59.826
Elongation till break,1-Stretch,7.010,58.481,14.481,62.036
Elongation till break,1-Stretch,7.210,58.922,14.922,64.327
Elongation till break,1-Stretch,7.410,59.363,15.363,66.783
Elongation till break,1-Stretch,7.610,59.804,15.804,-3.035
Elongation till break,1-Stretch,7.810,60.245,16.245,-3.035
Elongation till break,1-Stretch,8.010,60.686,16.686,-3.117
Elongation till break,1-Stretch,8.210,61.127,17.127,-3.117
Elongation till break,1-Stretch,8.410,61.568,17.568,-3.117
Elongation till break,1-Stretch,8.610,62.009,18.009,-3.117
Elongation till break,1-Stretch,8.810,62.45,18.45,-3.117
Elongation till break,1-Stretch,9.010,62.891,18.891,-3.117
Elongation till break,1-Stretch,9.210,63.332,19.332,-3.117
