SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.005
Elongation till break,1-Preload,0.200,44.001,0,-0.010
Elongation till break,1-Preload,0.400,44.001,0,0.000
Elongation till break,1-Stretch,0.410,44.001,0,0.000
Elongation till break,1-Stretch,0.610,44.363,0.362,-0.077
Elongation till break,1-Stretch,0.810,44.804,0.803,-0.072
Elongation till break,1-Stretch,1.010,45.245,1.244,-0.029
Elongation till break,1-Stretch,1.210,45.686,1.685,0.029
Elongation till break,1-Stretch,1.410,46.127,2.126,0.163
Elongation till break,1-Stretch,1.610,46.569,2.568,0.235
Elongation till break,1-Stretch,1.810,47.009,3.008,0.235
Elongation till break,1-Stretch,2.010,47.451,3.45,0.259
Elongation till break,1-Stretch,2.210,47.892,3.891,0.235
Elongation till break,1-Stretch,2.410,48.333,4.332,0.124
Elongation till break,1-Stretch,2.610,48.774,4.773,0.072
Elongation till break,1-Stretch,2.810,49.215,5.214,0.024
Elongation till break,1-Stretch,3.010,49.656,5.655,0.081
Elongation till break,1-Stretch,3.210,50.097,6.096,0.211
Elongation till break,1-Stretch,3.410,50.539,6.538,0.349
Elongation till break,1-Stretch,3.610,50.98,6.979,0.378
Elongation till break,1-Stretch,3.810,51.421,7.42,0.278
Elongation till break,1-Stretch,4.010,51.862,7.861,-2.068
Elongation till break,1-Stretch,4.210,52.303,8.302,-0.780
Elongation till break,1-Stretch,4.410,52.744,8.743,-2.159
