SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.000
Elongation till break,1-Preload,0.200,44,0,0.000
Elongation till break,1-Preload,0.400,44,0,0.000
Elongation till break,1-Stretch,0.410,44,0,0.000
Elongation till break,1-Stretch,0.610,44.369,0.369,0.245
Elongation till break,1-Stretch,0.810,44.81,0.81,0.572
Elongation till break,1-Stretch,1.010,45.252,1.252,0.735
Elongation till break,1-Stretch,1.210,45.692,1.692,0.980
Elongation till break,1-Stretch,1.410,46.134,2.134,0.817
Elongation till break,1-Stretch,1.610,46.575,2.575,1.307
Elongation till break,1-Stretch,1.810,47.016,3.016,1.307
Elongation till break,1-Stretch,2.010,47.457,3.457,1.960
Elongation till break,1-Stretch,2.210,47.898,3.898,2.206
Elongation till break,1-Stretch,2.410,48.339,4.339,2.532
Elongation till break,1-Stretch,2.610,48.78,4.78,2.614
Elongation till break,1-Stretch,2.810,49.221,5.221,3.104
Elongation till break,1-Stretch,3.010,49.662,5.662,3.431
Elongation till break,1-Stretch,3.210,50.103,6.103,3.921
Elongation till break,1-Stretch,3.410,50.544,6.544,4.003
Elongation till break,1-Stretch,3.610,50.986,6.986,4.574
Elongation till break,1-Stretch,3.810,51.427,7.427,4.819
Elongation till break,1-Stretch,4.010,51.868,7.868,5.228
Elongation till break,1-Stretch,4.210,52.309,8.309,5.555
Elongation till break,1-Stretch,4.410,52.75,8.75,6.045
Elongation till break,1-Stretch,4.610,53.191,9.191,6.535
Elongation till break,1-Stretch,4.810,53.632,9.632,6.943
Elongation till break,1-Stretch,5.010,54.073,10.073,7.188
Elongation till break,1-Stretch,5.210,54.514,10.514,7.842
Elongation till break,1-Stretch,5.410,54.955,10.955,8.414
Elongation till break,1-Stretch,5.610,55.396,11.396,9.067
Elongation till break,1-Stretch,5.810,55.837,11.837,9.394
Elongation till break,1-Stretch,6.010,56.279,12.279,9.802
Elongation till break,1-Stretch,6.210,56.72,12.72,9.966
Elongation till break,1-Stretch,6.410,57.161,13.161,10.864
Elongation till break,1-Stretch,6.610,57.602,13.602,11.191
Elongation till break,1-Stretch,6.810,58.043,14.043,12.008
Elongation till break,1-Stretch,7.010,58.484,14.484,12.580
Elongation till break,1-Stretch,7.210,58.925,14.925,13.070
Elongation till break,1-Stretch,7.410,59.366,15.366,13.805
Elongation till break,1-Stretch,7.610,59.807,15.807,14.295
Elongation till break,1-Stretch,7.810,60.248,16.248,15.030
Elongation till break,1-Stretch,8.010,60.689,16.689,15.684
Elongation till break,1-Stretch,8.210,61.131,17.131,16.174
Elongation till break,1-Stretch,8.410,61.571,17.571,16.991
Elongation till break,1-Stretch,8.610,62.013,18.013,17.399
Elongation till break,1-Stretch,8.810,62.454,18.454,-0.490
Elongation till break,1-Stretch,9.010,62.895,18.895,-0.817
Elongation till break,1-Stretch,9.210,63.336,19.336,-0.980
Elongation till break,1-Stretch,9.410,63.777,19.777,-0.817
Elongation till break,1-Stretch,9.610,64.218,20.218,-0.653
Elongation till break,1-Stretch,9.810,64.659,20.659,-0.653
Elongation till break,1-Stretch,10.010,65.1,21.1,-0.817
Elongation till break,1-Stretch,10.210,65.541,21.541,-0.817
Elongation till break,1-Stretch,10.410,65.983,21.983,-0.735
