SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.013
Elongation till break,1-Preload,0.200,44.001,0,-0.012
Elongation till break,1-Preload,0.400,44.001,0,0.039
Elongation till break,1-Stretch,0.420,44.001,0,0.039
Elongation till break,1-Stretch,0.620,44.373,0.372,0.373
Elongation till break,1-Stretch,0.820,44.814,0.813,1.067
Elongation till break,1-Stretch,1.020,45.255,1.254,1.555
Elongation till break,1-Stretch,1.220,45.696,1.695,2.172
Elongation till break,1-Stretch,1.420,46.137,2.136,2.455
Elongation till break,1-Stretch,1.620,46.579,2.578,3.149
Elongation till break,1-Stretch,1.820,47.019,3.018,3.791
Elongation till break,1-Stretch,2.020,47.461,3.46,4.305
Elongation till break,1-Stretch,2.220,47.902,3.901,4.922
Elongation till break,1-Stretch,2.420,48.343,4.342,5.719
Elongation till break,1-Stretch,2.620,48.784,4.783,6.490
Elongation till break,1-Stretch,2.820,49.225,5.224,7.260
Elongation till break,1-Stretch,3.020,49.666,5.665,8.006
Elongation till break,1-Stretch,3.220,50.108,6.107,8.828
Elongation till break,1-Stretch,3.420,50.548,6.547,9.573
Elongation till break,1-Stretch,3.620,50.99,6.989,10.344
Elongation till break,1-Stretch,3.820,51.431,7.43,11.038
Elongation till break,1-Stretch,4.020,51.872,7.871,11.732
Elongation till break,1-Stretch,4.220,52.313,8.312,12.092
Elongation till break,1-Stretch,4.420,52.754,8.753,8.443
Elongation till break,1-Stretch,4.620,53.195,9.194,-0.938
Elongation till break,1-Stretch,4.820,53.636,9.635,-0.732
Elongation till break,1-Stretch,5.020,54.077,10.076,-0.629
Elongation till break,1-Stretch,5.220,54.518,10.517,-0.706
Elongation till break,1-Stretch,5.420,54.96,10.959,-0.603
Elongation till break,1-Stretch,5.620,55.401,11.4,-0.552
Elongation till break,1-Stretch,5.820,55.842,11.841,-0.552
Elongation till break,1-Stretch,6.020,56.283,12.282,-0.578
Elongation till break,1-Stretch,6.220,56.724,12.723,-0.552
Elongation till break,1-Stretch,6.420,57.165,13.164,-0.552
