SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.053
Elongation till break,1-Preload,0.200,44,0,0.020
Elongation till break,1-Preload,0.400,44,0,-0.004
Elongation till break,1-Stretch,0.420,44,0,-0.004
Elongation till break,1-Stretch,0.620,44.372,0.372,0.383
Elongation till break,1-Stretch,0.820,44.813,0.813,1.037
Elongation till break,1-Stretch,1.020,45.254,1.254,1.642
Elongation till break,1-Stretch,1.220,45.695,1.695,2.489
Elongation till break,1-Stretch,1.420,46.136,2.136,3.385
Elongation till break,1-Stretch,1.620,46.578,2.578,4.304
Elongation till break,1-Stretch,1.820,47.018,3.018,5.297
Elongation till break,1-Stretch,2.020,47.46,3.46,6.217
Elongation till break,1-Stretch,2.220,47.901,3.901,7.137
Elongation till break,1-Stretch,2.420,48.342,4.342,8.081
Elongation till break,1-Stretch,2.620,48.783,4.783,9.049
Elongation till break,1-Stretch,2.820,49.224,5.224,10.138
Elongation till break,1-Stretch,3.020,49.665,5.665,11.155
Elongation till break,1-Stretch,3.220,50.106,6.106,12.220
Elongation till break,1-Stretch,3.420,50.547,6.547,13.285
Elongation till break,1-Stretch,3.620,50.988,6.988,14.350
Elongation till break,1-Stretch,3.820,51.429,7.429,15.440
Elongation till break,1-Stretch,4.020,51.87,7.87,16.456
Elongation till break,1-Stretch,4.220,52.312,8.312,17.473
Elongation till break,1-Stretch,4.420,52.752,8.752,18.514
Elongation till break,1-Stretch,4.620,53.194,9.194,-2.207
Elongation till break,1-Stretch,4.820,53.635,9.635,-2.183
Elongation till break,1-Stretch,5.020,54.076,10.076,-2.328
Elongation till break,1-Stretch,5.220,54.517,10.517,-2.352
Elongation till break,1-Stretch,5.420,54.958,10.958,-2.304
Elongation till break,1-Stretch,5.620,55.399,11.399,-2.256
Elongation till break,1-Stretch,5.820,55.84,11.84,-2.207
Elongation till break,1-Stretch,6.020,56.281,12.281,-2.231
Elongation till break,1-Stretch,6.220,56.722,12.722,-2.280
Elongation till break,1-Stretch,6.420,57.163,13.163,-2.207
Elongation till break,1-Stretch,6.620,57.604,13.604,-2.183
Elongation till break,1-Stretch,6.820,58.046,14.046,-2.183
Elongation till break,1-Stretch,7.020,58.487,14.487,-2.110
Elongation till break,1-Stretch,7.220,58.928,14.928,-2.110
