SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,-0.017
Elongation till break,1-Preload,0.200,44.001,0,0.060
Elongation till break,1-Preload,0.400,44.001,0,-0.042
Elongation till break,1-Stretch,0.420,44.001,0,-0.042
Elongation till break,1-Stretch,0.620,44.373,0.372,0.523
Elongation till break,1-Stretch,0.820,44.814,0.813,1.011
Elongation till break,1-Stretch,1.020,45.255,1.254,1.525
Elongation till break,1-Stretch,1.220,45.696,1.695,2.039
Elongation till break,1-Stretch,1.420,46.138,2.137,2.502
Elongation till break,1-Stretch,1.620,46.579,2.578,2.964
Elongation till break,1-Stretch,1.820,47.02,3.019,3.401
Elongation till break,1-Stretch,2.020,47.461,3.46,3.787
Elongation till break,1-Stretch,2.220,47.902,3.901,4.172
Elongation till break,1-Stretch,2.420,48.343,4.342,4.661
Elongation till break,1-Stretch,2.620,48.784,4.783,5.252
Elongation till break,1-Stretch,2.820,49.225,5.224,5.766
Elongation till break,1-Stretch,3.020,49.666,5.665,6.382
Elongation till break,1-Stretch,3.220,50.108,6.107,6.896
Elongation till break,1-Stretch,3.420,50.548,6.547,7.462
Elongation till break,1-Stretch,3.620,50.99,6.989,4.763
Elongation till break,1-Stretch,3.820,51.431,7.43,-0.120
Elongation till break,1-Stretch,4.020,51.872,7.871,0.009
Elongation till break,1-Stretch,4.220,52.313,8.312,-0.017
Elongation till break,1-Stretch,4.420,52.754,8.753,0.009
Elongation till break,1-Stretch,4.620,53.195,9.194,0.060
Elongation till break,1-Stretch,4.820,53.637,9.636,0.035
Elongation till break,1-Stretch,5.020,54.077,10.076,0.086
Elongation till break,1-Stretch,5.220,54.519,10.518,0.060
