SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.023
Elongation till break,1-Preload,0.200,44,0,-0.003
Elongation till break,1-Preload,0.400,44,0,-0.080
Elongation till break,1-Stretch,0.420,44,0,-0.055
Elongation till break,1-Stretch,0.620,44.372,0.372,0.306
Elongation till break,1-Stretch,0.820,44.813,0.813,0.641
Elongation till break,1-Stretch,1.020,45.255,1.255,0.898
Elongation till break,1-Stretch,1.220,45.696,1.696,1.104
Elongation till break,1-Stretch,1.420,46.137,2.137,1.465
Elongation till break,1-Stretch,1.620,46.578,2.578,1.748
Elongation till break,1-Stretch,1.820,47.019,3.019,2.160
Elongation till break,1-Stretch,2.020,47.46,3.46,2.314
Elongation till break,1-Stretch,2.220,47.901,3.901,2.649
Elongation till break,1-Stretch,2.420,48.342,4.342,3.061
Elongation till break,1-Stretch,2.620,48.783,4.783,3.396
Elongation till break,1-Stretch,2.820,49.224,5.224,3.834
Elongation till break,1-Stretch,3.020,49.665,5.665,4.142
Elongation till break,1-Stretch,3.220,50.107,6.107,4.632
Elongation till break,1-Stretch,3.420,50.547,6.547,4.992
Elongation till break,1-Stretch,3.620,50.989,6.989,5.533
Elongation till break,1-Stretch,3.820,51.43,7.43,5.945
Elongation till break,1-Stretch,4.020,51.871,7.871,6.460
Elongation till break,1-Stretch,4.220,52.312,8.312,6.846
Elongation till break,1-Stretch,4.420,52.753,8.753,7.413
Elongation till break,1-Stretch,4.620,53.194,9.194,7.928
Elongation till break,1-Stretch,4.820,53.635,9.635,8.494
Elongation till break,1-Stretch,5.020,54.076,10.076,9.035
Elongation till break,1-Stretch,5.220,54.517,10.517,9.627
Elongation till break,1-Stretch,5.420,54.958,10.958,10.168
Elongation till break,1-Stretch,5.620,55.399,11.399,10.657
Elongation till break,1-Stretch,5.820,55.841,11.841,11.249
Elongation till break,1-Stretch,6.020,56.282,12.282,11.790
Elongation till break,1-Stretch,6.220,56.723,12.723,12.382
Elongation till break,1-Stretch,6.420,57.164,13.164,13.000
Elongation till break,1-Stretch,6.620,57.605,13.605,13.644
Elongation till break,1-Stretch,6.820,58.046,14.046,14.365
Elongation till break,1-Stretch,7.020,58.487,14.487,14.803
Elongation till break,1-Stretch,7.220,58.928,14.928,-1.136
Elongation till break,1-Stretch,7.420,59.369,15.369,-0.621
Elongation till break,1-Stretch,7.620,59.81,15.81,-0.595
Elongation till break,1-Stretch,7.820,60.251,16.251,-0.595
Elongation till break,1-Stretch,8.020,60.692,16.692,-0.544
Elongation till break,1-Stretch,8.220,61.133,17.133,-0.595
Elongation till break,1-Stretch,8.420,61.575,17.575,-0.544
Elongation till break,1-Stretch,8.620,62.016,18.016,-0.492
Elongation till break,1-Stretch,8.820,62.457,18.457,-0.518
Elongation till break,1-Stretch,9.020,62.898,18.898,-0.492
Elongation till break,1-Stretch,9.220,63.339,19.339,-0.492
