SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.014
Elongation till break,1-Preload,0.200,44.001,0,0.010
Elongation till break,1-Preload,0.400,44.001,0,0.010
Elongation till break,1-Stretch,0.410,44.001,0,0.010
Elongation till break,1-Stretch,0.610,44.373,0.372,0.034
Elongation till break,1-Stretch,0.810,44.815,0.814,-0.086
Elongation till break,1-Stretch,1.010,45.256,1.255,0.010
Elongation till break,1-Stretch,1.210,45.697,1.696,0.105
Elongation till break,1-Stretch,1.410,46.138,2.137,0.273
Elongation till break,1-Stretch,1.610,46.579,2.578,0.393
Elongation till break,1-Stretch,1.810,47.02,3.019,0.397
Elongation till break,1-Stretch,2.010,47.461,3.46,0.508
Elongation till break,1-Stretch,2.210,47.902,3.901,0.527
Elongation till break,1-Stretch,2.410,48.343,4.342,0.445
Elongation till break,1-Stretch,2.610,48.785,4.784,0.685
Elongation till break,1-Stretch,2.810,49.226,5.225,0.977
Elongation till break,1-Stretch,3.010,49.667,5.666,1.245
Elongation till break,1-Stretch,3.210,50.108,6.107,1.522
Elongation till break,1-Stretch,3.410,50.549,6.548,1.800
Elongation till break,1-Stretch,3.610,50.99,6.989,2.025
Elongation till break,1-Stretch,3.810,51.431,7.43,2.236
Elongation till break,1-Stretch,4.010,51.872,7.871,2.461
Elongation till break,1-Stretch,4.210,52.314,8.313,2.700
Elongation till break,1-Stretch,4.410,52.755,8.754,2.954
Elongation till break,1-Stretch,4.610,53.196,9.195,3.241
Elongation till break,1-Stretch,4.810,53.637,9.636,3.519
Elongation till break,1-Stretch,5.010,54.078,10.077,3.801
Elongation till break,1-Stretch,5.210,54.519,10.518,4.045
Elongation till break,1-Stretch,5.410,54.96,10.959,4.280
Elongation till break,1-Stretch,5.610,55.401,11.4,4.519
Elongation till break,1-Stretch,5.810,55.842,11.841,4.730
Elongation till break,1-Stretch,6.010,56.283,12.282,4.974
Elongation till break,1-Stretch,6.210,56.725,12.724,5.213
Elongation till break,1-Stretch,6.410,57.166,13.165,5.491
Elongation till break,1-Stretch,6.610,57.607,13.606,5.683
Elongation till break,1-Stretch,6.810,58.048,14.047,-0.991
Elongation till break,1-Stretch,7.010,58.489,14.488,-0.900
Elongation till break,1-Stretch,7.210,58.93,14.929,-0.909
Elongation till break,1-Stretch,7.410,59.371,15.37,-1.235
Elongation till break,1-Stretch,7.610,59.813,15.812,-1.020
Elongation till break,1-Stretch,7.810,60.254,16.253,-1.101
Elongation till break,1-Stretch,8.010,60.695,16.694,-1.044
Elongation till break,1-Stretch,8.210,61.136,17.135,-1.048
Elongation till break,1-Stretch,8.410,61.577,17.576,-1.000
Elongation till break,1-Stretch,8.610,62.018,18.017,-0.991
Elongation till break,1-Stretch,8.810,62.459,18.458,-0.957
Elongation till break,1-Stretch,9.010,62.9,18.899,-0.933
Elongation till break,1-Stretch,9.210,63.341,19.34,-0.905
Elongation till break,1-Stretch,9.410,63.782,19.781,-0.871
Elongation till break,1-Stretch,9.610,64.224,20.223,-0.866
