SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.010
Elongation till break,1-Preload,0.200,44,0,0.005
Elongation till break,1-Preload,0.400,44,0,0.005
Elongation till break,1-Stretch,0.410,44,0,0.005
Elongation till break,1-Stretch,0.610,44.37,0.37,-0.064
Elongation till break,1-Stretch,0.810,44.811,0.811,-0.025
Elongation till break,1-Stretch,1.010,45.252,1.252,0.159
Elongation till break,1-Stretch,1.210,45.693,1.693,0.352
Elongation till break,1-Stretch,1.410,46.134,2.134,0.605
Elongation till break,1-Stretch,1.610,46.575,2.575,1.001
Elongation till break,1-Stretch,1.810,47.016,3.016,1.378
Elongation till break,1-Stretch,2.010,47.457,3.457,1.690
Elongation till break,1-Stretch,2.210,47.898,3.898,1.868
Elongation till break,1-Stretch,2.410,48.339,4.339,2.136
Elongation till break,1-Stretch,2.610,48.781,4.781,2.176
Elongation till break,1-Stretch,2.810,49.221,5.221,0.159
Elongation till break,1-Stretch,3.010,49.663,5.663,0.159
Elongation till break,1-Stretch,3.210,50.104,6.104,-1.363
Elongation till break,1-Stretch,3.410,50.545,6.545,-1.209
Elongation till break,1-Stretch,3.610,50.986,6.986,-1.452
Elongation till break,1-Stretch,3.810,51.427,7.427,-1.537
Elongation till break,1-Stretch,4.010,51.868,7.868,-1.527
Elongation till break,1-Stretch,4.210,52.309,8.309,-1.601
Elongation till break,1-Stretch,4.410,52.75,8.75,-1.616
Elongation till break,1-Stretch,4.610,53.191,9.191,-1.537
Elongation till break,1-Stretch,4.810,53.632,9.632,-1.502
Elongation till break,1-Stretch,5.010,54.073,10.073,-1.457
Elongation till break,1-Stretch,5.210,54.515,10.515,-1.403
Elongation till break,1-Stretch,5.410,54.956,10.956,-1.353
Elongation till break,1-Stretch,5.610,55.397,11.397,-1.343
Elongation till break,1-Stretch,5.810,55.838,11.838,-1.313
