SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.006
Elongation till break,1-Preload,0.200,44,0,-0.057
Elongation till break,1-Preload,0.400,44,0,-0.031
Elongation till break,1-Stretch,0.420,44,0,-0.031
Elongation till break,1-Stretch,0.620,44.372,0.372,0.174
Elongation till break,1-Stretch,0.820,44.813,0.813,0.277
Elongation till break,1-Stretch,1.020,45.255,1.255,0.406
Elongation till break,1-Stretch,1.220,45.696,1.696,0.534
Elongation till break,1-Stretch,1.420,46.137,2.137,0.714
Elongation till break,1-Stretch,1.620,46.578,2.578,0.817
Elongation till break,1-Stretch,1.820,47.019,3.019,0.920
Elongation till break,1-Stretch,2.020,47.46,3.46,0.997
Elongation till break,1-Stretch,2.220,47.901,3.901,1.022
Elongation till break,1-Stretch,2.420,48.342,4.342,1.202
Elongation till break,1-Stretch,2.620,48.783,4.783,1.279
Elongation till break,1-Stretch,2.820,49.224,5.224,1.331
Elongation till break,1-Stretch,3.020,49.666,5.666,1.536
Elongation till break,1-Stretch,3.220,50.107,6.107,1.639
Elongation till break,1-Stretch,3.420,50.547,6.547,1.742
Elongation till break,1-Stretch,3.620,50.989,6.989,1.896
Elongation till break,1-Stretch,3.820,51.43,7.43,1.973
Elongation till break,1-Stretch,4.020,51.871,7.871,2.127
Elongation till break,1-Stretch,4.220,52.312,8.312,2.204
Elongation till break,1-Stretch,4.420,52.753,8.753,2.256
Elongation till break,1-Stretch,4.620,53.194,9.194,2.384
Elongation till break,1-Stretch,4.820,53.635,9.635,2.590
Elongation till break,1-Stretch,5.020,54.076,10.076,2.770
Elongation till break,1-Stretch,5.220,54.517,10.517,2.898
Elongation till break,1-Stretch,5.420,54.958,10.958,3.078
Elongation till break,1-Stretch,5.620,55.4,11.4,3.207
Elongation till break,1-Stretch,5.820,55.841,11.841,3.361
Elongation till break,1-Stretch,6.020,56.282,12.282,3.489
Elongation till break,1-Stretch,6.220,56.723,12.723,3.746
Elongation till break,1-Stretch,6.420,57.164,13.164,3.875
Elongation till break,1-Stretch,6.620,57.605,13.605,4.183
Elongation till break,1-Stretch,6.820,58.046,14.046,4.235
Elongation till break,1-Stretch,7.020,58.487,14.487,4.517
Elongation till break,1-Stretch,7.220,58.928,14.928,4.646
Elongation till break,1-Stretch,7.420,59.369,15.369,4.929
Elongation till break,1-Stretch,7.620,59.811,15.811,5.031
Elongation till break,1-Stretch,7.820,60.251,16.251,5.237
Elongation till break,1-Stretch,8.020,60.692,16.692,5.443
Elongation till break,1-Stretch,8.220,61.134,17.134,5.622
Elongation till break,1-Stretch,8.420,61.575,17.575,5.828
Elongation till break,1-Stretch,8.620,62.016,18.016,6.059
Elongation till break,1-Stretch,8.820,62.457,18.457,6.214
Elongation till break,1-Stretch,9.020,62.898,18.898,6.496
Elongation till break,1-Stretch,9.220,63.339,19.339,6.676
Elongation till break,1-Stretch,9.420,63.78,19.78,6.856
Elongation till break,1-Stretch,9.620,64.221,20.221,6.933
Elongation till break,1-Stretch,9.820,64.662,20.662,7.087
Elongation till break,1-Stretch,10.020,65.103,21.103,7.370
Elongation till break,1-Stretch,10.220,65.545,21.545,7.524
Elongation till break,1-Stretch,10.420,65.985,21.985,7.858
Elongation till break,1-Stretch,10.620,66.426,22.426,8.012
Elongation till break,1-Stretch,10.820,66.868,22.868,8.295
Elongation till break,1-Stretch,11.020,67.309,23.309,8.552
Elongation till break,1-Stretch,11.220,67.75,23.75,8.809
Elongation till break,1-Stretch,11.420,68.191,24.191,8.938
Elongation till break,1-Stretch,11.620,68.632,24.632,9.246
Elongation till break,1-Stretch,11.820,69.073,25.073,9.452
Elongation till break,1-Stretch,12.020,69.514,25.514,9.734
Elongation till break,1-Stretch,12.220,69.955,25.955,9.888
Elongation till break,1-Stretch,12.420,70.396,26.396,10.171
Elongation till break,1-Stretch,12.620,70.837,26.837,10.325
Elongation till break,1-Stretch,12.820,71.279,27.279,10.377
Elongation till break,1-Stretch,13.020,71.72,27.72,10.274
Elongation till break,1-Stretch,13.220,72.16,28.16,1.022
Elongation till break,1-Stretch,13.420,72.602,28.602,0.663
Elongation till break,1-Stretch,13.620,73.043,29.043,0.688
Elongation till break,1-Stretch,13.820,73.484,29.484,0.740
Elongation till break,1-Stretch,14.020,73.925,29.925,0.740
Elongation till break,1-Stretch,14.220,74.366,30.366,0.740
Elongation till break,1-Stretch,14.420,74.807,30.807,0.791
Elongation till break,1-Stretch,14.620,75.248,31.248,0.714
Elongation till break,1-Stretch,14.820,75.689,31.689,0.765
Elongation till break,1-Stretch,15.020,76.13,32.13,0.817
Elongation till break,1-Stretch,15.220,76.572,32.572,0.842
Elongation till break,1-Stretch,15.420,77.013,33.013,0.842
Elongation till break,1-Stretch,15.620,77.454,33.454,0.842
Elongation till break,1-Stretch,15.820,77.895,33.895,0.920
Elongation till break,1-Stretch,16.020,78.336,34.336,0.842
Elongation till break,1-Stretch,16.220,78.777,34.777,0.894
Elongation till break,1-Stretch,16.420,79.218,35.218,0.868
Elongation till break,1-Stretch,16.620,79.659,35.659,0.868
Elongation till break,1-Stretch,16.820,80.1,36.1,0.894
