SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.000
Elongation till break,1-Preload,0.200,44,0,0.000
Elongation till break,1-Preload,0.400,44,0,0.000
Elongation till break,1-Stretch,0.410,44,0,0.000
Elongation till break,1-Stretch,0.610,44.369,0.369,0.246
Elongation till break,1-Stretch,0.810,44.811,0.811,0.655
Elongation till break,1-Stretch,1.010,45.252,1.252,1.064
Elongation till break,1-Stretch,1.210,45.693,1.693,1.310
Elongation till break,1-Stretch,1.410,46.134,2.134,1.883
Elongation till break,1-Stretch,1.610,46.575,2.575,1.964
Elongation till break,1-Stretch,1.810,47.016,3.016,2.128
Elongation till break,1-Stretch,2.010,47.457,3.457,2.619
Elongation till break,1-Stretch,2.210,47.898,3.898,2.701
Elongation till break,1-Stretch,2.410,48.339,4.339,3.192
Elongation till break,1-Stretch,2.610,48.78,4.78,3.438
Elongation till break,1-Stretch,2.810,49.221,5.221,4.174
Elongation till break,1-Stretch,3.010,49.662,5.662,4.502
Elongation till break,1-Stretch,3.210,50.104,6.104,4.993
Elongation till break,1-Stretch,3.410,50.545,6.545,5.566
Elongation till break,1-Stretch,3.610,50.986,6.986,5.893
Elongation till break,1-Stretch,3.810,51.427,7.427,6.548
Elongation till break,1-Stretch,4.010,51.868,7.868,7.121
Elongation till break,1-Stretch,4.210,52.309,8.309,7.776
Elongation till break,1-Stretch,4.410,52.75,8.75,8.512
Elongation till break,1-Stretch,4.610,53.191,9.191,9.495
Elongation till break,1-Stretch,4.810,53.632,9.632,10.477
Elongation till break,1-Stretch,5.010,54.073,10.073,11.623
Elongation till break,1-Stretch,5.210,54.514,10.514,12.605
Elongation till break,1-Stretch,5.410,54.956,10.956,13.833
Elongation till break,1-Stretch,5.610,55.396,11.396,14.569
Elongation till break,1-Stretch,5.810,55.838,11.838,15.715
Elongation till break,1-Stretch,6.010,56.279,12.279,16.534
Elongation till break,1-Stretch,6.210,56.72,12.72,17.516
Elongation till break,1-Stretch,6.410,57.161,13.161,18.334
Elongation till break,1-Stretch,6.610,57.602,13.602,19.317
Elongation till break,1-Stretch,6.810,58.043,14.043,20.626
Elongation till break,1-Stretch,7.010,58.484,14.484,21.363
Elongation till break,1-Stretch,7.210,58.925,14.925,22.345
Elongation till break,1-Stretch,7.410,59.366,15.366,23.491
Elongation till break,1-Stretch,7.610,59.807,15.807,24.228
Elongation till break,1-Stretch,7.810,60.248,16.248,25.210
Elongation till break,1-Stretch,8.010,60.69,16.69,26.356
Elongation till break,1-Stretch,8.210,61.131,17.131,27.174
Elongation till break,1-Stretch,8.410,61.572,17.572,28.156
Elongation till break,1-Stretch,8.610,62.013,18.013,29.138
Elongation till break,1-Stretch,8.810,62.454,18.454,29.957
Elongation till break,1-Stretch,9.010,62.895,18.895,31.267
Elongation till break,1-Stretch,9.210,63.336,19.336,31.840
Elongation till break,1-Stretch,9.410,63.777,19.777,32.740
Elongation till break,1-Stretch,9.610,64.218,20.218,33.886
Elongation till break,1-Stretch,9.810,64.659,20.659,34.704
Elongation till break,1-Stretch,10.010,65.1,21.1,35.605
Elongation till break,1-Stretch,10.210,65.541,21.541,36.587
Elongation till break,1-Stretch,10.410,65.983,21.983,37.242
Elongation till break,1-Stretch,10.610,66.424,22.424,38.388
Elongation till break,1-Stretch,10.810,66.865,22.865,39.124
Elongation till break,1-Stretch,11.010,67.306,23.306,39.943
Elongation till break,1-Stretch,11.210,67.747,23.747,40.843
Elongation till break,1-Stretch,11.410,68.188,24.188,11.377
Elongation till break,1-Stretch,11.610,68.629,24.629,-2.128
Elongation till break,1-Stretch,11.810,69.07,25.07,-1.883
Elongation till break,1-Stretch,12.010,69.511,25.511,-1.964
Elongation till break,1-Stretch,12.210,69.952,25.952,-1.964
Elongation till break,1-Stretch,12.410,70.393,26.393,-1.964
Elongation till break,1-Stretch,12.610,70.835,26.835,-1.964
Elongation till break,1-Stretch,12.810,71.275,27.275,-1.964
Elongation till break,1-Stretch,13.010,71.717,27.717,-2.046
Elongation till break,1-Stretch,13.210,72.158,28.158,-1.964
