SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.030
Elongation till break,1-Preload,0.200,44.001,0,0.005
Elongation till break,1-Preload,0.400,44.001,0,0.030
Elongation till break,1-Stretch,0.420,44.001,0,0.030
Elongation till break,1-Stretch,0.620,44.372,0.371,0.288
Elongation till break,1-Stretch,0.820,44.814,0.813,0.545
Elongation till break,1-Stretch,1.020,45.255,1.254,0.751
Elongation till break,1-Stretch,1.220,45.696,1.695,0.957
Elongation till break,1-Stretch,1.420,46.137,2.136,1.189
Elongation till break,1-Stretch,1.620,46.578,2.577,1.395
Elongation till break,1-Stretch,1.820,47.019,3.018,1.575
Elongation till break,1-Stretch,2.020,47.46,3.459,1.936
Elongation till break,1-Stretch,2.220,47.901,3.9,2.142
Elongation till break,1-Stretch,2.420,48.342,4.341,2.477
Elongation till break,1-Stretch,2.620,48.784,4.783,2.708
Elongation till break,1-Stretch,2.820,49.224,5.223,3.017
Elongation till break,1-Stretch,3.020,49.666,5.665,3.300
Elongation till break,1-Stretch,3.220,50.107,6.106,3.687
Elongation till break,1-Stretch,3.420,50.548,6.547,4.047
Elongation till break,1-Stretch,3.620,50.989,6.988,4.330
Elongation till break,1-Stretch,3.820,51.43,7.429,4.717
Elongation till break,1-Stretch,4.020,51.871,7.87,5.077
Elongation till break,1-Stretch,4.220,52.313,8.312,5.412
Elongation till break,1-Stretch,4.420,52.753,8.752,5.850
Elongation till break,1-Stretch,4.620,53.195,9.194,6.210
Elongation till break,1-Stretch,4.820,53.636,9.635,6.674
Elongation till break,1-Stretch,5.020,54.077,10.076,7.189
Elongation till break,1-Stretch,5.220,54.518,10.517,7.678
Elongation till break,1-Stretch,5.420,54.959,10.958,8.116
Elongation till break,1-Stretch,5.620,55.4,11.399,8.553
Elongation till break,1-Stretch,5.820,55.841,11.84,9.043
Elongation till break,1-Stretch,6.020,56.282,12.281,9.506
Elongation till break,1-Stretch,6.220,56.724,12.723,9.944
Elongation till break,1-Stretch,6.420,57.165,13.164,10.484
Elongation till break,1-Stretch,6.620,57.606,13.605,10.999
Elongation till break,1-Stretch,6.820,58.047,14.046,11.669
Elongation till break,1-Stretch,7.020,58.488,14.487,12.210
Elongation till break,1-Stretch,7.220,58.929,14.928,12.776
Elongation till break,1-Stretch,7.420,59.37,15.369,13.343
Elongation till break,1-Stretch,7.620,59.812,15.811,13.780
Elongation till break,1-Stretch,7.820,60.252,16.251,14.373
Elongation till break,1-Stretch,8.020,60.694,16.693,14.913
Elongation till break,1-Stretch,8.220,61.135,17.134,15.557
Elongation till break,1-Stretch,8.420,61.576,17.575,16.175
Elongation till break,1-Stretch,8.620,62.017,18.016,16.716
Elongation till break,1-Stretch,8.820,62.458,18.457,17.359
Elongation till break,1-Stretch,9.020,62.899,18.898,17.874
Elongation till break,1-Stretch,9.220,63.34,19.339,18.441
Elongation till break,1-Stretch,9.420,63.781,19.78,18.518
Elongation till break,1-Stretch,9.620,64.223,20.222,0.236
Elongation till break,1-Stretch,9.820,64.664,20.663,-0.176
Elongation till break,1-Stretch,10.020,65.105,21.104,-0.098
Elongation till break,1-Stretch,10.220,65.546,21.545,-0.098
Elongation till break,1-Stretch,10.420,65.987,21.986,-0.073
Elongation till break,1-Stretch,10.620,66.428,22.427,0.005
Elongation till break,1-Stretch,10.820,66.869,22.868,-0.021
Elongation till break,1-Stretch,11.020,67.31,23.309,-0.047
Elongation till break,1-Stretch,11.220,67.751,23.75,0.005
Elongation till break,1-Stretch,11.420,68.193,24.192,-0.073
Elongation till break,1-Stretch,11.620,68.634,24.633,-0.047
