SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.034
Elongation till break,1-Preload,0.200,44,0,-0.034
Elongation till break,1-Preload,0.400,44,0,-0.034
Elongation till break,1-Stretch,0.410,44,0,-0.034
Elongation till break,1-Stretch,0.610,44.362,0.362,0.619
Elongation till break,1-Stretch,0.810,44.803,0.803,1.191
Elongation till break,1-Stretch,1.010,45.244,1.244,1.599
Elongation till break,1-Stretch,1.210,45.685,1.685,2.253
Elongation till break,1-Stretch,1.410,46.126,2.126,2.661
Elongation till break,1-Stretch,1.610,46.567,2.567,3.315
Elongation till break,1-Stretch,1.810,47.008,3.008,4.050
Elongation till break,1-Stretch,2.010,47.449,3.449,5.030
Elongation till break,1-Stretch,2.210,47.89,3.89,5.520
Elongation till break,1-Stretch,2.410,48.331,4.331,6.256
Elongation till break,1-Stretch,2.610,48.773,4.773,7.154
Elongation till break,1-Stretch,2.810,49.214,5.214,7.971
Elongation till break,1-Stretch,3.010,49.655,5.655,8.543
Elongation till break,1-Stretch,3.210,50.096,6.096,9.768
Elongation till break,1-Stretch,3.410,50.537,6.537,10.667
Elongation till break,1-Stretch,3.610,50.978,6.978,11.483
Elongation till break,1-Stretch,3.810,51.419,7.419,12.709
Elongation till break,1-Stretch,4.010,51.86,7.86,13.689
Elongation till break,1-Stretch,4.210,52.301,8.301,14.506
Elongation till break,1-Stretch,4.410,52.742,8.742,15.731
Elongation till break,1-Stretch,4.610,53.183,9.183,16.793
Elongation till break,1-Stretch,4.810,53.624,9.624,17.610
Elongation till break,1-Stretch,5.010,54.066,10.066,18.999
Elongation till break,1-Stretch,5.210,54.507,10.507,20.142
Elongation till break,1-Stretch,5.410,54.948,10.948,21.041
Elongation till break,1-Stretch,5.610,55.389,11.389,22.103
Elongation till break,1-Stretch,5.810,55.83,11.83,23.491
Elongation till break,1-Stretch,6.010,56.271,12.271,24.471
Elongation till break,1-Stretch,6.210,56.712,12.712,25.615
Elongation till break,1-Stretch,6.410,57.153,13.153,26.595
Elongation till break,1-Stretch,6.610,57.594,13.594,27.739
Elongation till break,1-Stretch,6.810,58.035,14.035,29.046
Elongation till break,1-Stretch,7.010,58.476,14.476,29.944
Elongation till break,1-Stretch,7.210,58.918,14.918,30.925
Elongation till break,1-Stretch,7.410,59.358,15.358,32.232
Elongation till break,1-Stretch,7.610,59.8,15.8,33.294
Elongation till break,1-Stretch,7.810,60.241,16.241,34.601
Elongation till break,1-Stretch,8.010,60.682,16.682,35.581
Elongation till break,1-Stretch,8.210,61.123,17.123,36.888
Elongation till break,1-Stretch,8.410,61.564,17.564,9.686
Elongation till break,1-Stretch,8.610,62.005,18.005,-2.240
Elongation till break,1-Stretch,8.810,62.446,18.446,-1.995
Elongation till break,1-Stretch,9.010,62.887,18.887,-1.995
Elongation till break,1-Stretch,9.210,63.328,19.328,-1.913
Elongation till break,1-Stretch,9.410,63.769,19.769,-1.995
Elongation till break,1-Stretch,9.610,64.21,20.21,-1.913
Elongation till break,1-Stretch,9.810,64.652,20.652,-1.913
Elongation till break,1-Stretch,10.010,65.093,21.093,-1.995
Elongation till break,1-Stretch,10.210,65.534,21.534,-1.913
Elongation till break,1-Stretch,10.410,65.975,21.975,-2.076
Elongation till break,1-Stretch,10.610,66.416,22.416,-1.995
