SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.075
Elongation till break,1-Preload,0.200,44,0,-0.002
Elongation till break,1-Preload,0.400,44,0,-0.002
Elongation till break,1-Stretch,0.420,44,0,-0.002
Elongation till break,1-Stretch,0.620,44.372,0.372,0.435
Elongation till break,1-Stretch,0.820,44.813,0.813,0.949
Elongation till break,1-Stretch,1.020,45.255,1.255,1.488
Elongation till break,1-Stretch,1.220,45.695,1.695,2.002
Elongation till break,1-Stretch,1.420,46.137,2.137,2.388
Elongation till break,1-Stretch,1.620,46.578,2.578,2.876
Elongation till break,1-Stretch,1.820,47.019,3.019,3.442
Elongation till break,1-Stretch,2.020,47.46,3.46,3.801
Elongation till break,1-Stretch,2.220,47.901,3.901,4.290
Elongation till break,1-Stretch,2.420,48.342,4.342,4.804
Elongation till break,1-Stretch,2.620,48.783,4.783,5.318
Elongation till break,1-Stretch,2.820,49.224,5.224,5.857
Elongation till break,1-Stretch,3.020,49.665,5.665,6.397
Elongation till break,1-Stretch,3.220,50.107,6.107,7.039
Elongation till break,1-Stretch,3.420,50.547,6.547,7.656
Elongation till break,1-Stretch,3.620,50.989,6.989,8.145
Elongation till break,1-Stretch,3.820,51.43,7.43,8.864
Elongation till break,1-Stretch,4.020,51.871,7.871,9.532
Elongation till break,1-Stretch,4.220,52.312,8.312,10.149
Elongation till break,1-Stretch,4.420,52.753,8.753,10.843
Elongation till break,1-Stretch,4.620,53.194,9.194,11.408
Elongation till break,1-Stretch,4.820,53.635,9.635,11.357
Elongation till break,1-Stretch,5.020,54.076,10.076,-0.927
Elongation till break,1-Stretch,5.220,54.517,10.517,-0.465
Elongation till break,1-Stretch,5.420,54.958,10.958,-0.413
Elongation till break,1-Stretch,5.620,55.399,11.399,-0.388
Elongation till break,1-Stretch,5.820,55.841,11.841,-0.362
Elongation till break,1-Stretch,6.020,56.282,12.282,-0.413
Elongation till break,1-Stretch,6.220,56.723,12.723,-0.285
Elongation till break,1-Stretch,6.420,57.164,13.164,-0.310
Elongation till break,1-Stretch,6.620,57.605,13.605,-0.285
