SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.134
Elongation till break,1-Preload,0.200,44,0,-0.031
Elongation till break,1-Preload,0.400,44,0,0.020
Elongation till break,1-Stretch,0.420,44,0,0.020
Elongation till break,1-Stretch,0.620,44.372,0.372,0.380
Elongation till break,1-Stretch,0.820,44.813,0.813,0.945
Elongation till break,1-Stretch,1.020,45.255,1.255,1.537
Elongation till break,1-Stretch,1.220,45.695,1.695,2.051
Elongation till break,1-Stretch,1.420,46.137,2.137,2.565
Elongation till break,1-Stretch,1.620,46.578,2.578,2.950
Elongation till break,1-Stretch,1.820,47.019,3.019,3.413
Elongation till break,1-Stretch,2.020,47.46,3.46,3.824
Elongation till break,1-Stretch,2.220,47.901,3.901,4.389
Elongation till break,1-Stretch,2.420,48.342,4.342,4.877
Elongation till break,1-Stretch,2.620,48.783,4.783,5.520
Elongation till break,1-Stretch,2.820,49.224,5.224,6.137
Elongation till break,1-Stretch,3.020,49.665,5.665,6.676
Elongation till break,1-Stretch,3.220,50.107,6.107,7.319
Elongation till break,1-Stretch,3.420,50.547,6.547,7.936
Elongation till break,1-Stretch,3.620,50.989,6.989,8.424
Elongation till break,1-Stretch,3.820,51.43,7.43,9.118
Elongation till break,1-Stretch,4.020,51.871,7.871,9.709
Elongation till break,1-Stretch,4.220,52.312,8.312,10.300
Elongation till break,1-Stretch,4.420,52.753,8.753,10.994
Elongation till break,1-Stretch,4.620,53.194,9.194,11.688
Elongation till break,1-Stretch,4.820,53.635,9.635,12.433
Elongation till break,1-Stretch,5.020,54.076,10.076,13.204
Elongation till break,1-Stretch,5.220,54.517,10.517,13.975
Elongation till break,1-Stretch,5.420,54.958,10.958,14.720
Elongation till break,1-Stretch,5.620,55.399,11.399,0.637
Elongation till break,1-Stretch,5.820,55.841,11.841,-0.005
Elongation till break,1-Stretch,6.020,56.282,12.282,-0.005
