SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.009
Elongation till break,1-Preload,0.200,44,0,-0.068
Elongation till break,1-Preload,0.400,44,0,-0.068
Elongation till break,1-Stretch,0.420,44,0,-0.043
Elongation till break,1-Stretch,0.620,44.371,0.371,0.343
Elongation till break,1-Stretch,0.820,44.812,0.812,0.755
Elongation till break,1-Stretch,1.020,45.253,1.253,1.090
Elongation till break,1-Stretch,1.220,45.694,1.694,1.554
Elongation till break,1-Stretch,1.420,46.135,2.135,1.991
Elongation till break,1-Stretch,1.620,46.576,2.576,2.326
Elongation till break,1-Stretch,1.820,47.017,3.017,2.815
Elongation till break,1-Stretch,2.020,47.458,3.458,3.150
Elongation till break,1-Stretch,2.220,47.9,3.9,3.536
Elongation till break,1-Stretch,2.420,48.34,4.34,3.923
Elongation till break,1-Stretch,2.620,48.782,4.782,4.515
Elongation till break,1-Stretch,2.820,49.223,5.223,4.953
Elongation till break,1-Stretch,3.020,49.664,5.664,5.571
Elongation till break,1-Stretch,3.220,50.105,6.105,6.086
Elongation till break,1-Stretch,3.420,50.546,6.546,6.652
Elongation till break,1-Stretch,3.620,50.987,6.987,7.167
Elongation till break,1-Stretch,3.820,51.428,7.428,7.682
Elongation till break,1-Stretch,4.020,51.869,7.869,8.377
Elongation till break,1-Stretch,4.220,52.31,8.31,8.944
Elongation till break,1-Stretch,4.420,52.751,8.751,9.510
Elongation till break,1-Stretch,4.620,53.192,9.192,10.231
Elongation till break,1-Stretch,4.820,53.634,9.634,10.849
Elongation till break,1-Stretch,5.020,54.074,10.074,11.416
Elongation till break,1-Stretch,5.220,54.516,10.516,11.441
Elongation till break,1-Stretch,5.420,54.957,10.957,-1.279
Elongation till break,1-Stretch,5.620,55.398,11.398,-0.867
Elongation till break,1-Stretch,5.820,55.839,11.839,-0.815
Elongation till break,1-Stretch,6.020,56.28,12.28,-0.867
Elongation till break,1-Stretch,6.220,56.721,12.721,-0.944
Elongation till break,1-Stretch,6.420,57.162,13.162,-0.841
Elongation till break,1-Stretch,6.620,57.603,13.603,-0.815
Elongation till break,1-Stretch,6.820,58.044,14.044,-0.738
Elongation till break,1-Stretch,7.020,58.485,14.485,-0.738
Elongation till break,1-Stretch,7.220,58.926,14.926,-0.738
Elongation till break,1-Stretch,7.420,59.368,15.368,-0.249
Elongation till break,1-Stretch,7.620,59.809,15.809,-0.532
Elongation till break,1-Stretch,7.820,60.25,16.25,-0.738
Elongation till break,1-Stretch,8.020,60.691,16.691,-0.815
Elongation till break,1-Stretch,8.220,61.132,17.132,-0.738
