SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.085
Elongation till break,1-Preload,0.200,44,0,0.003
Elongation till break,1-Preload,0.400,44,0,-0.078
Elongation till break,1-Stretch,0.420,44,0,-0.160
Elongation till break,1-Stretch,0.620,44.371,0.371,0.575
Elongation till break,1-Stretch,0.820,44.812,0.812,1.474
Elongation till break,1-Stretch,1.020,45.253,1.253,2.699
Elongation till break,1-Stretch,1.220,45.694,1.694,3.761
Elongation till break,1-Stretch,1.420,46.135,2.135,4.496
Elongation till break,1-Stretch,1.620,46.577,2.577,5.966
Elongation till break,1-Stretch,1.820,47.018,3.018,7.273
Elongation till break,1-Stretch,2.020,47.459,3.459,8.335
Elongation till break,1-Stretch,2.220,47.9,3.9,9.724
Elongation till break,1-Stretch,2.420,48.341,4.341,11.031
Elongation till break,1-Stretch,2.620,48.782,4.782,12.420
Elongation till break,1-Stretch,2.820,49.223,5.223,13.645
Elongation till break,1-Stretch,3.020,49.664,5.664,15.115
Elongation till break,1-Stretch,3.220,50.105,6.105,16.422
Elongation till break,1-Stretch,3.420,50.546,6.546,18.138
Elongation till break,1-Stretch,3.620,50.987,6.987,19.363
Elongation till break,1-Stretch,3.820,51.429,7.429,21.160
Elongation till break,1-Stretch,4.020,51.869,7.869,22.467
Elongation till break,1-Stretch,4.220,52.311,8.311,24.101
Elongation till break,1-Stretch,4.420,52.752,8.752,25.489
Elongation till break,1-Stretch,4.620,53.193,9.193,26.878
Elongation till break,1-Stretch,4.820,53.634,9.634,28.593
Elongation till break,1-Stretch,5.020,54.075,10.075,30.309
Elongation till break,1-Stretch,5.220,54.516,10.516,31.697
Elongation till break,1-Stretch,5.420,54.957,10.957,33.576
Elongation till break,1-Stretch,5.620,55.398,11.398,35.128
Elongation till break,1-Stretch,5.820,55.839,11.839,36.925
Elongation till break,1-Stretch,6.020,56.28,12.28,38.396
Elongation till break,1-Stretch,6.220,56.721,12.721,39.948
Elongation till break,1-Stretch,6.420,57.163,13.163,41.663
Elongation till break,1-Stretch,6.620,57.603,13.603,43.297
Elongation till break,1-Stretch,6.820,58.045,14.045,45.257
Elongation till break,1-Stretch,7.020,58.486,14.486,46.728
Elongation till break,1-Stretch,7.220,58.927,14.927,48.688
Elongation till break,1-Stretch,7.420,59.368,15.368,50.404
Elongation till break,1-Stretch,7.620,59.809,15.809,52.201
Elongation till break,1-Stretch,7.820,60.25,16.25,53.916
Elongation till break,1-Stretch,8.020,60.691,16.691,55.550
Elongation till break,1-Stretch,8.220,61.132,17.132,57.510
Elongation till break,1-Stretch,8.420,61.573,17.573,59.226
Elongation till break,1-Stretch,8.620,62.014,18.014,61.186
Elongation till break,1-Stretch,8.820,62.455,18.455,62.820
Elongation till break,1-Stretch,9.020,62.897,18.897,64.454
Elongation till break,1-Stretch,9.220,63.338,19.338,66.414
Elongation till break,1-Stretch,9.420,63.779,19.779,67.966
Elongation till break,1-Stretch,9.620,64.22,20.22,53.344
Elongation till break,1-Stretch,9.820,64.661,20.661,-2.937
Elongation till break,1-Stretch,10.020,65.102,21.102,-3.509
Elongation till break,1-Stretch,10.220,65.543,21.543,-3.428
Elongation till break,1-Stretch,10.420,65.984,21.984,-3.509
Elongation till break,1-Stretch,10.620,66.425,22.425,-3.673
Elongation till break,1-Stretch,10.820,66.866,22.866,-3.346
Elongation till break,1-Stretch,11.020,67.307,23.307,-3.428
Elongation till break,1-Stretch,11.220,67.748,23.748,-3.346
Elongation till break,1-Stretch,11.420,68.19,24.19,-3.428
Elongation till break,1-Stretch,11.620,68.631,24.631,-3.673
Elongation till break,1-Stretch,11.820,69.072,25.072,-3.591
Elongation till break,1-Stretch,12.020,69.513,25.513,-3.509
Elongation till break,1-Stretch,12.220,69.954,25.954,-3.754
Elongation till break,1-Stretch,12.420,70.395,26.395,-3.673
Elongation till break,1-Stretch,12.620,70.836,26.836,-3.591
