SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.010
Elongation till break,1-Preload,0.200,44,0,-0.015
Elongation till break,1-Preload,0.400,44,0,0.010
Elongation till break,1-Stretch,0.420,44,0,0.010
Elongation till break,1-Stretch,0.620,44.372,0.372,0.422
Elongation till break,1-Stretch,0.820,44.813,0.813,0.783
Elongation till break,1-Stretch,1.020,45.254,1.254,1.092
Elongation till break,1-Stretch,1.220,45.695,1.695,1.401
Elongation till break,1-Stretch,1.420,46.137,2.137,1.864
Elongation till break,1-Stretch,1.620,46.578,2.578,2.225
Elongation till break,1-Stretch,1.820,47.019,3.019,2.534
Elongation till break,1-Stretch,2.020,47.46,3.46,2.971
Elongation till break,1-Stretch,2.220,47.901,3.901,3.332
Elongation till break,1-Stretch,2.420,48.342,4.342,3.821
Elongation till break,1-Stretch,2.620,48.783,4.783,4.259
Elongation till break,1-Stretch,2.820,49.224,5.224,4.774
Elongation till break,1-Stretch,3.020,49.665,5.665,5.186
Elongation till break,1-Stretch,3.220,50.106,6.106,5.778
Elongation till break,1-Stretch,3.420,50.547,6.547,6.139
Elongation till break,1-Stretch,3.620,50.988,6.988,6.705
Elongation till break,1-Stretch,3.820,51.43,7.43,7.143
Elongation till break,1-Stretch,4.020,51.871,7.871,7.658
Elongation till break,1-Stretch,4.220,52.312,8.312,8.147
Elongation till break,1-Stretch,4.420,52.753,8.753,8.688
Elongation till break,1-Stretch,4.620,53.194,9.194,9.254
Elongation till break,1-Stretch,4.820,53.635,9.635,9.795
Elongation till break,1-Stretch,5.020,54.076,10.076,10.439
Elongation till break,1-Stretch,5.220,54.517,10.517,10.979
Elongation till break,1-Stretch,5.420,54.958,10.958,11.546
Elongation till break,1-Stretch,5.620,55.399,11.399,4.079
Elongation till break,1-Stretch,5.820,55.84,11.84,-0.350
Elongation till break,1-Stretch,6.020,56.282,12.282,-0.530
Elongation till break,1-Stretch,6.220,56.722,12.722,-0.556
Elongation till break,1-Stretch,6.420,57.164,13.164,-0.479
Elongation till break,1-Stretch,6.620,57.605,13.605,-0.402
Elongation till break,1-Stretch,6.820,58.046,14.046,-0.402
Elongation till break,1-Stretch,7.020,58.487,14.487,-0.402
Elongation till break,1-Stretch,7.220,58.928,14.928,-0.402
Elongation till break,1-Stretch,7.420,59.369,15.369,-0.402
Elongation till break,1-Stretch,7.620,59.81,15.81,-0.402
Elongation till break,1-Stretch,7.820,60.251,16.251,-0.402
Elongation till break,1-Stretch,8.020,60.692,16.692,-0.376
Elongation till break,1-Stretch,8.220,61.133,17.133,-0.350
Elongation till break,1-Stretch,8.420,61.574,17.574,-0.402
Elongation till break,1-Stretch,8.620,62.016,18.016,-0.324
Elongation till break,1-Stretch,8.820,62.456,18.456,-0.273
Elongation till break,1-Stretch,9.020,62.898,18.898,-0.299
