SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Stretch,1.62,46.579,0,-0.077
Elongation till break,1-Stretch,1.82,47.02,0.441,0.062
Elongation till break,1-Stretch,2.02,47.461,0.882,0.158
Elongation till break,1-Stretch,2.22,47.902,1.323,0.168
Elongation till break,1-Stretch,2.42,48.343,1.764,0.316
Elongation till break,1-Stretch,2.62,48.785,2.206,0.522
Elongation till break,1-Stretch,2.82,49.226,2.647,0.713
Elongation till break,1-Stretch,3.02,49.667,3.088,0.881
Elongation till break,1-Stretch,3.22,50.108,3.529,1.044
Elongation till break,1-Stretch,3.42,50.549,3.97,1.168
Elongation till break,1-Stretch,3.62,50.99,4.411,1.245
Elongation till break,1-Stretch,3.82,51.431,4.852,1.355
Elongation till break,1-Stretch,4.02,51.872,5.293,1.412
Elongation till break,1-Stretch,4.22,52.313,5.734,1.542
Elongation till break,1-Stretch,4.42,52.755,6.176,1.709
Elongation till break,1-Stretch,4.62,53.196,6.617,1.867
Elongation till break,1-Stretch,4.82,53.637,7.058,2.054
Elongation till break,1-Stretch,5.02,54.078,7.499,2.25
Elongation till break,1-Stretch,5.22,54.519,7.94,2.442
Elongation till break,1-Stretch,5.42,54.96,8.381,2.604
Elongation till break,1-Stretch,5.62,55.401,8.822,2.796
Elongation till break,1-Stretch,5.82,55.842,9.263,2.963
Elongation till break,1-Stretch,6.02,56.283,9.704,3.15
Elongation till break,1-Stretch,6.22,56.725,10.146,3.346
Elongation till break,1-Stretch,6.42,57.166,10.587,3.562
Elongation till break,1-Stretch,6.62,57.607,11.028,3.772
Elongation till break,1-Stretch,6.82,58.048,11.469,3.997
Elongation till break,1-Stretch,7.02,58.489,11.91,4.194
Elongation till break,1-Stretch,7.22,58.93,12.351,4.328
Elongation till break,1-Stretch,7.42,59.371,12.792,4.376
Elongation till break,1-Stretch,7.62,59.813,13.234,4.51
Elongation till break,1-Stretch,7.82,60.254,13.675,4.629
Elongation till break,1-Stretch,8.02,60.695,14.116,4.763
Elongation till break,1-Stretch,8.22,61.136,14.557,4.85
Elongation till break,1-Stretch,8.42,61.577,14.998,4.993
Elongation till break,1-Stretch,8.62,62.018,15.439,5.18
Elongation till break,1-Stretch,8.82,62.459,15.88,5.352
Elongation till break,1-Stretch,9.02,62.9,16.321,5.529
Elongation till break,1-Stretch,9.22,63.341,16.762,5.625
Elongation till break,1-Stretch,9.42,63.782,17.203,5.649
Elongation till break,1-Stretch,9.62,64.224,17.645,5.39
Elongation till break,1-Stretch,9.82,64.664,18.085,0.206
Elongation till break,1-Stretch,10.02,65.106,18.527,-0.46
Elongation till break,1-Stretch,10.22,65.547,18.968,0.235
Elongation till break,1-Stretch,10.42,65.988,19.409,0.091
Elongation till break,1-Stretch,10.62,66.429,19.85,0.129
Elongation till break,1-Stretch,10.82,66.87,20.291,0.191
Elongation till break,1-Stretch,11.02,67.311,20.732,0.225
Elongation till break,1-Stretch,11.22,67.753,21.174,0.244
