SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.003
Elongation till break,1-Preload,0.200,44,0,-0.029
Elongation till break,1-Preload,0.400,44,0,-0.003
Elongation till break,1-Stretch,0.420,44,0,-0.003
Elongation till break,1-Stretch,0.620,44.372,0.372,0.409
Elongation till break,1-Stretch,0.820,44.813,0.813,1.001
Elongation till break,1-Stretch,1.020,45.255,1.255,1.465
Elongation till break,1-Stretch,1.220,45.696,1.696,1.877
Elongation till break,1-Stretch,1.420,46.137,2.137,2.546
Elongation till break,1-Stretch,1.620,46.578,2.578,3.087
Elongation till break,1-Stretch,1.820,47.019,3.019,3.705
Elongation till break,1-Stretch,2.020,47.46,3.46,4.349
Elongation till break,1-Stretch,2.220,47.901,3.901,4.967
Elongation till break,1-Stretch,2.420,48.342,4.342,5.688
Elongation till break,1-Stretch,2.620,48.783,4.783,6.409
Elongation till break,1-Stretch,2.820,49.224,5.224,7.207
Elongation till break,1-Stretch,3.020,49.665,5.665,8.031
Elongation till break,1-Stretch,3.220,50.107,6.107,8.958
Elongation till break,1-Stretch,3.420,50.547,6.547,9.911
Elongation till break,1-Stretch,3.620,50.989,6.989,11.018
Elongation till break,1-Stretch,3.820,51.43,7.43,12.099
Elongation till break,1-Stretch,4.020,51.871,7.871,13.284
Elongation till break,1-Stretch,4.220,52.312,8.312,14.262
Elongation till break,1-Stretch,4.420,52.753,8.753,15.189
Elongation till break,1-Stretch,4.620,53.194,9.194,16.193
Elongation till break,1-Stretch,4.820,53.635,9.635,17.094
Elongation till break,1-Stretch,5.020,54.076,10.076,18.099
Elongation till break,1-Stretch,5.220,54.517,10.517,18.923
Elongation till break,1-Stretch,5.420,54.958,10.958,10.039
Elongation till break,1-Stretch,5.620,55.399,11.399,-1.522
Elongation till break,1-Stretch,5.820,55.841,11.841,-1.522
Elongation till break,1-Stretch,6.020,56.282,12.282,-1.419
Elongation till break,1-Stretch,6.220,56.723,12.723,-1.445
Elongation till break,1-Stretch,6.420,57.164,13.164,-1.419
Elongation till break,1-Stretch,6.620,57.605,13.605,-1.368
