SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,-0.052
Elongation till break,1-Preload,0.200,44.001,0,0.025
Elongation till break,1-Preload,0.400,44.001,0,-0.027
Elongation till break,1-Stretch,0.420,44.001,0,-0.001
Elongation till break,1-Stretch,0.620,44.373,0.372,0.514
Elongation till break,1-Stretch,0.820,44.814,0.813,1.055
Elongation till break,1-Stretch,1.020,45.255,1.254,1.905
Elongation till break,1-Stretch,1.220,45.696,1.695,2.600
Elongation till break,1-Stretch,1.420,46.137,2.136,3.372
Elongation till break,1-Stretch,1.620,46.579,2.578,4.145
Elongation till break,1-Stretch,1.820,47.02,3.019,4.917
Elongation till break,1-Stretch,2.020,47.461,3.46,5.715
Elongation till break,1-Stretch,2.220,47.902,3.901,6.617
Elongation till break,1-Stretch,2.420,48.343,4.342,7.415
Elongation till break,1-Stretch,2.620,48.784,4.783,8.393
Elongation till break,1-Stretch,2.820,49.225,5.224,9.295
Elongation till break,1-Stretch,3.020,49.666,5.665,10.273
Elongation till break,1-Stretch,3.220,50.108,6.107,11.149
Elongation till break,1-Stretch,3.420,50.548,6.547,11.895
Elongation till break,1-Stretch,3.620,50.99,6.989,12.796
Elongation till break,1-Stretch,3.820,51.431,7.43,13.723
Elongation till break,1-Stretch,4.020,51.872,7.871,14.599
Elongation till break,1-Stretch,4.220,52.313,8.312,15.577
Elongation till break,1-Stretch,4.420,52.754,8.753,16.582
Elongation till break,1-Stretch,4.620,53.195,9.194,-2.704
Elongation till break,1-Stretch,4.820,53.636,9.635,-2.344
Elongation till break,1-Stretch,5.020,54.077,10.076,-2.395
Elongation till break,1-Stretch,5.220,54.519,10.518,-2.344
Elongation till break,1-Stretch,5.420,54.96,10.959,-2.370
Elongation till break,1-Stretch,5.620,55.401,11.4,-2.395
Elongation till break,1-Stretch,5.820,55.842,11.841,-2.370
Elongation till break,1-Stretch,6.020,56.283,12.282,-2.344
Elongation till break,1-Stretch,6.220,56.724,12.723,-2.215
Elongation till break,1-Stretch,6.420,57.165,13.164,-2.267
Elongation till break,1-Stretch,6.620,57.606,13.605,-2.241
