SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.034
Elongation till break,1-Preload,0.200,44,0,-0.094
Elongation till break,1-Preload,0.400,44,0,0.008
Elongation till break,1-Stretch,0.410,44,0,0.008
Elongation till break,1-Stretch,0.610,44.362,0.362,0.317
Elongation till break,1-Stretch,0.810,44.803,0.803,0.807
Elongation till break,1-Stretch,1.010,45.244,1.244,1.244
Elongation till break,1-Stretch,1.210,45.685,1.685,1.605
Elongation till break,1-Stretch,1.410,46.126,2.126,2.017
Elongation till break,1-Stretch,1.610,46.568,2.568,2.249
Elongation till break,1-Stretch,1.810,47.009,3.009,2.738
Elongation till break,1-Stretch,2.010,47.45,3.45,3.073
Elongation till break,1-Stretch,2.210,47.891,3.891,3.510
Elongation till break,1-Stretch,2.410,48.332,4.332,3.897
Elongation till break,1-Stretch,2.610,48.773,4.773,4.412
Elongation till break,1-Stretch,2.810,49.214,5.214,4.927
Elongation till break,1-Stretch,3.010,49.655,5.655,5.416
Elongation till break,1-Stretch,3.210,50.096,6.096,5.956
Elongation till break,1-Stretch,3.410,50.537,6.537,6.420
Elongation till break,1-Stretch,3.610,50.978,6.978,6.961
Elongation till break,1-Stretch,3.810,51.419,7.419,7.527
Elongation till break,1-Stretch,4.010,51.86,7.86,8.068
Elongation till break,1-Stretch,4.210,52.302,8.302,8.634
Elongation till break,1-Stretch,4.410,52.743,8.743,9.252
Elongation till break,1-Stretch,4.610,53.184,9.184,9.793
Elongation till break,1-Stretch,4.810,53.625,9.625,10.514
Elongation till break,1-Stretch,5.010,54.066,10.066,11.132
Elongation till break,1-Stretch,5.210,54.507,10.507,11.647
Elongation till break,1-Stretch,5.410,54.948,10.948,12.316
Elongation till break,1-Stretch,5.610,55.389,11.389,12.883
Elongation till break,1-Stretch,5.810,55.83,11.83,13.552
Elongation till break,1-Stretch,6.010,56.271,12.271,14.196
Elongation till break,1-Stretch,6.210,56.712,12.712,14.866
Elongation till break,1-Stretch,6.410,57.153,13.153,15.561
Elongation till break,1-Stretch,6.610,57.595,13.595,16.230
Elongation till break,1-Stretch,6.810,58.036,14.036,16.797
Elongation till break,1-Stretch,7.010,58.477,14.477,17.286
Elongation till break,1-Stretch,7.210,58.918,14.918,-0.609
Elongation till break,1-Stretch,7.410,59.359,15.359,-0.584
Elongation till break,1-Stretch,7.610,59.8,15.8,-0.558
Elongation till break,1-Stretch,7.810,60.241,16.241,-0.584
Elongation till break,1-Stretch,8.010,60.682,16.682,-0.558
Elongation till break,1-Stretch,8.210,61.123,17.123,-0.481
Elongation till break,1-Stretch,8.410,61.564,17.564,-0.584
Elongation till break,1-Stretch,8.610,62.005,18.005,-0.532
Elongation till break,1-Stretch,8.810,62.447,18.447,-0.429
Elongation till break,1-Stretch,9.010,62.887,18.887,-0.403
Elongation till break,1-Stretch,9.210,63.329,19.329,-0.403
Elongation till break,1-Stretch,9.410,63.77,19.77,-0.403
