SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.005
Elongation till break,1-Preload,0.200,44.001,0,0.000
Elongation till break,1-Preload,0.400,44.001,0,0.000
Elongation till break,1-Stretch,0.420,44.001,0,0.000
Elongation till break,1-Stretch,0.620,44.373,0.372,0.058
Elongation till break,1-Stretch,0.820,44.814,0.813,0.063
Elongation till break,1-Stretch,1.020,45.255,1.254,-0.004
Elongation till break,1-Stretch,1.220,45.696,1.695,0.087
Elongation till break,1-Stretch,1.420,46.137,2.136,0.335
Elongation till break,1-Stretch,1.620,46.579,2.578,0.613
Elongation till break,1-Stretch,1.820,47.019,3.018,0.953
Elongation till break,1-Stretch,2.020,47.461,3.46,1.245
Elongation till break,1-Stretch,2.220,47.902,3.901,1.446
Elongation till break,1-Stretch,2.420,48.343,4.342,1.772
Elongation till break,1-Stretch,2.620,48.784,4.783,2.135
Elongation till break,1-Stretch,2.820,49.225,5.224,2.528
Elongation till break,1-Stretch,3.020,49.666,5.665,2.911
Elongation till break,1-Stretch,3.220,50.107,6.106,3.284
Elongation till break,1-Stretch,3.420,50.548,6.547,3.605
Elongation till break,1-Stretch,3.620,50.99,6.989,3.902
Elongation till break,1-Stretch,3.820,51.431,7.43,-0.296
Elongation till break,1-Stretch,4.020,51.872,7.871,-0.828
Elongation till break,1-Stretch,4.220,52.313,8.312,-1.158
Elongation till break,1-Stretch,4.420,52.754,8.753,-1.460
Elongation till break,1-Stretch,4.620,53.195,9.194,-1.579
Elongation till break,1-Stretch,4.820,53.636,9.635,-1.575
Elongation till break,1-Stretch,5.020,54.077,10.076,-1.512
Elongation till break,1-Stretch,5.220,54.518,10.517,-1.479
