SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Stretch,4.42,52.753,0,-0.041
Elongation till break,1-Stretch,4.62,53.194,0.441,0.083
Elongation till break,1-Stretch,4.82,53.635,0.882,0.189
Elongation till break,1-Stretch,5.02,54.076,1.323,0.289
Elongation till break,1-Stretch,5.22,54.518,1.765,0.399
Elongation till break,1-Stretch,5.42,54.959,2.206,0.476
Elongation till break,1-Stretch,5.62,55.4,2.647,0.581
Elongation till break,1-Stretch,5.82,55.841,3.088,0.667
Elongation till break,1-Stretch,6.02,56.282,3.529,0.682
Elongation till break,1-Stretch,6.22,56.723,3.97,0.778
Elongation till break,1-Stretch,6.42,57.164,4.411,0.902
Elongation till break,1-Stretch,6.62,57.605,4.852,1.017
Elongation till break,1-Stretch,6.82,58.047,5.294,1.132
Elongation till break,1-Stretch,7.02,58.488,5.735,1.242
Elongation till break,1-Stretch,7.22,58.929,6.176,1.338
Elongation till break,1-Stretch,7.42,59.37,6.617,1.448
Elongation till break,1-Stretch,7.62,59.811,7.058,1.534
Elongation till break,1-Stretch,7.82,60.252,7.499,1.615
Elongation till break,1-Stretch,8.02,60.693,7.94,1.711
Elongation till break,1-Stretch,8.22,61.134,8.381,1.826
Elongation till break,1-Stretch,8.42,61.575,8.822,1.936
Elongation till break,1-Stretch,8.62,62.017,9.264,2.065
Elongation till break,1-Stretch,8.82,62.457,9.704,2.199
Elongation till break,1-Stretch,9.02,62.899,10.146,2.333
Elongation till break,1-Stretch,9.22,63.34,10.587,2.448
Elongation till break,1-Stretch,9.42,63.781,11.028,2.53
Elongation till break,1-Stretch,9.62,64.222,11.469,2.621
Elongation till break,1-Stretch,9.82,64.663,11.91,2.712
Elongation till break,1-Stretch,10.02,65.104,12.351,2.817
Elongation till break,1-Stretch,10.22,65.546,12.793,2.937
Elongation till break,1-Stretch,10.42,65.986,13.233,3.075
Elongation till break,1-Stretch,10.62,66.428,13.675,3.233
Elongation till break,1-Stretch,10.82,66.869,14.116,3.387
Elongation till break,1-Stretch,11.02,67.31,14.557,3.535
Elongation till break,1-Stretch,11.22,67.751,14.998,3.683
Elongation till break,1-Stretch,11.42,68.192,15.439,3.798
Elongation till break,1-Stretch,11.62,68.633,15.88,3.923
Elongation till break,1-Stretch,11.82,69.074,16.321,4.047
Elongation till break,1-Stretch,12.02,69.515,16.762,4.172
Elongation till break,1-Stretch,12.22,69.956,17.203,4.306
Elongation till break,1-Stretch,12.42,70.398,17.645,4.483
Elongation till break,1-Stretch,12.62,70.839,18.086,4.65
Elongation till break,1-Stretch,12.82,71.28,18.527,4.808
Elongation till break,1-Stretch,13.02,71.721,18.968,4.947
Elongation till break,1-Stretch,13.22,72.162,19.409,5.062
Elongation till break,1-Stretch,13.42,72.603,19.85,5.182
Elongation till break,1-Stretch,13.62,73.045,20.292,5.311
Elongation till break,1-Stretch,13.82,73.485,20.732,5.436
Elongation till break,1-Stretch,14.02,73.927,21.174,5.55
Elongation till break,1-Stretch,14.22,74.368,21.615,5.627
Elongation till break,1-Stretch,14.42,74.809,22.056,1.132
Elongation till break,1-Stretch,14.62,75.25,22.497,0.203
Elongation till break,1-Stretch,14.82,75.691,22.938,0.083
Elongation till break,1-Stretch,15.02,76.132,23.379,0.064
Elongation till break,1-Stretch,15.22,76.573,23.82,0.074
Elongation till break,1-Stretch,15.42,77.014,24.261,0.074
Elongation till break,1-Stretch,15.62,77.455,24.702,0.079
Elongation till break,1-Stretch,15.82,77.897,25.144,0.083
Elongation till break,1-Stretch,16.02,78.338,25.585,0.102
Elongation till break,1-Stretch,16.22,78.779,26.026,0.122
Elongation till break,1-Stretch,16.42,79.22,26.467,0.15
