SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.095
Elongation till break,1-Preload,0.200,44,0,-0.151
Elongation till break,1-Preload,0.400,44,0,-0.151
Elongation till break,1-Stretch,0.410,44,0,-0.069
Elongation till break,1-Stretch,0.610,44.362,0.362,0.177
Elongation till break,1-Stretch,0.810,44.803,0.803,0.750
Elongation till break,1-Stretch,1.010,45.244,1.244,1.323
Elongation till break,1-Stretch,1.210,45.685,1.685,1.977
Elongation till break,1-Stretch,1.410,46.126,2.126,2.059
Elongation till break,1-Stretch,1.610,46.567,2.567,2.714
Elongation till break,1-Stretch,1.810,47.009,3.009,3.205
Elongation till break,1-Stretch,2.010,47.449,3.449,3.533
Elongation till break,1-Stretch,2.210,47.891,3.891,4.024
Elongation till break,1-Stretch,2.410,48.332,4.332,4.679
Elongation till break,1-Stretch,2.610,48.773,4.773,5.088
Elongation till break,1-Stretch,2.810,49.214,5.214,5.579
Elongation till break,1-Stretch,3.010,49.655,5.655,6.561
Elongation till break,1-Stretch,3.210,50.096,6.096,7.216
Elongation till break,1-Stretch,3.410,50.537,6.537,7.871
Elongation till break,1-Stretch,3.610,50.978,6.978,8.525
Elongation till break,1-Stretch,3.810,51.419,7.419,9.262
Elongation till break,1-Stretch,4.010,51.86,7.86,10.244
Elongation till break,1-Stretch,4.210,52.301,8.301,11.145
Elongation till break,1-Stretch,4.410,52.743,8.743,12.127
Elongation till break,1-Stretch,4.610,53.183,9.183,13.191
Elongation till break,1-Stretch,4.810,53.625,9.625,14.091
Elongation till break,1-Stretch,5.010,54.066,10.066,15.319
Elongation till break,1-Stretch,5.210,54.507,10.507,16.301
Elongation till break,1-Stretch,5.410,54.948,10.948,17.120
Elongation till break,1-Stretch,5.610,55.389,11.389,18.429
Elongation till break,1-Stretch,5.810,55.83,11.83,19.330
Elongation till break,1-Stretch,6.010,56.271,12.271,20.066
Elongation till break,1-Stretch,6.210,56.712,12.712,21.376
Elongation till break,1-Stretch,6.410,57.153,13.153,22.440
Elongation till break,1-Stretch,6.610,57.594,13.594,23.013
Elongation till break,1-Stretch,6.810,58.035,14.035,24.404
Elongation till break,1-Stretch,7.010,58.477,14.477,25.632
Elongation till break,1-Stretch,7.210,58.918,14.918,26.369
Elongation till break,1-Stretch,7.410,59.359,15.359,27.515
Elongation till break,1-Stretch,7.610,59.8,15.8,28.906
Elongation till break,1-Stretch,7.810,60.241,16.241,29.725
Elongation till break,1-Stretch,8.010,60.682,16.682,30.870
Elongation till break,1-Stretch,8.210,61.123,17.123,31.934
Elongation till break,1-Stretch,8.410,61.564,17.564,32.999
Elongation till break,1-Stretch,8.610,62.005,18.005,34.226
Elongation till break,1-Stretch,8.810,62.446,18.446,35.290
Elongation till break,1-Stretch,9.010,62.887,18.887,36.518
Elongation till break,1-Stretch,9.210,63.328,19.328,37.910
Elongation till break,1-Stretch,9.410,63.77,19.77,39.055
Elongation till break,1-Stretch,9.610,64.211,20.211,40.365
Elongation till break,1-Stretch,9.810,64.652,20.652,41.347
Elongation till break,1-Stretch,10.010,65.093,21.093,42.739
Elongation till break,1-Stretch,10.210,65.534,21.534,44.130
Elongation till break,1-Stretch,10.410,65.975,21.975,45.522
Elongation till break,1-Stretch,10.610,66.416,22.416,46.667
Elongation till break,1-Stretch,10.810,66.857,22.857,48.223
Elongation till break,1-Stretch,11.010,67.298,23.298,49.696
Elongation till break,1-Stretch,11.210,67.739,23.739,51.005
Elongation till break,1-Stretch,11.410,68.18,24.18,52.642
Elongation till break,1-Stretch,11.610,68.622,24.622,53.952
Elongation till break,1-Stretch,11.810,69.062,25.062,55.507
Elongation till break,1-Stretch,12.010,69.504,25.504,56.817
Elongation till break,1-Stretch,12.210,69.945,25.945,58.454
Elongation till break,1-Stretch,12.410,70.386,26.386,59.682
Elongation till break,1-Stretch,12.610,70.827,26.827,60.746
Elongation till break,1-Stretch,12.810,71.268,27.268,62.137
Elongation till break,1-Stretch,13.010,71.709,27.709,63.610
Elongation till break,1-Stretch,13.210,72.15,28.15,65.165
Elongation till break,1-Stretch,13.410,72.591,28.591,66.884
Elongation till break,1-Stretch,13.610,73.032,29.032,68.439
Elongation till break,1-Stretch,13.810,73.473,29.473,70.158
Elongation till break,1-Stretch,14.010,73.914,29.914,71.713
Elongation till break,1-Stretch,14.210,74.356,30.356,73.678
Elongation till break,1-Stretch,14.410,74.796,30.796,75.560
Elongation till break,1-Stretch,14.610,75.238,31.238,77.116
Elongation till break,1-Stretch,14.810,75.679,31.679,78.834
Elongation till break,1-Stretch,15.010,76.12,32.12,80.308
Elongation till break,1-Stretch,15.210,76.561,32.561,82.272
Elongation till break,1-Stretch,15.410,77.002,33.002,84.073
Elongation till break,1-Stretch,15.610,77.443,33.443,85.873
Elongation till break,1-Stretch,15.810,77.884,33.884,88.083
Elongation till break,1-Stretch,16.010,78.326,34.326,89.966
Elongation till break,1-Stretch,16.210,78.766,34.766,92.094
Elongation till break,1-Stretch,16.410,79.207,35.207,94.140
Elongation till break,1-Stretch,16.610,79.648,35.648,96.350
Elongation till break,1-Stretch,16.810,80.09,36.09,54.525
Elongation till break,1-Stretch,17.010,80.531,36.531,-2.361
Elongation till break,1-Stretch,17.210,80.972,36.972,-2.606
Elongation till break,1-Stretch,17.410,81.413,37.413,-2.606
Elongation till break,1-Stretch,17.610,81.854,37.854,-2.524
Elongation till break,1-Stretch,17.810,82.295,38.295,-2.606
