SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,-0.000
Elongation till break,1-Preload,0.200,44.001,0,-0.000
Elongation till break,1-Preload,0.400,44.001,0,-0.000
Elongation till break,1-Stretch,0.410,44.001,0,-0.000
Elongation till break,1-Stretch,0.610,44.363,0.362,0.491
Elongation till break,1-Stretch,0.810,44.804,0.803,0.655
Elongation till break,1-Stretch,1.010,45.245,1.244,1.228
Elongation till break,1-Stretch,1.210,45.686,1.685,0.900
Elongation till break,1-Stretch,1.410,46.127,2.126,1.146
Elongation till break,1-Stretch,1.610,46.568,2.567,1.310
Elongation till break,1-Stretch,1.810,47.009,3.008,1.555
Elongation till break,1-Stretch,2.010,47.451,3.45,1.637
Elongation till break,1-Stretch,2.210,47.892,3.891,1.964
Elongation till break,1-Stretch,2.410,48.333,4.332,2.292
Elongation till break,1-Stretch,2.610,48.774,4.773,2.537
Elongation till break,1-Stretch,2.810,49.215,5.214,2.455
Elongation till break,1-Stretch,3.010,49.656,5.655,2.701
Elongation till break,1-Stretch,3.210,50.097,6.096,3.192
Elongation till break,1-Stretch,3.410,50.539,6.538,3.274
Elongation till break,1-Stretch,3.610,50.979,6.978,3.765
Elongation till break,1-Stretch,3.810,51.421,7.42,3.929
Elongation till break,1-Stretch,4.010,51.862,7.861,4.174
Elongation till break,1-Stretch,4.210,52.303,8.302,4.584
Elongation till break,1-Stretch,4.410,52.744,8.743,5.075
Elongation till break,1-Stretch,4.610,53.185,9.184,5.402
Elongation till break,1-Stretch,4.810,53.626,9.625,6.139
Elongation till break,1-Stretch,5.010,54.068,10.067,6.794
Elongation till break,1-Stretch,5.210,54.508,10.507,7.121
Elongation till break,1-Stretch,5.410,54.95,10.949,7.694
Elongation till break,1-Stretch,5.610,55.391,11.39,8.349
Elongation till break,1-Stretch,5.810,55.832,11.831,8.594
Elongation till break,1-Stretch,6.010,56.273,12.272,9.167
Elongation till break,1-Stretch,6.210,56.714,12.713,9.822
Elongation till break,1-Stretch,6.410,57.155,13.154,9.986
Elongation till break,1-Stretch,6.610,57.596,13.595,10.804
Elongation till break,1-Stretch,6.810,58.037,14.036,11.295
Elongation till break,1-Stretch,7.010,58.478,14.477,12.277
Elongation till break,1-Stretch,7.210,58.92,14.919,12.687
Elongation till break,1-Stretch,7.410,59.361,15.36,13.096
Elongation till break,1-Stretch,7.610,59.802,15.801,13.751
Elongation till break,1-Stretch,7.810,60.243,16.242,14.487
Elongation till break,1-Stretch,8.010,60.684,16.683,15.142
Elongation till break,1-Stretch,8.210,61.125,17.124,15.879
Elongation till break,1-Stretch,8.410,61.566,17.565,16.206
Elongation till break,1-Stretch,8.610,62.007,18.006,17.025
Elongation till break,1-Stretch,8.810,62.449,18.448,17.598
Elongation till break,1-Stretch,9.010,62.89,18.889,18.416
Elongation till break,1-Stretch,9.210,63.331,19.33,18.825
Elongation till break,1-Stretch,9.410,63.772,19.771,19.317
Elongation till break,1-Stretch,9.610,64.213,20.212,20.135
Elongation till break,1-Stretch,9.810,64.654,20.653,20.626
Elongation till break,1-Stretch,10.010,65.095,21.094,21.445
Elongation till break,1-Stretch,10.210,65.536,21.535,21.772
Elongation till break,1-Stretch,10.410,65.977,21.976,22.591
Elongation till break,1-Stretch,10.610,66.418,22.417,23.491
Elongation till break,1-Stretch,10.810,66.86,22.859,24.064
Elongation till break,1-Stretch,11.010,67.301,23.3,24.882
Elongation till break,1-Stretch,11.210,67.742,23.741,25.128
Elongation till break,1-Stretch,11.410,68.183,24.182,25.946
Elongation till break,1-Stretch,11.610,68.624,24.623,3.601
Elongation till break,1-Stretch,11.810,69.065,25.064,-0.491
Elongation till break,1-Stretch,12.010,69.506,25.505,-0.573
Elongation till break,1-Stretch,12.210,69.947,25.946,-0.655
Elongation till break,1-Stretch,12.410,70.389,26.388,-0.655
Elongation till break,1-Stretch,12.610,70.83,26.829,-0.573
Elongation till break,1-Stretch,12.810,71.271,27.27,-0.655
Elongation till break,1-Stretch,13.010,71.712,27.711,-0.655
Elongation till break,1-Stretch,13.210,72.153,28.152,-0.655
Elongation till break,1-Stretch,13.410,72.594,28.593,-0.655
Elongation till break,1-Stretch,13.610,73.035,29.034,-0.655
Elongation till break,1-Stretch,13.810,73.476,29.475,-0.655
Elongation till break,1-Stretch,14.010,73.917,29.916,-0.737
Elongation till break,1-Stretch,14.210,74.359,30.358,-0.818
