SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Stretch,2.62,53.214,0,-0.046
Elongation till break,1-Stretch,2.82,53.696,0.482,0.017
Elongation till break,1-Stretch,3.02,54.177,0.963,0.06
Elongation till break,1-Stretch,3.22,54.658,1.444,0.127
Elongation till break,1-Stretch,3.42,55.139,1.925,0.194
Elongation till break,1-Stretch,3.62,55.62,2.406,0.237
Elongation till break,1-Stretch,3.82,56.101,2.887,0.27
Elongation till break,1-Stretch,4.02,56.582,3.368,0.28
Elongation till break,1-Stretch,4.22,57.064,3.85,0.347
Elongation till break,1-Stretch,4.42,57.545,4.331,0.4
Elongation till break,1-Stretch,4.62,58.026,4.812,0.467
Elongation till break,1-Stretch,4.82,58.507,5.293,0.519
Elongation till break,1-Stretch,5.02,58.988,5.774,0.562
Elongation till break,1-Stretch,5.22,59.47,6.256,0.62
Elongation till break,1-Stretch,5.42,59.951,6.737,0.653
Elongation till break,1-Stretch,5.62,60.432,7.218,0.663
Elongation till break,1-Stretch,5.82,60.913,7.699,0.735
Elongation till break,1-Stretch,6.02,61.395,8.181,0.759
Elongation till break,1-Stretch,6.22,61.876,8.662,0.811
Elongation till break,1-Stretch,6.42,62.357,9.143,0.883
Elongation till break,1-Stretch,6.62,62.838,9.624,0.941
Elongation till break,1-Stretch,6.82,63.319,10.105,0.988
Elongation till break,1-Stretch,7.02,63.8,10.586,1.017
Elongation till break,1-Stretch,7.22,64.281,11.067,1.046
Elongation till break,1-Stretch,7.42,64.763,11.549,1.041
Elongation till break,1-Stretch,7.62,65.244,12.03,0.112
Elongation till break,1-Stretch,7.82,65.725,12.511,0.625
Elongation till break,1-Stretch,8.02,66.206,12.992,-0.012
Elongation till break,1-Stretch,8.22,66.687,13.473,0.179
Elongation till break,1-Stretch,8.42,67.169,13.955,0.304
Elongation till break,1-Stretch,8.62,67.65,14.436,0.323
Elongation till break,1-Stretch,8.82,68.131,14.917,0.347
