SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.303
Elongation till break,1-Preload,0.200,44.001,0,-0.106
Elongation till break,1-Preload,0.400,44.001,0,0.057
Elongation till break,1-Stretch,0.410,44.001,0,0.057
Elongation till break,1-Stretch,0.610,44.363,0.362,0.958
Elongation till break,1-Stretch,0.810,44.804,0.803,2.349
Elongation till break,1-Stretch,1.010,45.245,1.244,3.822
Elongation till break,1-Stretch,1.210,45.686,1.685,5.296
Elongation till break,1-Stretch,1.410,46.127,2.126,7.178
Elongation till break,1-Stretch,1.610,46.569,2.568,8.652
Elongation till break,1-Stretch,1.810,47.009,3.008,10.534
Elongation till break,1-Stretch,2.010,47.451,3.45,12.171
Elongation till break,1-Stretch,2.210,47.892,3.891,13.972
Elongation till break,1-Stretch,2.410,48.333,4.332,15.609
Elongation till break,1-Stretch,2.610,48.774,4.773,17.246
Elongation till break,1-Stretch,2.810,49.215,5.214,19.210
Elongation till break,1-Stretch,3.010,49.656,5.655,21.175
Elongation till break,1-Stretch,3.210,50.097,6.096,23.139
Elongation till break,1-Stretch,3.410,50.539,6.538,25.021
Elongation till break,1-Stretch,3.610,50.98,6.979,26.986
Elongation till break,1-Stretch,3.810,51.421,7.42,28.868
Elongation till break,1-Stretch,4.010,51.862,7.861,30.751
Elongation till break,1-Stretch,4.210,52.303,8.302,32.633
Elongation till break,1-Stretch,4.410,52.744,8.743,34.762
Elongation till break,1-Stretch,4.610,53.185,9.184,36.726
Elongation till break,1-Stretch,4.810,53.626,9.625,38.772
Elongation till break,1-Stretch,5.010,54.068,10.067,40.982
Elongation till break,1-Stretch,5.210,54.508,10.507,42.947
Elongation till break,1-Stretch,5.410,54.95,10.949,44.911
Elongation till break,1-Stretch,5.610,55.391,11.39,47.121
Elongation till break,1-Stretch,5.810,55.832,11.831,49.249
Elongation till break,1-Stretch,6.010,56.273,12.272,51.295
Elongation till break,1-Stretch,6.210,56.714,12.713,53.341
Elongation till break,1-Stretch,6.410,57.155,13.154,55.715
Elongation till break,1-Stretch,6.610,57.597,13.596,57.843
Elongation till break,1-Stretch,6.810,58.037,14.036,60.135
Elongation till break,1-Stretch,7.010,58.479,14.478,62.099
Elongation till break,1-Stretch,7.210,58.92,14.919,-4.854
Elongation till break,1-Stretch,7.410,59.361,15.36,-5.427
Elongation till break,1-Stretch,7.610,59.802,15.801,-5.427
Elongation till break,1-Stretch,7.810,60.243,16.242,-5.263
Elongation till break,1-Stretch,8.010,60.684,16.683,-5.427
Elongation till break,1-Stretch,8.210,61.125,17.124,-5.427
Elongation till break,1-Stretch,8.410,61.566,17.565,-5.345
Elongation till break,1-Stretch,8.610,62.007,18.006,-5.427
Elongation till break,1-Stretch,8.810,62.449,18.448,-5.345
