SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.242
Elongation till break,1-Preload,0.200,44.001,0,-0.167
Elongation till break,1-Preload,0.400,44.001,0,-0.003
Elongation till break,1-Stretch,0.560,44.001,0,-0.085
Elongation till break,1-Stretch,0.760,44.373,0.372,0.078
Elongation till break,1-Stretch,0.960,44.815,0.814,0.323
Elongation till break,1-Stretch,1.160,45.256,1.255,0.405
Elongation till break,1-Stretch,1.360,45.697,1.696,0.405
Elongation till break,1-Stretch,1.560,46.138,2.137,0.487
Elongation till break,1-Stretch,1.760,46.579,2.578,0.895
Elongation till break,1-Stretch,1.960,47.02,3.019,0.977
Elongation till break,1-Stretch,2.160,47.461,3.46,1.549
Elongation till break,1-Stretch,2.360,47.902,3.901,1.957
Elongation till break,1-Stretch,2.560,48.343,4.342,2.121
Elongation till break,1-Stretch,2.760,48.785,4.784,2.529
Elongation till break,1-Stretch,2.960,49.226,5.225,2.856
Elongation till break,1-Stretch,3.160,49.667,5.666,3.346
Elongation till break,1-Stretch,3.360,50.108,6.107,3.509
Elongation till break,1-Stretch,3.560,50.549,6.548,3.509
Elongation till break,1-Stretch,3.760,50.99,6.989,4.163
Elongation till break,1-Stretch,3.960,51.431,7.43,4.735
Elongation till break,1-Stretch,4.160,51.872,7.871,4.980
Elongation till break,1-Stretch,4.360,52.314,8.313,5.306
Elongation till break,1-Stretch,4.560,52.755,8.754,5.960
Elongation till break,1-Stretch,4.760,53.196,9.195,6.450
Elongation till break,1-Stretch,4.960,53.637,9.636,6.532
Elongation till break,1-Stretch,5.160,54.078,10.077,7.185
Elongation till break,1-Stretch,5.360,54.519,10.518,7.839
Elongation till break,1-Stretch,5.560,54.96,10.959,8.165
Elongation till break,1-Stretch,5.760,55.401,11.4,8.819
Elongation till break,1-Stretch,5.960,55.842,11.841,9.309
Elongation till break,1-Stretch,6.160,56.283,12.282,2.284
Elongation till break,1-Stretch,6.360,56.725,12.724,-1.474
Elongation till break,1-Stretch,6.560,57.166,13.165,-1.147
Elongation till break,1-Stretch,6.760,57.607,13.606,-1.065
Elongation till break,1-Stretch,6.960,58.048,14.047,-1.065
Elongation till break,1-Stretch,7.160,58.489,14.488,-1.229
Elongation till break,1-Stretch,7.360,58.93,14.929,-1.065
Elongation till break,1-Stretch,7.560,59.371,15.37,-1.147
Elongation till break,1-Stretch,7.760,59.813,15.812,-1.229
Elongation till break,1-Stretch,7.960,60.254,16.253,-1.065
Elongation till break,1-Stretch,8.160,60.695,16.694,-1.065
Elongation till break,1-Stretch,8.360,61.136,17.135,-1.065
Elongation till break,1-Stretch,8.560,61.577,17.576,-1.065
Elongation till break,1-Stretch,8.760,62.018,18.017,-1.310
