SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.096
Elongation till break,1-Preload,0.200,44,0,-0.058
Elongation till break,1-Preload,0.400,44,0,-0.007
Elongation till break,1-Stretch,0.420,44,0,-0.032
Elongation till break,1-Stretch,0.620,44.372,0.372,0.405
Elongation till break,1-Stretch,0.820,44.813,0.813,1.021
Elongation till break,1-Stretch,1.020,45.254,1.254,1.587
Elongation till break,1-Stretch,1.220,45.695,1.695,2.178
Elongation till break,1-Stretch,1.420,46.137,2.137,2.538
Elongation till break,1-Stretch,1.620,46.578,2.578,3.180
Elongation till break,1-Stretch,1.820,47.019,3.019,3.874
Elongation till break,1-Stretch,2.020,47.46,3.46,4.362
Elongation till break,1-Stretch,2.220,47.901,3.901,5.107
Elongation till break,1-Stretch,2.420,48.342,4.342,5.776
Elongation till break,1-Stretch,2.620,48.783,4.783,6.521
Elongation till break,1-Stretch,2.820,49.224,5.224,7.292
Elongation till break,1-Stretch,3.020,49.665,5.665,7.986
Elongation till break,1-Stretch,3.220,50.106,6.106,8.089
Elongation till break,1-Stretch,3.420,50.547,6.547,8.962
Elongation till break,1-Stretch,3.620,50.988,6.988,9.708
Elongation till break,1-Stretch,3.820,51.43,7.43,10.427
Elongation till break,1-Stretch,4.020,51.871,7.871,11.095
Elongation till break,1-Stretch,4.220,52.312,8.312,0.070
Elongation till break,1-Stretch,4.420,52.753,8.753,-0.649
Elongation till break,1-Stretch,4.620,53.194,9.194,-0.418
Elongation till break,1-Stretch,4.820,53.635,9.635,-0.418
Elongation till break,1-Stretch,5.020,54.076,10.076,-0.366
Elongation till break,1-Stretch,5.220,54.517,10.517,-0.444
Elongation till break,1-Stretch,5.420,54.958,10.958,-0.392
Elongation till break,1-Stretch,5.620,55.399,11.399,-0.341
Elongation till break,1-Stretch,5.820,55.84,11.84,-0.315
Elongation till break,1-Stretch,6.020,56.282,12.282,-0.366
Elongation till break,1-Stretch,6.220,56.722,12.722,-0.315
Elongation till break,1-Stretch,6.420,57.164,13.164,-0.315
Elongation till break,1-Stretch,6.620,57.605,13.605,-0.315
Elongation till break,1-Stretch,6.820,58.046,14.046,-0.289
Elongation till break,1-Stretch,7.020,58.487,14.487,-0.212
Elongation till break,1-Stretch,7.220,58.928,14.928,-0.315
Elongation till break,1-Stretch,7.420,59.369,15.369,-0.238
