SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.087
Elongation till break,1-Preload,0.200,44.001,0,-0.240
Elongation till break,1-Preload,0.400,44.001,0,-0.077
Elongation till break,1-Stretch,0.410,44.001,0,-0.077
Elongation till break,1-Stretch,0.610,44.363,0.362,0.577
Elongation till break,1-Stretch,0.810,44.804,0.803,1.312
Elongation till break,1-Stretch,1.010,45.245,1.244,1.884
Elongation till break,1-Stretch,1.210,45.686,1.685,2.292
Elongation till break,1-Stretch,1.410,46.127,2.126,3.027
Elongation till break,1-Stretch,1.610,46.569,2.568,3.844
Elongation till break,1-Stretch,1.810,47.009,3.008,4.988
Elongation till break,1-Stretch,2.010,47.451,3.45,5.560
Elongation till break,1-Stretch,2.210,47.892,3.891,6.540
Elongation till break,1-Stretch,2.410,48.333,4.332,7.847
Elongation till break,1-Stretch,2.610,48.774,4.773,8.419
Elongation till break,1-Stretch,2.810,49.215,5.214,9.480
Elongation till break,1-Stretch,3.010,49.656,5.655,10.951
Elongation till break,1-Stretch,3.210,50.097,6.096,11.768
Elongation till break,1-Stretch,3.410,50.539,6.538,12.830
Elongation till break,1-Stretch,3.610,50.979,6.978,13.810
Elongation till break,1-Stretch,3.810,51.421,7.42,15.117
Elongation till break,1-Stretch,4.010,51.862,7.861,16.260
Elongation till break,1-Stretch,4.210,52.303,8.302,16.996
Elongation till break,1-Stretch,4.410,52.744,8.743,18.058
Elongation till break,1-Stretch,4.610,53.185,9.184,18.956
Elongation till break,1-Stretch,4.810,53.626,9.625,19.936
Elongation till break,1-Stretch,5.010,54.068,10.067,-4.243
Elongation till break,1-Stretch,5.210,54.508,10.507,-2.854
Elongation till break,1-Stretch,5.410,54.95,10.949,-2.772
Elongation till break,1-Stretch,5.610,55.391,11.39,-2.691
Elongation till break,1-Stretch,5.810,55.832,11.831,-2.527
Elongation till break,1-Stretch,6.010,56.273,12.272,-2.609
Elongation till break,1-Stretch,6.210,56.714,12.713,-2.527
Elongation till break,1-Stretch,6.410,57.155,13.154,-2.527
Elongation till break,1-Stretch,6.610,57.596,13.595,-2.854
Elongation till break,1-Stretch,6.810,58.037,14.036,-2.609
Elongation till break,1-Stretch,7.010,58.478,14.477,-2.609
Elongation till break,1-Stretch,7.210,58.92,14.919,-2.609
Elongation till break,1-Stretch,7.410,59.361,15.36,-2.527
Elongation till break,1-Stretch,7.610,59.802,15.801,-2.609
Elongation till break,1-Stretch,7.810,60.243,16.242,-2.691
Elongation till break,1-Stretch,8.010,60.684,16.683,-2.527
Elongation till break,1-Stretch,8.210,61.125,17.124,-2.609
Elongation till break,1-Stretch,8.410,61.566,17.565,-2.609
Elongation till break,1-Stretch,8.610,62.007,18.006,-2.609
Elongation till break,1-Stretch,8.810,62.449,18.448,-3.017
Elongation till break,1-Stretch,9.010,62.89,18.889,-2.691
Elongation till break,1-Stretch,9.210,63.331,19.33,-2.691
