SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.042
Elongation till break,1-Preload,0.200,44,0,-0.009
Elongation till break,1-Preload,0.400,44,0,-0.035
Elongation till break,1-Stretch,0.420,44,0,-0.035
Elongation till break,1-Stretch,0.620,44.37,0.37,0.351
Elongation till break,1-Stretch,0.820,44.812,0.812,0.865
Elongation till break,1-Stretch,1.020,45.253,1.253,1.353
Elongation till break,1-Stretch,1.220,45.694,1.694,1.815
Elongation till break,1-Stretch,1.420,46.135,2.135,2.278
Elongation till break,1-Stretch,1.620,46.576,2.576,2.586
Elongation till break,1-Stretch,1.820,47.017,3.017,3.100
Elongation till break,1-Stretch,2.020,47.458,3.458,3.486
Elongation till break,1-Stretch,2.220,47.899,3.899,3.820
Elongation till break,1-Stretch,2.420,48.34,4.34,4.360
Elongation till break,1-Stretch,2.620,48.781,4.781,4.822
Elongation till break,1-Stretch,2.820,49.222,5.222,5.413
Elongation till break,1-Stretch,3.020,49.664,5.664,5.953
Elongation till break,1-Stretch,3.220,50.105,6.105,6.493
Elongation till break,1-Stretch,3.420,50.546,6.546,6.981
Elongation till break,1-Stretch,3.620,50.987,6.987,7.418
Elongation till break,1-Stretch,3.820,51.428,7.428,7.649
Elongation till break,1-Stretch,4.020,51.869,7.869,7.649
Elongation till break,1-Stretch,4.220,52.31,8.31,-0.806
Elongation till break,1-Stretch,4.420,52.751,8.751,-0.343
Elongation till break,1-Stretch,4.620,53.192,9.192,-0.241
Elongation till break,1-Stretch,4.820,53.633,9.633,-0.189
Elongation till break,1-Stretch,5.020,54.074,10.074,-0.163
Elongation till break,1-Stretch,5.220,54.515,10.515,-0.163
Elongation till break,1-Stretch,5.420,54.957,10.957,-0.086
Elongation till break,1-Stretch,5.620,55.398,11.398,-0.138
Elongation till break,1-Stretch,5.820,55.839,11.839,-0.086
Elongation till break,1-Stretch,6.020,56.28,12.28,-0.086
Elongation till break,1-Stretch,6.220,56.721,12.721,-0.086
Elongation till break,1-Stretch,6.420,57.162,13.162,-0.009
Elongation till break,1-Stretch,6.620,57.603,13.603,-0.061
