SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,0.061
Elongation till break,1-Preload,0.200,44,0,-0.120
Elongation till break,1-Preload,0.400,44,0,-0.042
Elongation till break,1-Stretch,0.420,44,0,-0.042
Elongation till break,1-Stretch,0.620,44.372,0.372,0.601
Elongation till break,1-Stretch,0.820,44.813,0.813,1.193
Elongation till break,1-Stretch,1.020,45.254,1.254,2.017
Elongation till break,1-Stretch,1.220,45.695,1.695,2.893
Elongation till break,1-Stretch,1.420,46.137,2.137,3.768
Elongation till break,1-Stretch,1.620,46.578,2.578,4.567
Elongation till break,1-Stretch,1.820,47.019,3.019,5.365
Elongation till break,1-Stretch,2.020,47.46,3.46,6.266
Elongation till break,1-Stretch,2.220,47.901,3.901,7.141
Elongation till break,1-Stretch,2.420,48.342,4.342,8.120
Elongation till break,1-Stretch,2.620,48.783,4.783,9.098
Elongation till break,1-Stretch,2.820,49.224,5.224,10.077
Elongation till break,1-Stretch,3.020,49.665,5.665,11.158
Elongation till break,1-Stretch,3.220,50.107,6.107,2.532
Elongation till break,1-Stretch,3.420,50.547,6.547,-2.386
Elongation till break,1-Stretch,3.620,50.988,6.988,-2.463
Elongation till break,1-Stretch,3.820,51.43,7.43,-2.437
Elongation till break,1-Stretch,4.020,51.871,7.871,-2.411
Elongation till break,1-Stretch,4.220,52.312,8.312,-2.386
Elongation till break,1-Stretch,4.420,52.753,8.753,-2.308
Elongation till break,1-Stretch,4.620,53.194,9.194,-2.360
Elongation till break,1-Stretch,4.820,53.635,9.635,-2.386
Elongation till break,1-Stretch,5.020,54.076,10.076,-2.334
Elongation till break,1-Stretch,5.220,54.517,10.517,-2.334
Elongation till break,1-Stretch,5.420,54.958,10.958,-2.257
Elongation till break,1-Stretch,5.620,55.399,11.399,-2.257
