SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Stretch,2.02,47.46,0,-0.002
Elongation till break,1-Stretch,2.22,47.901,0.441,0.103
Elongation till break,1-Stretch,2.42,48.342,0.882,0.261
Elongation till break,1-Stretch,2.62,48.783,1.323,0.491
Elongation till break,1-Stretch,2.82,49.224,1.764,0.754
Elongation till break,1-Stretch,3.02,49.665,2.205,1.032
Elongation till break,1-Stretch,3.22,50.107,2.647,1.271
Elongation till break,1-Stretch,3.42,50.547,3.087,1.506
Elongation till break,1-Stretch,3.62,50.989,3.529,1.716
Elongation till break,1-Stretch,3.82,51.43,3.97,1.922
Elongation till break,1-Stretch,4.02,51.871,4.411,2.08
Elongation till break,1-Stretch,4.22,52.312,4.852,2.233
Elongation till break,1-Stretch,4.42,52.753,5.293,2.415
Elongation till break,1-Stretch,4.62,53.194,5.734,2.621
Elongation till break,1-Stretch,4.82,53.635,6.175,2.803
Elongation till break,1-Stretch,5.02,54.076,6.616,-1.051
Elongation till break,1-Stretch,5.22,54.517,7.057,-0.83
Elongation till break,1-Stretch,5.42,54.958,7.498,-1.123
Elongation till break,1-Stretch,5.62,55.399,7.939,-1.18
Elongation till break,1-Stretch,5.82,55.841,8.381,-1.204
Elongation till break,1-Stretch,6.02,56.282,8.822,-1.204
Elongation till break,1-Stretch,6.22,56.723,9.263,-1.18
Elongation till break,1-Stretch,6.42,57.164,9.704,-1.127
Elongation till break,1-Stretch,6.62,57.605,10.145,-1.089
Elongation till break,1-Stretch,6.82,58.046,10.586,-1.084
Elongation till break,1-Stretch,7.02,58.487,11.027,-1.022
Elongation till break,1-Stretch,7.22,58.928,11.468,-0.988
Elongation till break,1-Stretch,7.42,59.369,11.909,-0.965
