SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.000
Elongation till break,1-Preload,0.200,44,0,-0.000
Elongation till break,1-Preload,0.400,44,0,-0.000
Elongation till break,1-Stretch,0.420,44,0,-0.000
Elongation till break,1-Stretch,0.620,44.372,0.372,0.073
Elongation till break,1-Stretch,0.820,44.813,0.813,0.339
Elongation till break,1-Stretch,1.020,45.255,1.255,0.460
Elongation till break,1-Stretch,1.220,45.696,1.696,0.750
Elongation till break,1-Stretch,1.420,46.137,2.137,0.823
Elongation till break,1-Stretch,1.620,46.578,2.578,0.992
Elongation till break,1-Stretch,1.820,47.019,3.019,1.235
Elongation till break,1-Stretch,2.020,47.46,3.46,1.428
Elongation till break,1-Stretch,2.220,47.901,3.901,1.598
Elongation till break,1-Stretch,2.420,48.342,4.342,1.840
Elongation till break,1-Stretch,2.620,48.783,4.783,2.106
Elongation till break,1-Stretch,2.820,49.224,5.224,2.421
Elongation till break,1-Stretch,3.020,49.665,5.665,2.614
Elongation till break,1-Stretch,3.220,50.107,6.107,2.905
Elongation till break,1-Stretch,3.420,50.547,6.547,3.292
Elongation till break,1-Stretch,3.620,50.989,6.989,3.607
Elongation till break,1-Stretch,3.820,51.43,7.43,3.873
Elongation till break,1-Stretch,4.020,51.871,7.871,4.260
Elongation till break,1-Stretch,4.220,52.312,8.312,4.575
Elongation till break,1-Stretch,4.420,52.753,8.753,4.962
Elongation till break,1-Stretch,4.620,53.194,9.194,5.326
Elongation till break,1-Stretch,4.820,53.635,9.635,5.761
Elongation till break,1-Stretch,5.020,54.076,10.076,6.124
Elongation till break,1-Stretch,5.220,54.517,10.517,6.560
Elongation till break,1-Stretch,5.420,54.959,10.959,6.996
Elongation till break,1-Stretch,5.620,55.399,11.399,7.456
Elongation till break,1-Stretch,5.820,55.841,11.841,7.867
Elongation till break,1-Stretch,6.020,56.282,12.282,8.303
Elongation till break,1-Stretch,6.220,56.723,12.723,8.739
Elongation till break,1-Stretch,6.420,57.164,13.164,9.223
Elongation till break,1-Stretch,6.620,57.605,13.605,9.634
Elongation till break,1-Stretch,6.820,58.046,14.046,10.215
Elongation till break,1-Stretch,7.020,58.487,14.487,10.724
Elongation till break,1-Stretch,7.220,58.928,14.928,11.256
Elongation till break,1-Stretch,7.420,59.369,15.369,11.740
Elongation till break,1-Stretch,7.620,59.811,15.811,12.224
Elongation till break,1-Stretch,7.820,60.251,16.251,12.636
Elongation till break,1-Stretch,8.020,60.692,16.692,13.120
Elongation till break,1-Stretch,8.220,61.133,17.133,13.290
Elongation till break,1-Stretch,8.420,61.575,17.575,13.556
Elongation till break,1-Stretch,8.620,62.016,18.016,14.064
Elongation till break,1-Stretch,8.820,62.457,18.457,14.669
Elongation till break,1-Stretch,9.020,62.898,18.898,15.202
Elongation till break,1-Stretch,9.220,63.339,19.339,15.734
Elongation till break,1-Stretch,9.420,63.78,19.78,16.170
Elongation till break,1-Stretch,9.620,64.221,20.221,16.679
Elongation till break,1-Stretch,9.820,64.662,20.662,17.235
Elongation till break,1-Stretch,10.020,65.103,21.103,17.719
Elongation till break,1-Stretch,10.220,65.545,21.545,18.397
Elongation till break,1-Stretch,10.420,65.985,21.985,18.954
Elongation till break,1-Stretch,10.620,66.427,22.427,19.583
Elongation till break,1-Stretch,10.820,66.868,22.868,20.213
Elongation till break,1-Stretch,11.020,67.309,23.309,20.842
Elongation till break,1-Stretch,11.220,67.75,23.75,21.375
Elongation till break,1-Stretch,11.420,68.191,24.191,21.931
Elongation till break,1-Stretch,11.620,68.632,24.632,22.464
Elongation till break,1-Stretch,11.820,69.073,25.073,22.464
Elongation till break,1-Stretch,12.020,69.514,25.514,22.827
Elongation till break,1-Stretch,12.220,69.955,25.955,23.335
Elongation till break,1-Stretch,12.420,70.396,26.396,23.965
Elongation till break,1-Stretch,12.620,70.837,26.837,24.715
Elongation till break,1-Stretch,12.820,71.279,27.279,25.248
Elongation till break,1-Stretch,13.020,71.72,27.72,25.756
Elongation till break,1-Stretch,13.220,72.161,28.161,26.071
Elongation till break,1-Stretch,13.420,72.602,28.602,26.434
Elongation till break,1-Stretch,13.620,73.043,29.043,26.749
Elongation till break,1-Stretch,13.820,73.484,29.484,0.387
Elongation till break,1-Stretch,14.020,73.925,29.925,0.242
Elongation till break,1-Stretch,14.220,74.366,30.366,0.097
Elongation till break,1-Stretch,14.420,74.807,30.807,0.145
Elongation till break,1-Stretch,14.620,75.248,31.248,0.194
Elongation till break,1-Stretch,14.820,75.689,31.689,0.194
Elongation till break,1-Stretch,15.020,76.13,32.13,0.194
Elongation till break,1-Stretch,15.220,76.572,32.572,0.194
Elongation till break,1-Stretch,15.420,77.013,33.013,0.145
Elongation till break,1-Stretch,15.620,77.454,33.454,0.194
Elongation till break,1-Stretch,15.820,77.895,33.895,0.169
Elongation till break,1-Stretch,16.020,78.336,34.336,0.218
Elongation till break,1-Stretch,16.220,78.777,34.777,0.194
Elongation till break,1-Stretch,16.420,79.218,35.218,0.266
Elongation till break,1-Stretch,16.620,79.659,35.659,0.194
Elongation till break,1-Stretch,16.820,80.1,36.1,0.242
Elongation till break,1-Stretch,17.020,80.541,36.541,0.218
