SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.048
Elongation till break,1-Preload,0.200,44.001,0,-0.025
Elongation till break,1-Preload,0.400,44.001,0,-0.025
Elongation till break,1-Stretch,0.420,44.001,0,-0.049
Elongation till break,1-Stretch,0.620,44.373,0.372,0.217
Elongation till break,1-Stretch,0.820,44.814,0.813,0.411
Elongation till break,1-Stretch,1.020,45.256,1.255,0.823
Elongation till break,1-Stretch,1.220,45.697,1.696,1.137
Elongation till break,1-Stretch,1.420,46.138,2.137,1.379
Elongation till break,1-Stretch,1.620,46.579,2.578,1.718
Elongation till break,1-Stretch,1.820,47.02,3.019,1.984
Elongation till break,1-Stretch,2.020,47.461,3.46,2.420
Elongation till break,1-Stretch,2.220,47.902,3.901,2.759
Elongation till break,1-Stretch,2.420,48.343,4.342,3.098
Elongation till break,1-Stretch,2.620,48.784,4.783,3.558
Elongation till break,1-Stretch,2.820,49.225,5.224,3.994
Elongation till break,1-Stretch,3.020,49.667,5.666,4.526
Elongation till break,1-Stretch,3.220,50.108,6.107,5.035
Elongation till break,1-Stretch,3.420,50.549,6.548,5.591
Elongation till break,1-Stretch,3.620,50.99,6.989,6.075
Elongation till break,1-Stretch,3.820,51.431,7.43,6.584
Elongation till break,1-Stretch,4.020,51.872,7.871,7.116
Elongation till break,1-Stretch,4.220,52.313,8.312,7.625
Elongation till break,1-Stretch,4.420,52.754,8.753,8.230
Elongation till break,1-Stretch,4.620,53.196,9.195,8.787
Elongation till break,1-Stretch,4.820,53.637,9.636,9.319
Elongation till break,1-Stretch,5.020,54.078,10.077,10.045
Elongation till break,1-Stretch,5.220,54.519,10.518,10.626
Elongation till break,1-Stretch,5.420,54.96,10.959,11.183
Elongation till break,1-Stretch,5.620,55.401,11.4,11.788
Elongation till break,1-Stretch,5.820,55.842,11.841,12.418
Elongation till break,1-Stretch,6.020,56.283,12.282,13.047
Elongation till break,1-Stretch,6.220,56.725,12.724,13.676
Elongation till break,1-Stretch,6.420,57.166,13.165,14.403
Elongation till break,1-Stretch,6.620,57.607,13.606,15.105
Elongation till break,1-Stretch,6.820,58.048,14.047,15.855
Elongation till break,1-Stretch,7.020,58.489,14.488,16.509
Elongation till break,1-Stretch,7.220,58.93,14.929,17.259
Elongation till break,1-Stretch,7.420,59.371,15.37,17.961
Elongation till break,1-Stretch,7.620,59.812,15.811,18.711
Elongation till break,1-Stretch,7.820,60.253,16.252,19.317
Elongation till break,1-Stretch,8.020,60.695,16.694,19.994
Elongation till break,1-Stretch,8.220,61.135,17.134,20.140
Elongation till break,1-Stretch,8.420,61.577,17.576,20.479
Elongation till break,1-Stretch,8.620,62.018,18.017,21.035
Elongation till break,1-Stretch,8.820,62.459,18.458,21.834
Elongation till break,1-Stretch,9.020,62.9,18.899,22.754
Elongation till break,1-Stretch,9.220,63.341,19.34,23.529
Elongation till break,1-Stretch,9.420,63.782,19.781,24.303
